soc,median_income,education,english_importance
113071,30000,1,3.6
119013,30000,1,3.1
119071,26200,1,3.6
119081,30000,1,4.1
119131,32600,1,4
119141,32000,1,4
131031,32000,1,4.1
131032,32000,2,4
132082,25000,1,3.4
151151,30000,3,3.7
173031,28000,1,3.5
211093,32000,1,4.2
211094,32000,1,4
232091,30200,2,4.8
232093,30200,1,4.1
253021,32800,1,3.6
254031,29000,2,3.9
259041,30000,3,3.5
271023,29000,1,3.4
272021,29000,0,3.1
272023,29000,1,3.1
272031,32500,0,2.4
272032,32500,1,3.2
272042,30000,0,4
272099,37200,0,
273012,29100,1,2.8
274011,30000,2,3.5
274013,30000,1,3.5
274014,30000,2,3.3
274021,32000,1,3.2
292041,29000,2,4.3
292061,30000,2,4.1
292071,32000,2,3.8
292081,28800,1,3.6
299099,38000,2,3.8
312022,35000,1,3.5
319011,28000,2,3.2
319091,30000,2,4.2
319092,30000,2,3.8
319093,30700,1,3.9
319094,35000,2,4.8
319095,34100,1,3.4
319096,25000,1,3.4
319097,27000,2,4.3
319099,30700,1,4.5
331011,35000,1,3.9
331012,32000,1,3.9
331021,38000,2,3.7
331099,28500,1,
332011,30000,2,3.5
332021,35000,2,4.2
332022,35000,1,3.1
333011,30000,1,3.1
333012,30000,1,3.6
333021,34000,1,4.3
333041,34000,1,3.3
333051,34000,1,4.3
333052,34000,1,3.7
339011,28000,1,3.4
339021,32000,1,4.2
339031,28600,1,3.8
339032,28600,1,2.1
339091,26800,0,2.1
339092,26800,0,2.6
339093,30000,1,3.6
339099,26800,1,4.1
351011,30000,1,3.5
351012,30000,1,2.9
353011,30000,0,3.2
353021,30000,0,3.3
353022,25000,0,3.3
353041,27400,0,3.4
359011,29700,0,3.5
359021,27000,0,2.1
359031,27000,0,3.1
371011,28000,1,3.3
371012,28000,1,3.9
372021,30000,1,3.1
373011,29400,0,3.4
373012,29400,1,3.5
373013,29400,1,3.1
391011,28000,1,3.5
391012,28000,1,3.2
391021,25000,1,3.8
392011,35000,1,3.1
392021,27000,1,2.7
393021,27000,0,2.6
393031,35000,0,3.4
393091,32000,0,3.2
393092,32000,1,2.6
393093,32000,1,3.4
394011,32000,2,4
394021,32000,1,3.4
395011,30000,2,2.7
396011,29300,1,3.8
396012,29300,1,4.3
397011,27000,1,4
397012,27000,1,3.1
399031,30000,1,3.5
399032,30000,1,3.5
399041,30000,1,3.8
399099,28300,1,
411012,30000,1,4.2
412021,25000,0,3.2
412022,30000,0,3.5
413011,36000,1,3.9
413021,31500,1,4.1
413041,30000,1,3.7
413099,35000,1,3.7
414012,33000,1,3.5
419011,30000,1,3.3
419012,30000,0,1.8
419021,31000,1,4.1
419022,31000,1,3.8
