soc,wage_50_comparison_groups,wage_10,wage_25,wage_50,education,experience,training,english,health_insurance_pct,regular_schedule_pct,full_time_pct,safety_conditions,male_75+_pct,male_pct,employment_2014,employment_2024,growth_2014_2024,growth_2014_2024_pct,growth_replacement_2014_2024
353021,30000,16570,17630,18910,0,None,Short-term on-the-job training,3.3,0.523,0.609,0.036,10,No,0.391,3159.7,3503.2,343.5,0.109,1364.6
359031,27000,16710,17840,19180,0,None,None,3.1,0.482,0.872,-1.709,9,No,0.154,376.4,393.2,16.7,0.044,283.8
393031,35000,16730,17910,19180,0,None,Short-term on-the-job training,3.4,0.881,0.441,-1.29,11,No,0.686,113.9,120,6.1,0.053,77.9
353022,25000,16890,18040,19230,0,None,Short-term on-the-job training,3.3,0.433,0.713,-1.254,10,No,0.312,481.2,510,28.9,0.06,318.1
393091,32000,16870,18010,19280,0,None,Short-term on-the-job training,3.2,0.668,0.592,0.08,12,No,0.581,288.6,310.9,22.3,0.077,143.2
359011,29700,16950,18140,19280,0,None,Short-term on-the-job training,3.5,0.432,0.835,0.098,11,No,0.674,415.3,440.7,25.4,0.061,233
359021,27000,16920,18160,19340,0,None,Short-term on-the-job training,2.1,0.28,0.893,0.144,8,Yes,0.852,507.4,487.9,-19.5,-0.039,219.3
339092,26800,16770,17980,19500,0,None,Short-term on-the-job training,2.6,0.713,0.191,-0.566,11,No,0.626,141.3,150.8,9.5,0.067,29.4
353011,30000,16980,18190,19530,0,None,Short-term on-the-job training,3.2,0.447,0.592,0.343,9,No,0.474,580.9,640.9,60.1,0.103,278.3
353041,27400,17030,18360,20420,0,None,Short-term on-the-job training,3.4,0.698,0.578,0.401,12,No,0.361,253.1,287,33.8,0.134,96
516021,26100,17090,18560,20470,0,None,Short-term on-the-job training,2.7,0.35,0.563,0.72,10,No,0.442,51.5,48.1,-3.4,-0.066,12.1
536021,31000,17550,18870,20630,0,None,Short-term on-the-job training,3.1,0.585,0.802,0.609,9,Yes,0.857,135.6,141.3,5.8,0.042,81.3
392021,27000,17160,18580,21010,1,None,Short-term on-the-job training,2.7,0.567,0.851,0.447,11,No,0.277,204.8,226.4,21.6,0.106,63.8
393093,32000,17200,18550,21020,1,None,Short-term on-the-job training,3.4,0.668,0.84,0.08,10,No,0.581,18.6,19.4,0.9,0.047,8.6
434081,32000,17070,18550,21040,1,None,Short-term on-the-job training,3.5,0.55,0.881,0.708,8,No,0.381,243.2,265.1,21.9,0.09,147.7
452041,26000,18040,19230,21100,0,None,Short-term on-the-job training,2.1,0.469,0.529,0.908,11,No,0.35,53,48.9,-4.1,-0.078,8.5
396011,29300,17260,18580,21160,1,None,Short-term on-the-job training,3.8,0.775,0.674,0.795,9,Yes,0.83,43.6,47.1,3.5,0.08,12.4
537061,30000,17400,18870,21310,0,None,Short-term on-the-job training,2.8,0.489,0.8,0.741,12,Yes,0.894,346.9,380,33.1,0.095,154
393021,27000,17360,18800,21490,0,None,Short-term on-the-job training,2.6,0.893,0.845,0.088,11,Yes,0.912,6.7,5.5,-1.2,-0.182,2.7
536031,30000,17550,18960,21560,0,None,Short-term on-the-job training,2.8,0.498,0.786,0.641,11,Yes,0.899,105.8,117.6,11.7,0.111,53.8
419091,32000,17940,19200,22210,0,None,Short-term on-the-job training,2.5,0.4,0.6,0.095,4,No,0.599,80.2,79.1,-1.1,-0.014,6.6
399099,28300,17890,19330,22310,1,None,Short-term on-the-job training,na,0.469,na,0.482,na,No,0.596,93.2,99.1,5.9,0.063,26.9
533031,30000,17310,18740,22450,1,None,Short-term on-the-job training,3,0.666,0.755,0.919,12,Yes,0.951,445.3,466.1,20.8,0.047,96.6
399032,30000,17660,19190,23320,1,None,Short-term on-the-job training,3.5,0.679,0.527,0.341,12,No,0.459,379.3,418.3,38.9,0.103,108.9
533041,30000,17830,19630,23510,0,None,Short-term on-the-job training,3.1,0.389,0.342,0.847,12,Yes,0.895,233.7,264.4,30.6,0.131,74.8
419041,29000,17730,19460,23530,0,None,Short-term on-the-job training,3.6,0.59,0.931,0.706,7,No,0.383,237.9,230.8,-7.2,-0.03,43.9
516041,37000,17780,19590,23630,1,None,Moderate-term on-the-job training,2.8,0.367,0.858,0.814,9,No,0.63,9.7,8.2,-1.5,-0.151,1.6
516051,30000,18240,19840,23640,0,None,Moderate-term on-the-job training,2.9,0.44,0.407,0.746,6,No,0.364,12,10.8,-1.2,-0.098,4
