"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",17792.5220491462,40232.0925277978,44925.1814875006,124523.149065978,64953.0980032346,3.62994548395844,1.15843102210419,292426.043133657,
"q10",30146.1291909977,48571.948196001,45044.9873294332,129384.329297824,36982.578280164,3.33293761836117,1.19404214077271,290129.97229442,0.0353002228707194
"q11",28655.881037375,41252.6979680159,46130.5348052912,114979.742782845,50820.1311181728,3.4232087861003,1.23844791251491,281838.9877117,0.0405530572393469
"q12",6657.2151201716,11009.1332998983,24940.5087763382,148655.685747192,98796.3271928173,4.11174079906458,0.900937198170435,290058.870136418,
"q13",3482.0288308342,5480.9622590536,19558.1804555179,111842.619642973,146730.602351146,4.34908304102486,0.814333213198177,287094.393539525,0.0129328452109841
"q14",19776.9210078263,33376.7097232601,37363.9484263427,124600.098393794,75585.5335341289,3.74704160115982,1.15426702234066,290703.211085352,
"q15",20719.8999928001,25617.6326498468,41009.9202598212,120266.503518382,77373.1580790643,3.7407039305817,1.17612559037039,284987.114499914,
"q16",5582.4587132149,9881.5377810108,31338.8050423634,150455.774404721,92114.1407605592,4.09733082457948,0.854664913345086,289372.71670187,
"q17",25927.2374367513,23835.9768956298,51274.0221718374,99653.5941237548,76037.0413052159,3.64187048787996,1.24970867419432,276727.871933189,
"q18",27494.6458675446,47754.0896518982,65918.8375417221,103958.620861686,43081.4760938773,3.31147525428875,1.19680588867445,288207.670016729,-0.0164067294427502
"q19",20916.198940369,30426.7751000835,39763.1921670768,113009.664547253,78210.9728017355,3.68554471090385,1.21871226870064,282326.803556518,
"q2",9885.1428940902,30640.1765925741,39622.7939763801,149402.933164625,61133.7648279547,3.74385149502286,1.03758849966725,290684.811455624,0.00374363564036505
"q20",9247.2435367436,24732.3077989108,37567.8265829604,136935.566975052,83740.420489862,3.93515147544666,1.012461960125,292223.365383529,0.000219326353238824
"q21",29271.9806903192,51153.6663263306,69756.5201368276,100275.23142623,30301.5999767422,3.21790527381787,1.1782211304365,280758.998556449,-0.00264849711366747
"q22",47139.9622619757,47204.54831177,73476.0061628354,74403.7417312894,28686.9585191257,3.0270286673815,1.27121538027774,270911.216986996,
"q23",51624.935696002,56366.5213703591,72596.5464233367,62891.5914988481,18615.255008467,2.83178337844527,1.22390719229732,262094.849997013,-0.00635870942202849
"q24",41692.8198841519,58309.3189700977,74854.8808976897,76260.9682514121,23047.3390504448,2.96141585468543,1.21134632870646,274165.327053796,
"q25",41202.8656585525,43833.1866229203,64961.9009987589,88026.2617767296,31623.5693494885,3.13180156976922,1.25497509408671,269647.78440645,-0.00457545400353336
"q26",13817.3366359587,21101.2589165276,35919.1602088369,143630.085408624,75744.2641395511,3.87264435398764,1.04687079496831,290212.105309498,
"q27",16801.7426692264,27626.4838661513,78990.3331505164,104407.303401816,50544.2109136474,3.53802126721223,1.09037151229756,278370.074001357,
"q28",2176.6866145334,5678.8116336708,37164.8739107265,118992.987949646,127615.381065562,4.29546604215457,0.801090283456656,291628.741174138,0.0166582899329832
