"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",6853.5759880286,19307.5314701828,21051.8848839309,57849.3634124014,26767.3986027388,3.60843341339738,1.11065636910329,131829.754357283,
"q10",10282.4061910016,20385.8998457221,21403.7012138982,62568.4330041346,16281.9159568581,3.42015045674369,1.12900117112622,130922.356211615,0.0275138294028338
"q11",10920.677334759,18723.3342235629,20299.9381885437,54660.8095250781,23157.1015532366,3.53089005235602,1.17811222709206,127761.86082518,0.0489536243088482
"q12",2809.2626792742,5554.6103857056,12350.8745621962,68553.2824092135,40671.5181421421,4.11616598227793,0.857182682697087,129939.548178532,
"q13",1510.0157586766,2755.0588878773,9373.8183023002,57373.7016592965,58364.5624114146,4.33229965725477,0.765066785846601,129377.157019565,
"q14",9294.3138366899,16871.7336737512,18973.495967571,58732.2178157389,27353.3349606293,3.64295287621294,1.14665702501872,131225.09625438,
"q15",7130.4030063647,8341.0240004431,16412.6172852728,57914.2153830419,38750.9694980469,3.91473632331198,1.06251072941936,128549.229173169,
"q16",2909.434336428,4680.5505581987,15243.0121524282,67640.5862413974,39902.4513597592,4.09946570241243,0.838080757525293,130376.034648211,
"q17",10903.4274405483,10414.1152221404,20094.8046844436,49681.2729581175,36242.0722730261,3.75519541370377,1.19466433292849,127335.692578276,
"q18",10936.2862543416,19211.9381051989,29266.7225111762,49721.7267140013,20744.3878204049,3.39667497021553,1.16718736227306,129881.061405123,
"q19",8445.4457415504,12255.065190217,18136.9201845025,50375.9016620987,38130.7306452667,3.80096441636182,1.15593827435399,127344.063423635,
"q2",3552.6756182273,13686.9459862309,18321.3129908157,68790.5854920022,26623.3942283349,3.81397098334229,0.968413155186691,130974.914315611,
"q20",4079.8483717126,11201.4105366234,16523.534293877,64056.4628661655,35940.0863695615,3.89846712599477,0.995931956429353,131801.34243794,
"q21",13762.5702875064,26562.8930233168,31884.9809664361,44384.3847184092,11352.814041672,3.13274189993388,1.13368363923783,127947.643037341,
"q22",23233.1790381593,23504.4904614609,35207.2494029995,31177.2910058472,10579.7039793757,2.91269250586821,1.21065955470327,123701.913887843,
"q23",25027.4125444014,27617.9388004009,33431.2906049347,28696.9099209132,7344.2859186682,2.81798801567181,1.19216746945372,122117.837789318,
"q24",18331.3216164567,25904.7897521669,35994.5200403744,35698.6517144407,9921.374045339,3.00598166368515,1.1642241618966,125850.657168778,
"q25",19781.5547631538,21856.6745959038,30736.9689546899,40549.5562468449,12952.5781862018,3.0947967842787,1.22994287704042,125877.332746794,
"q26",6261.8435181582,9992.0020481622,18705.9896377737,68568.4052477685,27124.8706947681,3.77232311257208,1.01707414280077,130653.111146631,
"q27",9215.66930467,15685.757205066,36779.1851871434,46698.734287407,18709.1839250585,3.4068489367578,1.08679736856429,127088.529909345,
