"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",30.9352545371,118.6393992332,205.2493309638,423.4595078748,262.6297547995,3.69498069498069,1.07635523894348,1040.9132474084,
"q10",45.315540708,203.8305048528,188.6745409321,465.8887745941,128.2827210868,3.45348837209302,1.07671112656033,1031.9920821738,
"q11",51.8000875734,127.5931487418,134.305890407,449.893607343,220.00451393,3.6,1.16787603204686,983.5972479952,0.0745788106878138
"q12",15.4960213651,36.3272272093,53.5976063393,505.7173125031,429.7750799916,4.26254826254826,0.807298870112522,1040.9132474084,
"q13",2.2682442695,42.6551999035,496.7509166176,486.8477974047,0,4.42578125,0.60904890093119,1028.5221581953,
"q14",64.9185495761,117.2317402206,114.7139985689,491.9424403117,249.8656616031,3.76744186046512,1.10894227240768,1038.6723902804,
"q15",27.2708261489,41.3942555083,90.5045332692,487.9428150352,377.5827365601,4.11857707509881,0.922476583234079,1024.6951665217,
"q16",23.2611000708,26.954485422,136.5820814732,472.4784135987,366.6057572795,4.140625,0.856205720194696,1025.8818378442,
"q17",23.8615646957,57.0227388441,136.5858972639,402.416502605,402.1657667738,4.03937007874016,1.04750088288962,1022.0524701825,
"q18",98.0543892013,189.603332196,221.7258723069,379.5697655148,143.8180201131,3.296875,1.22304265393049,1032.7713793321,
"q19",30.9658682196,72.3688191582,165.6845526742,383.0950243194,335.6349837468,3.8477366255144,1.11963367523082,987.7492481182,
"q2",4.9200785336,85.576891009,121.2798831917,579.8307641062,249.3056305679,3.8996138996139,0.913698424858551,1040.9132474084,
"q20",12.0893764651,87.8198499145,70.7052305951,518.504511989,349.5639871361,3.9922480620155,0.937719097353241,1038.6829560998,
"q21",56.6751947019,225.3009405124,252.1740625181,391.4418241541,102.5636522061,3.17716535433071,1.11232328001766,1028.1556740926,
"q22",91.9281605415,152.2754082698,308.4018374716,280.8622977955,91.2241304625,3.12389380530973,1.13633127691479,924.6918345409,
"q23",86.77978887,273.9899377777,284.0383768488,251.788391999,61.3200497241,3.00418410041841,1.13943044872306,957.9165452196,
"q24",108.7732610962,187.9607219154,278.0623905919,314.5786855532,83.3273645211,3.1358024691358,1.14725421127278,972.7024236778,
"q25",111.9341483396,145.6897204331,240.8223519466,345.9009600934,121.4538642136,3.17695473251029,1.21864127445021,965.8010450263,
"q26",43.6992642356,79.830259471,161.2863569201,534.280176956,215.9298396426,3.72373540856031,1.04840879060503,1035.0258972253,
"q27",22.1284557095,82.6722181045,294.9030149101,392.3634026999,202.2285179623,3.59756097560976,1.0324501007567,994.2956093863,
"q28",3.1423030238,24.7697852571,94.3754640984,483.3745249073,432.9829258523,4.25193798449612,0.765562357855695,1038.6450031389,
"q29",15.7751154572,113.6426494192,169.0103158958,529.048783203,165.8486006568,3.73061224489796,0.954326661955067,993.325464632,
"q3",25.6004349991,100.1696131341,99.2908135359,440.2993822546,352.644387046,3.94466403162055,1.08603198022625,1018.0046309697,
"q30",46.2401122209,119.2743688724,196.9707408934,469.6901139931,152.2567535692,3.5469387755102,1.07259109453336,984.432089549,
"q31",43.2869167206,123.7907272809,196.5193475502,448.3060394539,147.2915324219,3.56666666666667,1.08418323061433,959.1945634275,
"q32",64.3659068355,111.014129095,238.7244662306,389.7429066487,154.4604930494,3.47899159663866,1.13515916091277,958.3079018592,
"q33",167.8246094851,210.4809041235,304.748605529,162.6590245291,58.1920891351,2.64285714285714,1.14317740547877,903.9052328018,
