"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",765.4648956751,1828.7466098158,2481.5055606164,5239.2693377702,2467.7250079628,3.60249554367201,1.11477453241297,12782.7114118403,
"q10",917.249667145,1770.9970416436,1952.5162329621,6187.512519277,1844.9515548542,3.51436265709156,1.11939676706935,12673.2270158819,
"q11",1054.040813798,1514.7254919911,1767.4969519161,5549.4468933061,2422.6701244877,3.60315252665739,1.1757243381438,12308.380275499,0.138186401184727
"q12",225.0625928498,394.06146648,1134.1399509107,6486.6576549799,4343.2405354924,4.17570009033424,0.837079214215782,12583.1622007128,
"q13",68.8015411516,206.1574392951,935.6551567021,5425.314731904,5890.3561381546,4.37693006357857,0.727579634849417,12526.2850072074,
"q14",980.9133568745,1494.5017924375,1926.6316799076,5536.8623129158,2772.2911177027,3.65277777777778,1.14676142072514,12711.2002598381,
"q15",648.9618297832,871.7983249189,1511.7905333015,5698.6950616627,3703.8151752298,3.94908256880734,1.04978158639601,12435.0609248961,
"q16",247.0990285894,374.0717115077,1442.7390188998,6523.8098302412,4028.7810388967,4.12787032868077,0.833878603586947,12616.5006281348,
"q17",1232.4863761407,1012.4243461744,2162.1005535878,4504.2684772704,3579.4422289078,3.7681755829904,1.20373485205096,12490.7219820811,
"q18",1001.6420741011,1812.3303116274,2929.9418882198,4688.3469357585,2098.4989985295,3.44484793463459,1.16761652472044,12530.7602082363,
"q19",752.6855661271,1102.1531475366,1732.5155363104,4795.3546905755,3821.4914390588,3.84102564102564,1.15391727041969,12204.2003796084,
"q2",365.2893097693,1264.7755825338,1698.925347546,6389.7860296532,2930.2415443773,3.85695006747638,0.980115104065636,12649.0178138796,0.00935414476057395
"q20",489.0221073476,1272.351720878,1679.6554276601,5777.5522525185,3533.9911717929,3.88293118856122,1.03952466085221,12752.5726801971,
"q21",1362.168457293,2400.5522299697,3247.4452434691,4262.2832112139,1165.4948873209,3.17636280348145,1.13906958684505,12437.9440292666,
"q22",2572.4160283809,2115.9759250633,3800.9541211017,2646.3157261032,858.5157321402,2.84847036328872,1.20038354805463,11994.1775327893,
"q23",2243.128043849,2620.3686268286,3394.4247138125,2839.1891156069,807.3501071878,2.84245917387128,1.18786241269735,11904.4606072848,
"q24",1841.1648794496,2511.7219306516,3405.4228638176,3500.3582239507,935.9572439129,3.01164415463437,1.17339029277835,12194.6251417824,
"q25",2036.715359253,2376.9339347653,3036.2007357862,3681.8288278139,1166.332278443,3.0634553033812,1.22876902609055,12298.0111360614,
"q26",762.6430418963,1040.7305752266,2047.2963630817,6055.7469276002,2775.4758223276,3.76536563481382,1.05126371483007,12681.8927301324,
"q27",930.2321446452,1326.6008145124,4047.429401135,4298.4123468164,1839.3919049868,3.42797975149563,1.09409490481019,12442.0666120958,
"q28",194.7143131283,299.2873566638,1827.0113980611,5266.4372386301,5133.5337174766,4.22117962466488,0.832271556393155,12720.9840239599,
"q29",395.0464622224,1011.1233999218,2002.9871525057,6853.2932354433,2038.000772043,3.79351851851852,0.912044174286305,12300.4510221362,
"q3",859.6676290208,1679.0631540359,2175.5259336288,4934.462963687,2921.7130964107,3.67254635911352,1.16411727651614,12570.4327767832,
"q30",997.7544123246,1976.874050759,3083.5634782843,4803.9454722182,1437.8598155572,3.37610004631774,1.11077934433559,12299.9972291433,
"q31",1046.2695155351,2182.2563684746,2981.8954561021,4589.5299616956,1447.8507091928,3.36161335187761,1.13347234109263,12247.8020110002,
"q32",1231.8817472621,2326.8195436203,3383.5782372629,3935.5915436245,1380.2983145575,3.25081737505838,1.14064891139318,12258.1693863273,
"q33",3170.3452924372,3007.134891456,3386.4625190168,1610.8605924884,540.3768425603,2.46552567237164,1.15713128812424,11715.1801379587,
"q34",974.3526025776,1022.5926656613,3942.8688867574,3802.8391516927,1723.1706535256,3.46812749003984,1.05785791008458,11465.8239602146,
"q35",376.5731969534,578.0821474495,1372.5444466839,6982.4490059434,3128.5033415981,4.02153987167736,0.857576109775864,12438.1521386283,
"q36",281.4901543998,464.9900915446,1342.4691463157,6939.411621869,3342.3088272295,4.08755760368664,0.789325994583942,12370.6698413586,
"q37",1384.5084375629,1390.7715662845,2645.0147075675,4248.6314829979,2233.7163727669,3.50572519083969,1.21209719785391,11902.6425671797,
"q38",850.5394963819,800.0450296718,2078.2231055667,4758.513338465,2934.2893475886,3.82030861124938,1.09783638372428,11421.610317674,
"q39",247.6751269594,263.1260057145,1542.1824462938,6990.3003135882,3315.6872574322,4.10569852941176,0.777171215395434,12358.9711499881,
"q4",647.7823928003,925.9763982851,1886.6446655116,5675.0720315082,3563.4659648593,3.90448430493274,1.04081255936763,12698.9414529645,0.0681248570617641
"q40",634.3902781845,1049.0509858109,2595.4961753087,5442.703993547,2773.6194455245,3.76379388964888,1.04760006290841,12495.2608783756,0.244045484685251
"q41",2001.9617366283,2233.2480721019,3202.2258224648,2605.5396668693,1186.3461308595,2.92512820512821,1.23591473508514,11229.3214289238,
"q42",489.9158225933,595.8786197317,1424.0799694448,5255.3838641211,4675.7156471583,4.10805860805861,0.983253773822982,12440.9739230492,
"q43",853.858429483,1187.4504889641,2138.9681346584,4529.3533137446,3702.2274235939,3.79742765273312,1.15516455308087,12411.857790444,
"q44",838.1216929846,1168.6329733383,2416.6823102363,4219.9217596963,3485.8896161871,3.75832942280619,1.16048792813013,12129.2483524426,
"q45",626.5805027818,516.5539816655,2816.0067901362,3978.8211549939,3580.0669043969,3.89677419354839,1.04954925594015,11518.0293339743,
"q46",860.2416483677,1245.6837255947,2775.205721736,4195.0232132269,3296.242091481,3.6840405904059,1.16528936742862,12372.3964004063,
"q47",1086.6632509591,1148.8009879161,2505.4092580698,4492.6558362555,3026.0287476637,3.71827057182706,1.14795510132749,12259.5580808642,
