"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",487.5173095384,1476.2185598045,1756.111572715,4928.622950392,2547.1121631589,3.67306871532224,1.09020376583485,11195.5825556088,0.0537878514112323
"q10",1081.165471731,1845.7160508803,1791.2187452435,4937.2512393977,1500.1747829911,3.28785928785929,1.18137303144226,11155.5262902436,0.0278437521112134
"q11",696.0092733565,1337.2610191055,1788.9510285359,4905.5319152798,2231.8073774894,3.61147612790188,1.10974871523997,10959.5606137671,0.0522509126475811
"q12",186.5082300977,457.5852787751,921.9187344026,5795.0896915429,3697.8898809771,4.11980968858131,0.832541508890409,11058.9918157954,
"q13",102.7660089533,172.1802716364,693.9744402363,4940.2480946782,5115.7383256586,4.34967462039046,0.731888448722772,11024.9071411628,
"q14",699.8336038044,1038.0660980982,1461.7852204794,5138.7179256006,2795.5668220791,3.72715572715573,1.11495319143284,11133.9696700617,
"q15",519.8958511693,683.1691269063,1388.2067433447,4920.7587375076,3351.4638262785,3.91897842360194,1.04756735822516,10863.4942852064,
"q16",251.4554475294,371.0631586705,1268.9959122433,5570.034290267,3640.2558611985,4.11024978466839,0.841045300434256,11101.8046699087,
"q17",1049.1907920383,907.9921486742,1723.3360475911,4140.2937785843,3097.6752775758,3.67351398601399,1.23622536260947,10918.4880444637,
"q18",740.5711650117,1193.2228035005,2627.1889167499,4480.0116426353,2083.5951185861,3.53359173126615,1.10185301700061,11124.5896464835,
"q19",630.1074284892,769.0874451241,1370.4480208277,4534.7570776136,3491.1096046452,3.89646017699115,1.09321455024268,10795.5095766998,
"q2",326.0923916804,964.9393323538,1342.8484164472,5920.6146276837,2598.4776565682,3.84285100901675,0.961564507064274,11152.9724247333,
"q20",425.7870832778,977.0910369249,1574.8539078689,5436.6925552014,2795.2871684768,3.84201537147737,1.00097041497537,11209.7117517498,
"q21",1167.6127264996,2471.658239216,2628.6879711831,3602.1597832464,1107.817898815,3.08141053548106,1.15402949366161,10977.9366189601,
"q22",2051.907343041,1970.3468721781,2828.4689865227,2727.0225779363,1156.4640552845,2.92208370436331,1.25454446044588,10734.2098349626,
"q23",1960.1689377984,2294.5135965115,2717.0389646713,2847.2053874495,980.6418658118,2.87055160142349,1.22525902840979,10799.5687522425,
