"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",174.8491142877,413.4296438083,438.272287439,952.8073290793,487.9866040606,3.50334448160535,1.14705457121331,2467.3449786749,
"q10",213.4651305779,360.8698005148,406.3096553206,1088.4837634744,360.4806757511,3.46869712351946,1.1417878463517,2429.6090256388,
"q11",212.8502458197,342.5913931424,329.2445328534,996.6712457503,502.2259836779,3.57241379310345,1.19002664713032,2383.5834012437,
"q12",61.9945500806,78.6909473425,229.927088097,1158.9026905479,898.5231232679,4.16610169491525,0.848169940345154,2428.0383993359,
"q13",39.41816021,15.0757302363,118.829474737,1012.2073552666,1228.3019830051,4.41095890410959,0.716588380731323,2413.832703455,
"q14",221.3027005555,269.9506047518,289.6603349571,1059.0437132578,611.6378959768,3.66835016835017,1.20122547260231,2451.595249499,
"q15",118.8589427833,83.8484345975,314.0485219487,1080.4800630827,810.9025555598,3.97440273037543,1.01998495125117,2408.138517972,
"q16",60.9279194446,45.3627031941,279.9802848516,1236.3599522894,813.170315203,4.125,0.804755325345377,2435.8011749827,
"q17",171.331929139,204.0288621111,309.2602853531,899.2028838039,755.3835345137,3.80526315789474,1.15980136664164,2339.2074949208,
"q18",292.3908287937,402.9983439789,593.0919624196,801.7401614624,338.4477820721,3.25337837837838,1.19360481691237,2428.6690787267,
"q19",127.8378526288,191.6520478153,455.1150232495,844.3589464459,725.3031652615,3.80035026269702,1.14802647590616,2344.267035401,
"q2",85.1889297275,290.1494424903,307.3873940236,1217.1383769673,548.2951922008,3.78991596638655,0.995562118765275,2448.1593354095,
"q20",86.2063687842,228.4784893273,299.2299333149,1083.3724795298,769.3937805195,3.91137123745819,1.02914209900375,2466.6810514757,
"q21",270.5544210946,481.5794811404,608.5409368086,761.0887705264,222.8561977988,3.12631578947368,1.14418009504991,2344.6198073688,
"q22",350.1913634848,387.9015559828,709.4031771963,538.8093026978,234.5141911986,3.02411873840445,1.18595126469508,2220.8195905603,
"q23",295.2419584712,466.3228075824,682.9371303821,627.8517294301,169.3948664014,3.01100917431193,1.14237718556826,2241.7484922672,
"q24",276.778571818,407.1364637269,673.0300814328,753.807343273,227.9510690033,3.15061295971979,1.13404050599406,2338.703529254,
"q25",348.4065729007,410.8330025717,499.8669761476,803.7529947533,286.6986191828,3.18213660245184,1.24044261578737,2349.5581655561,
"q26",158.8466642602,150.704752205,359.7258964619,1270.3674573524,491.4189521868,3.71404399323181,1.05499091076186,2431.0637224663,
"q27",174.3342765933,262.2874278981,719.5283940916,789.4157914061,390.9725372026,3.46153846153846,1.08173325773959,2336.5384271917,
"q28",41.4002521267,87.5359528521,328.080081033,1025.9147750792,975.3249531058,4.14957983193277,0.877791262162745,2458.2560141968,
"q29",109.790637999,207.0543318856,378.221970199,1330.2477654361,365.4755488945,3.70833333333333,0.964590474039992,2390.7902544142,
"q3",168.3093529657,372.6894851944,327.1096178794,966.3318128169,580.9901263428,3.61262798634812,1.18759007064693,2415.4303951992,
"q30",145.3232256421,418.9045069019,527.236349809,948.0847642572,313.7445721239,3.41361256544503,1.08467859793621,2353.2934187341,
"q31",175.8739575124,400.9228335555,428.6596368544,932.1803098714,405.032528519,3.44014084507042,1.15314521872642,2342.6692663127,
"q32",227.3181515517,381.0958650172,639.287643068,759.4464625348,338.467406173,3.31095406360424,1.15465359691102,2345.6155283447,
"q33",512.8674239679,437.64290811,708.8186999361,393.3243439207,169.2463192126,2.68785046728972,1.20460339568423,2221.8996951473,
"q34",185.0801461599,178.3628264067,594.8413174308,879.305136557,334.4644651887,3.50847457627119,1.06284760299048,2172.0538917431,
"q35",58.3162636102,184.3691783367,334.5268062354,1189.554841164,621.0431686955,3.92746113989637,0.943887059870924,2387.8102580418,
"q36",32.4351289648,103.9319788179,252.808532164,1401.2908069262,604.8789832306,4.04498269896194,0.797342259682903,2395.3454301035,
"q37",236.3720161891,218.0744956539,512.2406816522,878.0939041434,474.2111702783,3.52941176470588,1.18152799516615,2318.9922679169,
"q38",126.5174350047,149.4512941133,399.2960084579,953.2075198651,602.2477531126,3.84944237918216,1.04177619480523,2230.7200105536,
"q39",64.5594187703,74.2852694477,334.6773186037,1257.5585051495,671.494243553,4.04145077720207,0.843256561568475,2402.5747555242,
"q4",130.2424864693,249.3013340226,373.7978345455,1009.5284903969,693.9254181044,3.81543624161074,1.09367777241636,2456.7955635387,0.110887306052707
"q40",157.2906229568,226.6465075849,536.4711637666,895.126586738,589.3836818101,3.66379310344828,1.11469975136969,2404.9185628564,0.193169183805705
"q41",341.0992070697,439.5443843714,545.379276127,516.7076850773,246.2558450178,2.97859922178988,1.23367672747508,2088.9863976632,
"q42",101.542594065,111.5608114584,261.0894968715,1065.8450059314,824.4776536966,4.00696864111498,1.01642027063325,2364.5155620229,
"q43",158.9229164218,243.407846281,429.598060905,874.8459488136,649.8288283118,3.71503496503496,1.15258842126227,2356.6036007332,0.0780171022258798
"q44",174.3863116117,211.2201347224,446.9693772216,855.2585761477,621.6829313811,3.7,1.14869452229286,2309.5173310845,
"q45",122.4401599563,127.8432436831,406.4765286469,823.2437592814,673.9464766902,3.893536121673,1.0401813237661,2153.9501682579,
"q46",146.0485188292,258.2372329396,543.1086053577,814.386461746,560.9208799539,3.61811722912966,1.14972935409007,2322.7016988264,
"q47",188.3808454592,214.0984190182,452.6683299034,924.839893892,561.7328187506,3.65255731922399,1.16223997197255,2341.7203070234,
"q48",64.7712634725,225.1682207037,303.1302271304,956.9688646628,847.5676717846,3.99827882960413,1.03473991303962,2397.606247754,
"q49",74.4934883066,142.1409846749,249.3021867037,1005.307211921,919.5298965824,4.10535405872193,0.986564942011504,2390.7737681886,
"q5",54.7923878433,26.5132021133,260.4019655173,1044.271372445,1054.216744855,4.23938879456706,0.819870343953623,2440.1956727739,
"q50",152.6160741516,220.3509436755,333.0667825621,929.4172589784,749.5138919333,3.80449826989619,1.146850335646,2384.9649513009,
"q51",213.1480911761,211.0031138989,309.0935639194,817.5640686275,842.9001917671,3.82931034482759,1.20884886802712,2393.709029389,
"q52",149.4516491479,179.6560710204,403.5778166115,766.3698366183,894.8093473561,3.90344827586207,1.14009445980824,2393.8647207542,
"q53",204.244885907,452.7777538972,520.1686555159,829.8782025652,345.6623695945,3.36379613356766,1.17162325726185,2352.7318674798,
"q54",198.2796978487,199.0155630216,470.3238660838,848.2530579864,525.5768662575,3.67706422018349,1.13367837567413,2241.449051198,
"q55",93.578592538,150.7327231407,475.833174418,1005.8122235836,521.4446245704,3.8121546961326,0.980285163539269,2247.4013382507,
"q56",170.6681928058,289.3738773313,398.6857937182,1052.4907919817,410.6304573707,3.58969804618117,1.11302563548433,2321.8491132077,
"q57",111.9144423809,173.8742527296,503.1208703023,1008.292223795,392.3251437071,3.66729678638941,1.02010493593141,2189.5269329149,
"q58",182.1073116295,283.660378548,474.4342119586,987.1574565038,372.7452189756,3.52707581227437,1.11709862412155,2300.1045776155,
"q59",159.4873135325,245.5482342473,476.8267310186,978.7264644757,422.0085826857,3.61524500907441,1.09414303695447,2282.5973259598,
"q6",81.0098235392,183.3897203969,228.9839843385,1142.3387404736,826.0448063301,3.99832495812395,0.982223136664065,2461.7670750783,0.0746173476744473
"q60",166.836309805,138.0323022277,437.9031162271,816.5845547414,588.7030798862,3.70398481973435,1.13685379997024,2148.0593628874,
"q61",189.7799633616,199.6215021366,573.750454532,748.5539199122,603.5678005898,3.64007092198582,1.17548553678103,2315.2736405322,
"q62",178.5687946689,206.0141888805,486.3261433779,780.4198280452,540.3698348128,3.66228893058161,1.13820529444475,2191.6987897853,
