"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",47.8361851685,169.1041320546,237.8272730852,686.5208894521,315.1971610103,3.71341463414634,1.06236850326385,1456.4856407707,
"q10",106.9889637935,241.1813959066,187.7638672954,676.0055611686,245.6430434094,3.48929663608563,1.15608889290639,1457.5828315735,
"q11",94.0659070772,203.0470683171,166.3694133176,621.7376334197,347.9103309087,3.65109034267913,1.17116677716613,1433.1303530403,
"q12",27.5769318337,27.6199387551,116.2246465266,664.6947819136,618.7324185537,4.24539877300614,0.863567017860775,1454.8487175827,
"q13",5.8865301543,13.3371059978,84.0102410199,556.052967158,750.7924403203,4.44236760124611,0.696383067676865,1410.0792846503,
"q14",70.2181306259,155.4261594289,161.9707693989,682.1280193508,387.872035733,3.79939209726444,1.09705798146381,1457.6151145375,
"q15",57.1412361235,79.201937491,104.0143203295,677.9297542988,535.5297291763,4.05810397553517,1.00290379696447,1453.8169774191,
"q16",15.2706356413,42.1919802583,134.0134240889,720.9309125744,549.8909184351,4.19756838905775,0.788944290575607,1462.297870998,
"q17",75.7540643983,113.8738869646,167.9553372862,470.7842352572,554.6637121623,3.94984326018809,1.14814245955406,1383.0312360686,
"q18",82.0402372595,217.4433535446,328.5978231275,504.0578819643,306.4546615121,3.54489164086687,1.14221517265539,1438.593957408,
"q19",73.3758995319,107.2861966199,192.357357119,521.8869946444,521.6211300225,3.93059936908517,1.11160903181823,1416.5275779377,
"q2",5.3642878655,142.2454251813,139.7639803132,798.6244536094,361.8961962531,3.9390243902439,0.906619367928117,1447.8943432225,
"q20",5.9918745961,149.2345442066,125.9395462972,701.1772064425,476.4030385314,4.02121212121212,0.933750022117267,1458.7462100738,
"q21",96.2429492375,283.2187481668,334.307731628,538.2853090972,166.0003203075,3.25545171339564,1.11670967509123,1418.055058437,
"q22",198.9030511267,257.4057297502,498.7202989223,310.3669921165,133.5511342583,2.96190476190476,1.17503605737175,1398.947206174,
"q23",226.5359410091,297.8586606635,344.2148817146,368.3913897398,137.6149157572,2.97106109324759,1.21381769083259,1374.6157888842,
"q24",108.2022097217,335.5811245721,387.9427071742,426.518236801,166.7282012676,3.15987460815047,1.15039833815453,1424.9724795366,
"q25",149.5270209439,275.0261018406,279.3223798596,505.9584575281,221.1371305084,3.2398753894081,1.26556508502079,1430.9710906806,
"q26",60.7772283047,122.6756051314,180.9690627023,757.163349235,344.1774902602,3.84545454545455,0.984867543619302,1465.7627356336,
"q27",67.012280643,134.5866287085,390.650042803,582.0507425562,268.5121021839,3.54153846153846,1.06093545778433,1442.8117968946,
"q28",8.2656322409,200.3731063688,604.2016309007,650.70126309,0,4.2887537993921,0.731621130664366,1463.5416326004,
"q29",24.8849249867,93.7373657742,181.4295431144,831.9406884999,288.4734239356,3.853125,0.878329982406231,1420.4659463108,
"q3",64.6637492807,146.5490788069,185.9599025593,552.804154325,502.0676948583,3.84307692307692,1.14260494436152,1452.0445798302,
"q30",53.5242628223,191.0086857995,303.7910175537,586.2846795854,283.8020759831,3.63836477987421,1.04385228913465,1418.410721744,
"q31",75.1212606336,191.0055994389,356.5051760393,541.9289283503,275.0807603159,3.51863354037267,1.111239938869,1439.641724778,
"q32",83.2909445274,212.6975362461,386.8142118569,515.965564119,234.4663315188,3.42056074766355,1.10711378574175,1433.2345882682,
"q33",227.2599814998,289.792695158,455.4235797003,240.6920963511,119.536054969,2.8,1.17099848769927,1332.7044076782,
"q34",49.1795650683,64.271763535,356.1595130976,529.1227448434,274.7973863175,3.69178082191781,0.974344918663,1273.5309728618,
"q35",2.7243902369,31.3915600032,179.6562087895,758.8050055072,465.8311012821,4.14197530864198,0.741242233634898,1438.4082658189,
"q36",31.1235550324,127.6519315862,811.1489331456,446.2296590091,0,4.19303797468354,0.674300774922647,1416.1540787733,
"q37",110.8256368297,156.4204418291,201.2251295465,518.6334506543,426.67762524,3.71428571428571,1.25211377238616,1413.7822840996,
"q38",53.7060380014,57.5832780307,211.2861612733,549.6599645912,477.8437651928,3.9546925566343,1.06198432221301,1350.0792070894,
"q39",10.6935661403,110.6800037555,712.2377783387,602.1611152013,0,4.28348909657321,0.673615460156604,1435.7724634358,
"q4",50.8063303072,123.1388032001,145.1853433786,620.2635060319,526.5804341591,3.98787878787879,1.06612885953874,1465.9744170769,
"q40",45.9070186455,110.8620806325,305.7376395669,599.5991377954,383.1947123843,3.83333333333333,1.02748603600223,1445.3005890246,
"q41",177.1057466101,237.6156595752,397.2672833785,345.1555682076,175.9612558214,3.05704697986577,1.18638488503038,1333.1055135928,
"q42",18.9218813501,71.458292926,145.3062627266,535.8060007453,639.0821116878,4.17610062893082,0.91627135784021,1410.5745494358,0.00298414548635206
"q43",38.2220208171,162.0558265736,219.7755780405,450.9111258937,550.5052241457,3.91194968553459,1.11419659020503,1421.4697754706,
"q44",63.4316714425,117.5275076655,209.8347155266,515.5716827418,488.3958699347,3.84664536741214,1.13882386702891,1394.7614473111,
"q45",45.0899822066,33.9500817167,282.7900938621,410.1145722958,541.5381309747,4.003367003367,1.00840493695763,1313.4828610559,
"q46",79.9251240301,119.0433600575,254.0622174617,511.5019726102,439.9472839064,3.74447949526814,1.14778658636426,1404.4799580659,
"q47",52.7166455636,128.1537234171,286.2996152797,499.9724187944,428.2037527165,3.78095238095238,1.10569705121375,1395.3461557713,
"q48",31.688613996,70.4035144594,161.2868284113,572.5139785878,609.4076535701,4.13271604938272,0.949650758481913,1445.3005890246,0.212200738590719
"q49",28.7953927817,82.8848709354,133.5867828656,545.3831457563,649.0282659347,4.18012422360248,0.943171548653905,1439.6784582737,
"q5",16.2110477635,44.9816811051,116.3541256275,654.6593318881,604.7886888304,4.25,0.852514038452455,1436.9948752146,0.309560954700465
"q50",30.0279593011,120.8993091785,129.9295504567,616.8661652434,547.4630223335,4.01543209876543,1.01828916119567,1445.1860065132,
"q51",50.5614998707,138.1512348311,171.5720914163,471.7767424042,613.2390205023,3.94444444444444,1.14977451013171,1445.3005890246,
"q52",32.5873275847,108.460974766,187.6939053866,405.001381379,711.5569999083,4.08641975308642,1.0811933650424,1445.3005890246,0.0172845969932405
"q53",68.8509039513,186.9245853084,251.717337523,583.0664435914,328.4270866886,3.61198738170347,1.112748973633,1418.9863570627,
"q54",64.7034029552,125.9701580603,230.6552645961,527.4784319812,454.4670857654,3.83174603174603,1.08563659402012,1403.2743433582,
"q55",32.1493765254,78.920326434,234.5481947367,590.7376475684,459.0567093488,3.96178343949045,0.981524863863886,1395.4122546133,
"q56",34.6115574264,171.7150684799,213.8657389888,667.1302707326,332.7194090558,3.7753164556962,1.00955352123416,1420.0420446835,
"q57",20.2140763796,94.9541033566,278.1641137579,669.3642179556,274.4945252658,3.79401993355482,0.929568422944036,1337.1910367155,
"q58",55.2582678571,182.7232518994,259.3218159448,634.672329408,276.3354165377,3.64649681528662,1.04798779731088,1408.311081647,0.0278978213192977
"q59",57.0002584294,130.7037260542,238.8924544832,636.9169993804,316.3162363246,3.75483870967742,1.02614328367249,1379.8296746718,0.0722601390137854
"q6",19.5184747572,103.8882359528,121.6654622541,657.787073909,553.0330937087,4.08256880733945,0.973215910889296,1455.8923405818,
"q60",37.559521343,86.6536742316,325.1701300523,434.1579982873,466.5843259941,3.87213114754098,1.03557305956225,1350.1256499083,0.00529674689435474
"q61",47.2769686878,109.3656281824,261.692739929,510.6666259909,482.3660293728,3.88216560509554,1.04321959158046,1411.3679921629,
"q62",32.0772864576,84.4407390733,217.9707431172,493.5481030106,491.740178467,3.98648648648649,0.998211868998754,1319.7770501257,
"q63",78.0565171039,172.6508459573,259.2183646752,601.1407241817,322.7263603622,3.6386292834891,1.0927044958564,1433.7928122803,0.0330772809727275
"q64",53.8080375516,238.4654065284,276.4016090975,623.2507896788,239.8951172276,3.525,1.08249103176691,1431.8209600839,
