"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",65.2539225156,354.298790803,218.7517565805,720.6588159371,320.4721449969,3.4641638225256,1.16876254683254,1679.4354308331,0.00497536137474962
"q10",220.1354203737,259.6834185208,311.7984729505,728.8393185811,164.2094082021,3.22448979591837,1.15841434738906,1684.6660386282,
"q11",176.5820755705,240.8713449803,257.3592193579,724.8455634056,244.7485540956,3.27430555555556,1.23724131299809,1644.4067574099,
"q12",72.2656158498,75.7986276722,200.0996808497,881.0062672138,451.8517757919,3.80887372013652,1.00902931845692,1681.0219673774,0.0372152458459501
"q13",33.7064247199,46.4902377757,135.0945017518,826.7373584139,614.2969965773,4.05882352941176,0.931694990624912,1656.3255192386,
"q14",170.1988965209,259.6523106875,265.6112112546,692.1852334118,291.8073598877,3.34129692832765,1.22456353304479,1679.4550117625,
"q15",89.7734287524,78.3102282132,193.9260460076,861.7095909708,376.967522681,3.77659574468085,1.06534797401926,1600.686816625,0.0989175877657517
"q16",12.9753536567,59.3937656451,116.6552561307,1069.4908802712,396.0754075975,4.02090592334495,0.770692551281738,1654.5906633012,
"q17",127.1655275731,177.509215778,253.9686769878,699.0008619983,395.4105458568,3.57986111111111,1.22426568255379,1653.054828194,
"q18",212.4875249024,284.1773489199,435.0279869479,501.9997609892,197.7448956886,3.07291666666667,1.22896056757532,1631.437517448,
"q19",160.4287111839,157.7882147428,256.8926281476,663.9034960539,336.0301919145,3.50179211469534,1.21108356254933,1575.0432420427,0.0324538502726882
"q2",74.3983012583,218.3243926477,244.8646788387,886.7539439091,252.7722492211,3.55972696245734,1.06662439332132,1677.1135658749,
"q20",36.0395812145,134.312362163,262.3230640937,851.846935119,403.0966857321,3.84406779661017,0.970355006647258,1687.6186283223,
"q21",201.1577106636,393.942978959,408.8130462145,544.7502131057,116.6714074165,2.92041522491349,1.15945621559355,1665.3353563593,
"q22",269.7411126128,351.1819910121,464.3425357698,371.8982056615,116.6652491304,2.82310469314079,1.2222753342119,1573.8290941866,
"q23",327.1299234186,339.8103272915,492.3589476745,295.7270740405,68.1308921183,2.58333333333333,1.16372070569439,1523.1571645434,
"q24",216.6048627408,350.2977024429,473.1186153303,434.0933473387,71.132427186,2.84172661870504,1.12573437117792,1545.2469550387,
"q25",231.4229627269,263.3556471053,433.2536296092,501.7660737743,123.1252757418,2.93115942028985,1.18120436071218,1552.9235889575,
"q26",61.0983028089,154.6161844715,211.6547015977,918.4361688426,330.930687523,3.78082191780822,0.991324225848976,1676.7360452437,
"q27",102.0469707316,208.6748051667,526.1330350089,605.8789526095,176.4759417085,3.25,1.04872461664384,1619.2097052252,
"q28",23.9071765848,42.4196316822,268.7428573272,713.1227642705,634.0198319323,4.11224489795918,0.869066264390816,1682.212261797,
"q29",79.5693057522,205.0759080112,216.4397715014,987.3367069367,172.9116575872,3.5609756097561,1.00119321614082,1661.3333497887,
"q3",155.2505816639,240.4013048887,252.0021778671,699.9036972018,299.996930111,3.32291666666667,1.25074019896067,1647.5546917325,
"q30",236.0082517161,348.1924999356,376.759688339,562.7162956559,117.212739277,2.92226148409894,1.21499168582827,1640.8894749236,0.0785673292159014
"q31",201.2458326628,278.1365486397,437.3246500548,532.323606816,156.1342836483,3.08185053380783,1.18490119799443,1605.1649218216,
"q32",202.8610437139,364.1203066745,461.2861647381,441.1671295056,124.8463825281,2.88530465949821,1.15105480106299,1594.2810271602,
"q33",437.3949032138,442.6038798945,410.2289133211,188.1229205446,52.0503266888,2.32462686567164,1.08575637297131,1530.4009436628,
"q34",86.1216968716,121.9753310973,409.4589200953,665.458807898,181.6077129179,3.45769230769231,1.02955291752256,1464.6224688801,
"q35",18.5960831823,97.7414104345,169.596199513,1012.3206298793,345.8582636531,3.95789473684211,0.790557694133636,1644.1125866622,
"q36",30.3815182844,34.9113474827,114.2700650008,1030.013675849,437.3434942462,4.08771929824561,0.747783149876314,1646.9201008631,
"q37",154.0842939912,158.0420993245,333.3916822605,636.1444302308,278.2707453529,3.44525547445255,1.18240896484032,1559.9332511599,
"q38",79.5187655469,62.1032248813,249.6517062119,718.7360173896,386.5204645316,3.8046875,1.08145576360175,1496.5301785613,
"q39",47.4789313436,61.4188126566,201.1193847858,1006.4144807763,283.2476880688,3.85663082437276,0.865537702412921,1599.6792976311,
"q4",101.5374055847,179.2836277187,247.1516893381,750.9717560415,408.6741496393,3.6271186440678,1.16494000144391,1687.6186283223,0.222572113373065
"q40",117.1450932064,267.6921773521,317.6206383283,724.7874936236,232.0833831766,3.37412587412587,1.15313231916533,1659.328785687,0.245187989613368
"q41",313.5398981438,308.5118467615,469.698724039,252.4106824067,115.0820140802,2.68235294117647,1.16590438053401,1459.2431654312,
"q42",32.268647674,85.3163904506,168.0081371335,755.0488554978,621.4480652256,4.05923344947735,0.98234953003345,1662.0900959815,
"q43",75.1493218399,118.1142464522,253.1210912469,720.4816500184,491.5846938078,3.77272727272727,1.10219441836963,1658.4510033652,
"q44",94.0306257866,110.6514512923,385.3563782776,638.4882102613,373.0255763242,3.58695652173913,1.1231660501834,1601.552241942,
"q45",31.618597866,44.026198299,347.2428100444,644.9916192051,375.0930845468,3.80314960629921,0.949635836828401,1442.9723099613,
"q46",77.4257859094,199.1424381367,352.1329811102,621.616929465,372.2346649264,3.52313167259786,1.14657820761247,1622.5527995477,
"q47",122.8716696961,118.7599020381,268.9962128753,693.7426427149,415.9724425835,3.59642857142857,1.19346552486336,1620.3428699079,
"q48",54.3284899681,87.2679667518,188.7793384257,709.2425468341,600.3820698718,3.96830985915493,1.06786466488844,1640.0004118515,
"q49",48.8164912178,61.2300550942,149.3516533536,668.4333839341,717.4884815528,4.11228070175439,1.0112170493663,1645.3200651525,
"q5",38.818286804,113.0168715238,157.5913222064,800.4231085355,555.4836968729,3.97945205479452,0.998068086309673,1665.3332859426,
"q50",63.9613669996,188.4746414998,159.2809510999,746.3887734339,487.2143321193,3.77894736842105,1.12755763134702,1645.3200651525,
"q51",107.2882599088,126.7396843571,257.0402757559,571.9475755573,582.3042695734,3.72982456140351,1.23647114184112,1645.3200651525,
"q52",68.8499113264,119.7752950908,273.7861547065,558.5533380659,608.0038839444,3.8339222614841,1.15038437346013,1628.968583134,
"q53",248.9678864371,375.9367925849,319.0462019251,475.5618273211,182.5273239678,2.95323741007194,1.26945806443852,1602.040032236,
"q54",158.0481663786,125.487988886,319.6015571598,620.7959365738,287.8739119008,3.46564885496183,1.21798596349023,1511.807560899,
"q55",54.2182703725,74.2177299401,346.8741260542,774.0864584084,269.6283933004,3.65660377358491,0.995731312251366,1519.0249780756,
