"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",567.1452455448,1284.7511549859,1500.317540753,4107.076225145,1709.9212137725,3.60299251870324,1.11467753652034,9169.2113802012,
"q10",763.5198337004,1391.2846763273,1371.4672381388,4541.8421329864,1096.6920391085,3.44094094094094,1.13895185697829,9164.8059202614,
"q11",760.3420547788,1088.7675751759,1257.9584803932,3980.3546015632,1807.3635888614,3.60524961399897,1.17785664185533,8894.7863007725,0.0188174256371946
"q12",147.9152900759,360.5713946857,692.5964449523,4733.271908696,3195.0484777944,4.19387242591662,0.813567503166847,9129.4035162043,
"q13",101.4388114331,132.825191475,475.822242538,3808.3593530495,4514.9680318292,4.39868287740628,0.734093555303265,9033.4136303248,
"q14",450.2957896588,1089.8883597907,1123.0270325898,4322.9746409004,2167.7626359284,3.73109664496745,1.10396418556935,9153.9484588681,
"q15",493.0308552173,549.1463795996,1004.892488305,4115.2643395955,2812.9488791736,3.93084016393443,1.07047018562605,8975.282941891,
"q16",162.530847777,319.4164695653,886.5319874729,4790.5652878021,2927.4545781913,4.12821807168097,0.811978693615399,9086.4991708086,
"q17",755.8618665383,720.6311884012,1296.1915430686,3480.8181730956,2654.3224874155,3.79670612454967,1.18362908728638,8907.8252585192,
"q18",759.6831546979,1439.854931694,1984.7881607967,3447.8099222375,1433.0824240964,3.39556004036327,1.17389597748445,9065.2185935225,
"q19",492.6924659065,755.7882924666,1351.8191257805,3576.9068346663,2648.1191743563,3.81535269709544,1.13588116904222,8825.3258931762,
"q2",180.0142329855,895.4680098838,1236.653984943,4949.1053730624,1880.9848673038,3.84677015523285,0.939319154866984,9142.2264681785,
"q20",289.2996363806,864.8589801466,1071.5521418345,4602.9478586805,2356.82613723,3.86148480318884,1.00236330293464,9185.4847542722,
"q21",1065.5967076536,1781.8860527426,2157.4626663758,3217.3219257887,662.0405659464,3.14077922077922,1.12124838336469,8884.3079185071,
"q22",1371.8873607126,1689.5175107423,2859.817871431,2058.9206458769,702.1273027164,2.9419595314164,1.1560854689745,8682.2706914792,
"q23",1638.6814027952,1722.3393730951,2330.6807028036,2312.6031324576,589.8620306701,2.87546967257112,1.19592688708225,8594.1666418216,
"q24",1267.1984952049,1688.8369419572,2487.6017431883,2650.6864427796,763.4353874928,3.03178738926524,1.17655693429274,8857.7590106228,
"q25",1377.3359945657,1347.1961572053,2184.3636139669,2963.4488056131,962.1216147358,3.11590436590437,1.23376684059607,8834.4661860868,
"q26",470.7428611881,769.1414992689,1368.4770420322,4726.4628776104,1721.2836404507,3.72847011144883,1.04206021807405,9056.1079205503,
"q27",728.8138802843,1125.0359361245,2649.4998534632,3165.9609993054,1248.6837373413,3.36926250644662,1.09544700984806,8917.9944065187,0.00761188743147615
"q28",71.16235907,290.5060781928,1047.6777216985,4002.5790322188,3747.0978178505,4.2195,0.806625732627139,9159.0230090306,
"q29",240.6459549417,765.8749921699,1560.1453312271,4862.457704419,1435.2507015151,3.75776397515528,0.898999253837942,8864.3746842728,
"q3",516.1791213523,1117.9208007214,1541.9086585805,3621.2576625155,2253.6963300377,3.69242424242424,1.13728806167927,9050.9625732074,
"q30",685.7010695343,1374.9440802454,1990.4990441211,3601.2600446078,1102.6945116153,3.39528795811518,1.10206187813995,8755.0987501239,
"q31",663.1028162351,1315.386685199,2028.9716954972,3606.3350514595,1230.3108749972,3.4282011404873,1.10550908692071,8844.107123388,
"q32",753.1114315001,1380.613648822,2685.4290848959,2820.9353650014,1098.1087127688,3.29674369747899,1.10873373469136,8738.1982429882,
"q33",2040.5564837281,2139.0176517651,2359.0927756923,1371.2212923028,447.2211558004,2.55030236393623,1.16375103230091,8357.1093592887,
"q34",521.5395176701,542.322500449,2813.8910239635,3082.204687324,1123.6799989718,3.50028232636928,1.00584446316943,8083.6377283784,
"q35",160.4021704606,307.667200121,929.8659669146,5232.0628665433,2273.1404249676,4.04727646454265,0.807309335139022,8903.1386290071,
"q36",130.9823257316,236.8779318117,634.1741554168,5473.3761623763,2398.1334821298,4.13388259526262,0.752529830927461,8873.5440574662,
"q37",743.0306497924,918.0616059382,1764.4195729343,3413.0948439441,1741.6883622613,3.57700534759358,1.16861289090483,8580.2950348703,
"q38",424.7691599776,386.5211251072,1360.56197395,3656.5802771379,2463.760401236,3.91863661352391,1.03459366842578,8292.1929374087,
"q39",93.5791672111,234.8818977163,897.9495313076,4998.8569614945,2615.6218445845,4.1421188630491,0.745866691396524,8840.889402314,
"q4",441.0490156546,796.6195708274,1127.7719838937,3937.0600635877,2830.7717339916,3.90562248995984,1.0654750494124,9133.272367955,0.153442195789028
"q40",366.5040402149,860.5779744818,1822.4001614842,3879.2087676954,1990.3088988831,3.75359342915811,1.02953927942889,8918.9998427594,0.366481450190161
"q41",1261.207219576,1706.7462808337,2625.9456587228,1710.5395749672,746.5182282917,2.90405482581382,1.17494831758355,8050.9569623914,
"q42",319.6667036361,303.9005037449,940.4422429562,3905.5321671399,3337.6341605642,4.10605276771857,0.960196231297098,8807.1757780413,0.0335465902009075
"q43",603.168525965,806.6613437903,1403.2257300969,3370.2281181431,2653.7225921239,3.77950310559006,1.16705783452028,8837.0063101192,
"q44",745.4437708232,651.1003689598,1581.2861820412,3398.8810518086,2329.7725752611,3.71232876712329,1.17631957035585,8706.4839488939,0.00593431274180926
