"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",431.223122697,1034.3352059322,1277.1779454457,3079.8946003602,1664.2144025434,3.64349910125824,1.11692934164423,7486.8452769785,
"q10",511.9303215465,917.4364454441,1015.2097741186,3929.3437119751,1044.7082958544,3.56280193236715,1.08643617593068,7418.6285489387,
"q11",552.3622936319,952.351481327,1060.6476378142,3000.1159006484,1659.8607968314,3.61001236093943,1.18716017817881,7225.3381102529,0.0339067423517087
"q12",74.3288442465,224.4468714475,571.8885079162,3902.1825831758,2623.5558366477,4.21415607985481,0.767920980178733,7396.4026434337,
"q13",49.054329983,75.2017636984,427.9879517474,3287.779803252,3525.5153441339,4.40499390986602,0.674999289023526,7365.5391928147,
"q14",374.9437573629,955.9305122023,967.3391513201,3426.2511122398,1707.6352557096,3.70481927710843,1.10709298612063,7432.0997888347,
"q15",355.8987095703,353.0867838861,794.0307426126,3232.0287189293,2618.38748857,4.04822954822955,1.03723878833448,7353.4324435683,
"q16",116.6128359299,230.1207174534,732.0842942625,3616.5226171328,2713.1597856634,4.19018776499091,0.802375655161389,7408.500250442,
"q17",484.2263132833,439.381171791,1025.8650836792,2853.5060539598,2462.7959639984,3.89285714285714,1.13678133651958,7265.7745867117,
"q18",579.4137089639,980.103690001,1542.0878572703,2895.8040303813,1359.1737523974,3.50640634533252,1.14559269424497,7356.5830390139,
"q19",418.4233993202,480.8640727616,913.9203077227,2830.3477691162,2625.3826717336,3.96287128712871,1.10830589970624,7268.9382206543,
"q2",187.2260625255,574.68773407,914.5254557079,3878.8193221145,1851.1623208162,3.9286146400484,0.919119132834498,7406.4208952341,
"q20",125.3329595652,717.8823689226,801.585248614,3544.8460010293,2286.3067802063,3.93997599039616,0.980897915251079,7475.9533583374,
"q21",520.7522297629,1232.1300429584,2062.4937756905,2675.0807602374,723.4933292526,3.25698324022346,1.06718674067404,7213.9501379018,
"q22",1000.8810111531,1127.2585100067,2174.6326693831,1865.0632167672,679.3688153266,3.03414313854235,1.16458487096443,6847.2042226367,
"q23",1062.339592897,1362.7768689196,1950.8060060045,2077.8407355346,534.2148518269,2.98389175257732,1.17589076043378,6987.9780551826,
"q24",797.6850327294,1247.2652402595,2056.0566732935,2301.6877979697,726.7272143691,3.14465408805031,1.1421137811445,7129.4219586212,
"q25",963.2507069438,1127.0416149065,1603.3538086952,2529.1368216181,968.4143573759,3.21701063164478,1.22390082760279,7191.1973095395,
"q26",298.5401050509,480.6633069702,987.5512592229,3932.8443291545,1696.5916573835,3.82392228293868,0.987447789059861,7396.190657782,
"q27",393.6740695602,905.6331202686,2310.3679037999,2537.0757293408,1124.8051228455,3.42257865515114,1.05512670271332,7271.555945815,
