"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",68,228,203,450,217,3.44596912521441,1.16681439873958,1166,
"q10",104,207,199,522,126,3.31001727115717,1.15284166577921,1158,
"q11",91,192,192,460,192,3.4170363797693,1.18755869313994,1127,
"q12",21,56,101,596,371,4.08296943231441,0.875620611043607,1145,
"q13",12,32,94,503,494,4.26431718061674,0.810374119305843,1135,
"q14",78,165,155,528,238,3.58676975945017,1.15677237029467,1164,
"q15",69,88,171,498,306,3.78091872791519,1.11086103584451,1132,
"q16",23,32,153,590,354,4.05902777777778,0.853258745925756,1152,
"q17",116,100,182,425,297,3.61339285714286,1.25255738646309,1120,
"q18",146,193,273,382,157,3.18331885317116,1.23299554707785,1151,
"q19",95,121,148,425,306,3.66301369863014,1.2350206886019,1095,
"q2",37,175,151,557,235,3.67359307359307,1.05971800177195,1155,
"q20",36,99,156,572,300,3.86070507308684,0.996307391374154,1163,
"q21",123,268,269,356,85,3.01089918256131,1.15044229036617,1101,
"q22",210,210,299,245,97,2.81998114985862,1.24711606926155,1061,
"q23",201,245,301,249,56,2.72813688212928,1.17224773244873,1052,
"q24",143,249,320,285,95,2.94505494505495,1.165775036628,1092,
"q25",163,218,275,324,112,3.003663003663,1.22679575181385,1092,
"q26",58,104,188,600,202,3.68055555555556,1.02549788481866,1152,
"q27",94,152,340,380,141,3.29087624209575,1.11634974542459,1107,
"q28",8,27,189,490,448,4.15576592082616,0.824269241953365,1162,
"q29",30,115,182,621,171,3.70420017873101,0.938679018507018,1119,
"q3",80,178,193,429,268,3.54616724738676,1.20176894316408,1148,
"q30",109,224,247,426,110,3.18279569892473,1.1554936737051,1116,0.0030999230229132
"q31",86,196,267,431,136,3.30017921146953,1.1263019229612,1116,
"q32",112,185,318,355,119,3.16896235078053,1.14761218191887,1089,
"q33",290,276,273,153,60,2.4458174904943,1.19701166006329,1052,
"q34",76,84,326,370,161,3.44837758112094,1.08567072731944,1017,
"q35",25,48,118,648,287,3.99822380106572,0.854788575601986,1126,
"q36",15,34,77,662,345,4.13680494263019,0.770362698463542,1133,
"q37",118,129,216,373,225,3.43166823751178,1.25754175714443,1061,
"q38",73,52,172,433,280,3.78712871287129,1.12244983433203,1010,0.0295537258422759
"q39",11,30,140,620,324,4.08088888888889,0.775307946573851,1125,0.0479835284189097
"q4",62,138,175,501,279,3.69004329004329,1.12210941869221,1155,0.318245431142042
"q40",52,152,251,465,214,3.56172839506173,1.08067311423413,1134,0.266069340111997
"q41",189,212,300,205,104,2.82475247524752,1.24261193792126,1010,
"q42",40,51,146,476,411,4.03825622775801,0.998375787916086,1124,
"q43",86,104,196,403,329,3.70214669051878,1.20273295472373,1118,
"q44",81,120,244,353,304,3.61615245009074,1.20347381176809,1102,
"q45",55,41,237,391,300,3.8203125,1.06620415498053,1024,
"q46",91,135,247,371,268,3.53057553956835,1.21087200380146,1112,
"q47",86,103,247,393,272,3.60127157129882,1.17935198685942,1101,
"q48",41,90,138,443,418,3.97964601769911,1.06665867309817,1130,
"q49",41,58,103,456,468,4.11190053285968,1.01451708615355,1126,
"q5",25,60,130,530,398,4.06386701662292,0.930292737661926,1143,0.107987534014234
"q50",64,135,143,436,350,3.77393617021277,1.17325782165052,1128,
"q51",81,94,214,334,405,3.78723404255319,1.21836587804674,1128,
"q52",56,98,206,336,431,3.87666370896185,1.16027200811338,1127,0.013700268700866
"q53",126,195,263,365,145,3.19012797074954,1.21158383562378,1094,
"q54",94,88,219,437,231,3.58278765201123,1.16997522813696,1069,
"q55",50,67,214,504,211,3.72562141491396,1.00917008210822,1046,
"q56",83,135,222,495,173,3.48736462093863,1.12088778882358,1108,
"q57",61,99,258,451,163,3.53875968992248,1.05450381011688,1032,
"q58",90,165,247,414,163,3.3660797034291,1.158336132025,1079,
"q59",82,127,227,461,171,3.47940074906367,1.12671687860594,1068,
"q6",40,101,138,554,327,3.88534482758621,1.02334732273129,1160,
"q60",85,99,258,372,248,3.56403013182674,1.17512144720422,1062,
"q61",84,128,258,387,249,3.53254972875226,1.17797595015933,1106,
"q62",57,80,241,417,239,3.6779497098646,1.08038807223435,1034,
"q63",70,220,230,422,174,3.3673835125448,1.14718323777736,1116,
"q64",92,241,244,388,147,3.23111510791367,1.17182780030981,1112,
"q65",97,207,282,356,170,3.26528776978417,1.18220381394583,1112,
"q66",70,193,332,387,130,3.28237410071942,1.0781082092572,1112,
"q67",215,269,322,213,90,2.72407574391344,1.20826246104193,1109,0.0711525694262598
"q68",125,210,267,367,145,3.17684021543986,1.20725661451736,1114,0.0543483984133757
"q69",66,147,199,500,202,3.56104129263914,1.10879405286223,1114,
"q7",13,9,32,407,697,4.52504317789292,0.697429375390055,1158,
"q70",99,222,193,446,152,3.29676258992806,1.19029542178002,1112,
"q71",75,173,233,458,175,3.43536804308797,1.12946587854691,1114,
"q8",9,17,109,502,527,4.30670103092783,0.762123415010055,1164,
"q9",205,293,185,364,113,2.90258620689655,1.28641680567046,1160,
