"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",23,82,89,248,118,3.63571428571429,1.09289927577383,560,
"q10",37,103,76,271,68,3.41441441441441,1.12301544547107,555,0.0275754301818255
"q11",37,60,75,259,118,3.65755919854281,1.13151691457408,549,0.1358173928503
"q12",8,19,37,299,190,4.16455696202532,0.807601248257985,553,
"q13",5,5,33,251,261,4.36576576576577,0.71692981287406,555,
"q14",32,66,65,254,142,3.7298747763864,1.13451163544391,559,
"q15",23,23,48,266,191,4.0508166969147,0.987722018757751,551,
"q16",11,16,46,283,199,4.15855855855856,0.843371742967159,555,
"q17",34,41,92,215,168,3.80363636363636,1.13624884334914,550,
"q18",41,72,124,221,92,3.45636363636364,1.13757861857077,550,
"q19",33,42,74,216,175,3.84814814814815,1.14086526755635,540,
"q2",13,53,61,303,128,3.86021505376344,0.954152574275935,558,
"q20",16,50,63,283,148,3.8875,0.990033067155246,560,
"q21",46,103,149,195,45,3.16728624535316,1.09760551803381,538,
"q22",70,92,167,134,44,2.98027613412229,1.16079123326963,507,
"q23",78,103,139,151,41,2.94921875,1.19414724668737,512,
"q24",65,93,156,167,48,3.07561436672968,1.15877369980897,529,
"q25",80,89,119,191,62,3.12199630314233,1.24718070506941,541,
"q26",26,47,75,288,120,3.77158273381295,1.02929259989852,556,
"q27",33,76,173,189,76,3.36380255941499,1.0729809309405,547,
"q28",2,15,52,257,231,4.25673249551167,0.763708357484101,557,
"q29",14,46,83,318,84,3.75596330275229,0.903977240638288,545,
"q3",31,64,79,224,148,3.72161172161172,1.14914007073737,546,
"q30",35,92,102,244,65,3.39405204460967,1.10227542423859,538,
"q31",34,88,117,223,79,3.41589648798521,1.11340592760942,541,
"q32",46,82,150,177,74,3.28544423440454,1.14803679644607,529,
"q33",119,114,171,75,32,2.58317025440313,1.17508052639197,511,
"q34",23,23,185,169,85,3.55670103092783,0.989292594796287,485,
"q35",9,13,43,325,151,4.10166358595194,0.771492664294645,541,
"q36",7,14,53,303,162,4.1113172541744,0.78000210269178,539,
"q37",40,51,89,210,130,3.65192307692308,1.17782831161579,520,
"q38",25,21,76,231,153,3.92094861660079,1.02911857379929,506,
"q39",7,10,46,314,164,4.14232902033272,0.747886733148291,541,
"q4",19,46,81,254,157,3.8689407540395,1.0243726585603,557,0.143174044100755
"q40",16,58,108,243,121,3.72344322344322,1.01659616145552,546,0.143409679597079
"q41",81,104,166,86,61,2.88353413654618,1.22945488560327,498,
"q42",19,32,55,226,211,4.06445672191529,1.0189568636175,543,0.0854143527107065
"q43",36,52,82,211,161,3.75461254612546,1.17141198638165,542,
"q44",40,50,94,198,151,3.69418386491557,1.19141033661384,533,
"q45",26,21,94,206,157,3.88690476190476,1.05754279453999,504,
"q46",40,56,110,195,138,3.62152133580705,1.1844644551643,539,
"q47",35,45,100,220,137,3.70577281191806,1.13090251262671,537,
"q48",19,40,62,215,209,4.01834862385321,1.0517986291012,545,0.00383824829377399
"q49",17,27,58,211,228,4.12014787430684,0.999250078225384,541,0.0241623108776808
"q5",5,14,47,247,235,4.26459854014599,0.79375212410009,548,0.15466223656552
"q50",34,50,60,228,172,3.83455882352941,1.15399082865904,544,
"q51",33,44,84,176,204,3.87615526802218,1.18063260111271,541,
"q52",27,33,83,168,233,4.00551470588235,1.12806444172399,544,0.0726522271660392
"q53",43,86,123,183,92,3.37001897533207,1.18357445001432,527,
"q54",30,53,102,216,118,3.65317919075145,1.111168516333,519,
"q55",17,30,86,256,122,3.853228962818,0.959975665757099,511,0.00723019737911789
"q56",26,56,96,249,99,3.64448669201521,1.05696691970296,526,
"q57",21,40,104,237,95,3.69416498993964,1.00554218089653,497,
"q58",32,70,120,207,86,3.47572815533981,1.10925238778596,515,
"q59",27,46,121,221,95,3.60980392156863,1.05390189072298,510,
"q6",13,28,44,274,197,4.10431654676259,0.914300441767257,556,
"q60",29,41,102,214,126,3.716796875,1.09431509723891,512,
"q61",35,58,110,194,138,3.6392523364486,1.16549623012016,535,
"q62",17,39,107,205,124,3.77235772357724,1.02365511097904,492,
"q63",26,83,106,216,105,3.54291044776119,1.11490585470819,536,0.0167588619674039
"q64",28,99,112,220,76,3.40560747663551,1.10071748610334,535,0.0570829064089252
"q65",47,84,118,189,96,3.38014981273408,1.20024199249711,534,0.000586169633347827
"q66",30,80,138,202,84,3.43071161048689,1.09487663220674,534,
"q67",84,106,173,113,59,2.9196261682243,1.21441399782588,535,
"q68",43,67,130,224,73,3.40409683426443,1.11578814505061,537,0.0427414827068191
"q69",16,62,77,244,136,3.78878504672897,1.04319868788151,535,
"q7",3,2,15,198,335,4.55515370705244,0.623465960762809,553,
"q70",50,98,91,211,87,3.34823091247672,1.21547915999041,537,
"q71",18,69,115,222,109,3.62851782363978,1.05171407629258,533,
"q8",2,5,37,244,269,4.38779174147217,0.68414335428494,557,
"q9",75,139,74,204,68,3.09107142857143,1.27614367461191,560,
