"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",101.7392177497,353.6940224991,379.5428521543,1162.7491724653,539.35724849,3.64568081991215,1.0872864056387,2537.0825133584,
"q10",219.9496642492,435.8993177265,419.3257107668,1184.4555148439,261.4215393729,3.29646017699115,1.14102464021541,2521.0517469593,
"q11",199.1891985273,315.5843177955,306.2034993445,1069.3139540439,556.0413397057,3.58931297709924,1.20048740791999,2446.3323094169,0.122061837430298
"q12",67.0023992447,123.2836258774,184.6675710365,1187.1938034127,947.832138725,4.12721893491124,0.948339032669953,2509.9795382963,
"q13",29.3938205963,48.8348742512,198.5068853891,1042.8164668358,1170.738732119,4.32282282282282,0.820409849063711,2490.2907791914,
"q14",121.5242097524,280.0848947124,237.4305809961,1193.2440566909,683.4277738438,3.76923076923077,1.12612084082844,2515.7115159956,
"q15",131.6781098071,106.906955729,345.0912164698,1108.9743143784,770.392589974,3.95173453996983,1.03303113759325,2463.0431863583,
"q16",29.839321411,116.181844038,244.0310944605,1235.5897078774,876.0095941055,4.13283582089552,0.863802567630469,2501.6515618924,
"q17",121.5551344703,122.0286311832,274.0583126135,970.6968673744,942.4946578192,3.98012232415902,1.12655649698972,2430.8336034606,
"q18",258.0694817441,409.048683303,532.9966172788,936.4937616497,346.5690247448,3.25637181409295,1.21004331927402,2483.1775687204,
"q19",158.8658164153,286.7837504477,351.0131629408,926.6258732154,743.367985384,3.73604826546003,1.20347460612025,2466.6565884032,
"q2",28.5509325517,181.4275348332,280.9147652441,1380.5620281589,645.5804691203,3.94690265486726,0.896479653391083,2517.0357299082,
"q20",27.1320539526,174.9048556739,191.7470367912,1222.3843265278,906.2029672876,4.10766961651917,0.905538610049103,2522.3712402331,
"q21",182.9443098147,466.5407461478,563.6436983912,913.9830630887,303.000375845,3.27175572519084,1.15973968983977,2430.1121932874,
"q22",293.7018136197,396.8402208958,647.3176237791,718.0138343977,243.2794664789,3.12540192926045,1.20400475702545,2299.1529591712,
"q23",336.1389652111,453.2099701603,626.3724321875,663.8243982168,168.5602834453,2.97203947368421,1.17393765011052,2248.106049221,
"q24",301.8289117993,512.3864771581,681.8416548031,717.555837434,190.4605886284,3.02647975077882,1.1760412747572,2404.0734698229,
"q25",257.7804314161,449.8121516762,551.5300633373,856.2940413085,297.3618944871,3.23456790123457,1.22085540172461,2412.7785822252,
"q26",96.6722570583,145.7630495554,279.9531976016,1261.3783150761,719.7605369,3.90490341753343,1.02055789679835,2503.5273561914,
"q27",121.1333025626,293.2678916511,790.9320974701,846.4770317676,401.9262101655,3.46818181818182,1.06846919994537,2453.7365336169,
"q28",9.2664928637,21.8464941052,298.1644048352,902.4187323412,1290.3196942193,4.35441176470588,0.776672753852706,2522.0158183646,
