"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",1101,2968,3369,9309,3826,3.57312983036018,1.1073795333085,20573,
"q10",2451,4139,3602,8663,1589,3.13695949911955,1.18235393921239,20444,
"q11",1744,2779,3415,8996,2904,3.43033571932654,1.16001209776067,19838,
"q12",408,822,2070,11258,5844,4.04440741103813,0.852707331346279,20402,
"q13",173,382,1452,8796,9408,4.33016674088368,0.762226657492081,20211,
"q14",1140,2162,2877,9672,4596,3.70533574607522,1.09701666239457,20447,
"q15",1343,1900,2985,9479,4657,3.69765272048713,1.11833478030715,20364,
"q16",287,695,2121,11670,5635,4.06188749509996,0.79939814468273,20408,
"q17",1928,2057,4111,7562,4078,3.49680786380219,1.20743828636278,19736,
"q18",1721,3170,5018,8082,2381,3.30591007264873,1.12437849958152,20372,
"q19",1435,2426,2852,8802,4786,3.64420471897936,1.16785962035957,20301,
"q2",634,2587,3233,10748,3268,3.65603321934538,0.991761704931851,20470,
"q20",599,1846,2686,9853,5569,3.87320585802559,1.00358384820905,20553,
"q21",2521,4508,5510,6128,1250,2.9537078877341,1.13546506483514,19917,
"q22",3169,3775,5605,5455,1433,2.90780470237177,1.18890706170465,19437,0.000617193876805457
"q23",4123,4473,5316,4199,888,2.64503394915522,1.17708113553695,18999,
"q24",2906,4414,5758,5358,1147,2.86855946484195,1.14440176555534,19583,
"q25",2836,3376,4884,6583,1741,3.05236869207003,1.20536036579107,19420,
"q26",936,1616,2775,10904,4217,3.77513693270736,1.00971172069934,20448,
"q27",1259,2297,6149,7573,2632,3.40291310899046,1.05601399387525,19910,
"q28",123,410,2715,8925,8375,4.21758808643177,0.791255183209952,20548,
"q29",658,2177,3820,11016,2372,3.61203412662775,0.942546148802996,20043,
"q3",1382,3106,3826,7993,3955,3.49516335998421,1.16458241835205,20262,
"q30",1818,4266,5380,6987,1456,3.10031647159291,1.10142413967012,19907,
"q31",1800,3758,5097,7443,1835,3.18838107660663,1.12069250403863,19933,0.00746825910718398
"q32",2196,4240,6134,5617,1535,3.00278876381706,1.12096900196729,19722,
"q33",4419,5502,5429,3021,740,2.48516561142797,1.12284550252706,19111,
"q34",1014,1195,4503,9312,3662,3.68134715025907,1.00978425693121,19686,
"q35",490,1013,2680,11521,4411,3.91225453641561,0.874953066448878,20115,
"q36",555,1347,3329,11439,3432,3.7882797731569,0.898924472041612,20102,
"q37",2118,2309,4461,7308,3068,3.35812915282392,1.20327355873871,19264,
"q38",1236,1193,3312,8646,4449,3.73683372265874,1.08938174011465,18836,
"q39",517,1159,3800,10763,3726,3.80250438266967,0.896247513990822,19965,0.106255904616545
"q4",872,1723,2868,9247,5781,3.84632277585281,1.05729173303483,20491,
"q40",999,2214,4431,8646,4071,3.61765139236776,1.07142781756432,20361,0.228253265669622
"q41",2263,3333,5470,5337,2423,3.12344629767343,1.2004229180428,18826,0.031301947532762
"q42",726,835,1862,8567,8264,4.12609854843488,0.985700966051449,20254,
"q43",1100,1682,3287,8107,6034,3.80618505690252,1.11645231695527,20210,
"q44",1381,1990,3560,7771,5347,3.68397426305551,1.16679717559584,20049,
"q45",722,772,3872,7995,5723,3.90258855585831,0.997820612226133,19084,
"q46",1259,2085,4052,7853,4931,3.64975222993062,1.13899582972516,20180,
"q47",1103,1549,3725,8416,5224,3.75480841284908,1.09200549619047,20017,
"q48",747,1344,2396,8369,7459,4.00659611124785,1.03956192164222,20315,
"q49",724,915,1958,8042,8628,4.13164257166823,1.00356557708088,20267,
"q5",294,670,2026,9375,7900,4.18021218850234,0.848638196623118,20265,
"q50",466,965,1333,9999,7505,4.14031971580817,0.90209896325715,20268,
"q51",1418,1725,3263,6796,7091,3.80899817671118,1.2011328538963,20293,
"q52",956,1280,3586,6513,7958,3.9479623515498,1.11468010691271,20293,
"q53",3065,4362,5347,5408,1621,2.9069837903348,1.1963708070066,19803,0.0448620356176667
"q54",2266,2390,5411,6542,2280,3.22129281592461,1.1775599333919,18889,0.000312030473648796
"q55",1050,1247,4469,9235,2882,3.61706296668961,1.00364715466402,18883,
"q56",1411,2257,4437,9237,2492,3.46092568317031,1.07435973868371,19834,
"q57",1123,1726,4791,8801,2366,3.50837454139416,1.02147605260809,18807,
"q58",1991,3071,4752,7507,2162,3.24523943951137,1.15563912809105,19483,
"q59",1672,2430,4749,8116,2489,3.37623355263158,1.12072530381765,19456,
"q6",521,1476,2407,10452,5566,3.93360101850945,0.951185101006224,20422,
"q60",1607,1968,4931,6744,3815,3.48214004720692,1.16711499033057,19065,0.0028283638209002
"q61",2125,3002,5456,6339,3003,3.25560853199498,1.1970817454156,19925,0.0861089991705442
"q62",1131,1691,5010,7606,3170,3.53702708512468,1.06575576422249,18608,
"q63",1228,3776,4694,7878,2591,3.33857291615015,1.10488856581132,20167,0.010476181176316
"q64",1611,4358,5078,7047,2020,3.17435616983196,1.12194680154006,20114,0.0446179721770668
"q65",1757,3592,4808,7241,2666,3.27247807017544,1.16082876460838,20064,
"q66",1905,4229,6489,5832,1621,3.05155409444112,1.09593705703793,20076,0.114823838210715
"q67",2931,3985,5756,5539,1873,2.97201752638917,1.19594232245172,20084,0.00345977407275341
"q68",1475,3141,4877,8106,2491,3.34828272772524,1.10825882818533,20090,
"q69",934,2080,3487,9559,4031,3.68055348165845,1.05105584036063,20091,0.303293323884207
"q7",105,133,475,7206,12555,4.56163915209534,0.627007064660566,20474,
"q70",1427,3166,3496,8764,3258,3.46044453284272,1.14590234066214,20111,0.035497177852081
"q71",1318,3061,4624,8449,2677,3.4027025684336,1.09707872368744,20129,
"q8",75,195,1604,9459,9192,4.33973203410475,0.693892970845415,20525,
"q9",3242,5184,3319,7093,1694,2.94218780440288,1.24751717621633,20532,
