"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",91,260,318,744,328,3.55025847214245,1.11232705841308,1741,
"q10",154,263,311,796,204,3.36631944444444,1.14372986464515,1728,
"q11",128,244,324,719,273,3.4531990521327,1.14722487383904,1688,0.00208299365190892
"q12",21,41,134,950,585,4.17677642980936,0.767062715509658,1731,
"q13",8,24,86,653,944,4.45830903790087,0.699128101857056,1715,
"q14",84,155,310,792,393,3.7237600922722,1.05985907570621,1734,
"q15",129,169,266,745,407,3.65967365967366,1.16089073503397,1716,
"q16",19,48,181,958,522,4.1087962962963,0.778082173135153,1728,
"q17",155,155,301,694,388,3.59362079149439,1.19702426168657,1693,
"q18",135,217,451,667,234,3.38028169014085,1.11404250438609,1704,
"q19",120,164,225,732,469,3.74035087719298,1.16379853376497,1710,
"q2",50,185,246,913,336,3.7514450867052,0.98135344839592,1730,
"q20",64,174,277,779,442,3.78398617511521,1.04921950288137,1736,
"q21",160,334,525,523,125,3.07138572285543,1.09251109449047,1667,
"q22",221,306,480,463,146,3.00433168316832,1.17691144262775,1616,
"q23",334,339,471,373,83,2.7075,1.18440724112128,1600,
"q24",204,360,507,467,119,2.96197948098974,1.13054983932255,1657,
"q25",206,290,433,558,160,3.10686095931998,1.18033514382033,1647,
"q26",89,142,251,880,363,3.74550724637681,1.04183870599225,1725,
"q27",104,181,541,587,242,3.41208459214501,1.06356564972168,1655,
"q28",16,44,269,730,680,4.15813686026452,0.839718966162525,1739,
"q29",51,163,319,936,229,3.66489988221437,0.930187767518092,1698,
"q3",134,269,391,633,288,3.39183673469388,1.16510067230094,1715,
"q30",127,300,471,633,147,3.2222884386174,1.07724510393454,1678,
"q31",134,307,464,601,170,3.21837708830549,1.10469121387745,1676,
"q32",192,330,536,447,146,3.01514233797698,1.13581406970496,1651,
"q33",356,424,496,274,89,2.58267236119585,1.15695800636182,1639,
"q34",79,90,398,784,310,3.69596628537026,0.98954260278073,1661,
"q35",45,119,279,930,330,3.81092190252496,0.916334614698482,1703,
"q36",44,114,276,940,328,3.81903642773208,0.907303704172869,1702,
"q37",189,186,407,598,246,3.32349323493235,1.20354414023444,1626,
"q38",101,97,292,699,378,3.73771537970645,1.08960050474278,1567,
"q39",24,74,302,923,366,3.90763765541741,0.83097308994429,1689,
"q4",76,139,263,759,494,3.84113229347198,1.06258257229768,1731,0.213377069000426
"q40",67,176,396,705,378,3.66840882694541,1.04841027942083,1722,0.199450509459281
"q41",154,250,479,468,251,3.25717852684145,1.18074348710859,1602,
"q42",77,98,210,717,603,3.98005865102639,1.05520229079182,1705,
"q43",87,146,310,661,489,3.7790903721205,1.10964496035694,1693,
"q44",109,169,304,641,465,3.70142180094787,1.16140171112516,1688,
"q45",65,72,370,618,472,3.8515967438948,1.02592596120974,1597,
"q46",109,160,312,657,465,3.70992366412214,1.15097217633232,1703,
"q47",94,146,358,644,440,3.70749108204518,1.11345820777778,1682,
"q48",64,107,223,699,619,3.99415887850467,1.03868526932431,1712,
"q49",63,76,178,685,708,4.11052631578947,1.00790048407092,1710,
"q5",25,62,230,719,679,4.14577259475219,0.886024267782297,1715,0.0912155463093824
"q50",38,57,118,854,641,4.17271662763466,0.865280512926443,1708,
"q51",115,168,278,565,586,3.7821261682243,1.20628905777611,1712,
"q52",79,107,302,533,688,3.96196606202458,1.11581346651489,1709,
"q53",222,341,479,459,156,2.9915509957755,1.18155145335309,1657,
"q54",181,194,485,515,193,3.22002551020408,1.16563514707398,1568,
"q55",84,116,382,736,270,3.62468513853904,1.01913400311281,1588,
"q56",99,155,367,792,250,3.56464221286831,1.04438241762579,1663,
"q57",75,119,396,749,224,3.59373000639795,0.98419603737717,1563,
"q58",145,231,424,611,204,3.30835913312694,1.13642986256505,1615,
"q59",129,201,414,637,218,3.38398999374609,1.11599760448509,1599,
"q6",42,120,179,853,531,3.99188405797101,0.953649230219932,1725,
"q60",107,177,401,549,336,3.52866242038217,1.14561546495839,1570,
"q61",140,244,479,515,302,3.35416666666667,1.17454408255552,1680,
"q62",104,175,508,524,241,3.4014175257732,1.08590313113781,1552,
"q63",98,301,439,635,233,3.35404454865182,1.09548716853767,1706,0.0816739415063786
"q64",124,329,417,616,209,3.26961651917404,1.12757255405673,1695,
"q65",150,304,404,576,267,3.29747207524985,1.18755287929907,1701,
"q66",124,312,566,514,180,3.18514150943396,1.08186050988754,1696,
"q67",207,275,514,492,209,3.13022981732469,1.19012723534242,1697,0.12954395766769
"q68",102,248,407,673,266,3.4439858490566,1.10207063242593,1696,0.0660357241704627
"q69",71,159,296,793,381,3.73764705882353,1.03925047362545,1700,
"q7",6,11,41,618,1057,4.56318522792845,0.610876787025957,1733,
"q70",107,259,299,733,300,3.50647820965842,1.13456144123299,1698,
"q71",98,212,433,692,262,3.47613435474367,1.07481992825058,1697,
"q8",4,15,168,797,746,4.30982658959538,0.698644870231174,1730,
"q9",192,280,293,730,239,3.31372549019608,1.21619513320801,1734,
