"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",5.7041874719,14.7129217539,18.5932420397,46.3918560939,28.1178201444,3.70689655172414,1.13953854448802,113.5200275038,
"q10",16.059415755,19.1839144339,12.2125937708,46.2842761623,17.6626128553,3.28070175438596,1.31955601251915,111.4028129773,
"q11",12.2719791736,12.8961498694,18.5003583353,41.0404013652,27.0176522876,3.52631578947368,1.28320557252273,111.7265410311,
"q12",4.4427349321,15.0031901323,44.4468474555,49.6272549839,0,4.20689655172414,0.932053395986709,113.5200275038,
"q13",2.3255204056,7.4976739446,39.2077359395,62.3718826876,0,4.43859649122807,0.779595679540938,111.4028129773,
"q14",10.4706504578,8.0297078775,14.0576234032,40.9836176518,39.9784281135,3.82758620689655,1.23028924048169,113.5200275038,
"q15",8.0297078775,6.0357577688,8.5617418104,35.2433301889,53.3239694526,4.10526315789474,1.19050125286902,111.1945070982,
"q16",5.3804594181,10.1547646471,44.7066964943,53.2781069443,0,4.29310344827586,0.837888337610502,113.5200275038,
"q17",8.3534359313,5.712029715,15.7995667162,39.8943710001,33.8220076163,3.84905660377358,1.18315462308145,103.5814109789,
"q18",9.6148884711,9.6227307142,23.9737014578,47.0960959149,21.4191244731,3.56140350877193,1.18045910953035,111.7265410311,
"q19",6.2362214048,8.3612781744,14.2659292823,33.8194342783,46.7181574857,4.01785714285714,1.16760939029784,109.4010206255,
"q2",2.1172145265,8.3534359313,18.0612081068,68.6953354968,16.2928334424,3.81034482758621,0.84722242883445,113.5200275038,
"q20",3.5869729454,3.9107009992,6.5677917017,44.6679292876,52.4611121643,4.24561403508772,0.968811896720963,111.1945070982,
"q21",12.8040131065,19.3226606466,23.1874991375,37.4759668901,16.8191867239,3.26785714285714,1.24303252979553,109.6093265046,
"q22",10.1547646471,13.2018614165,20.9774009066,32.5121192302,20.6144655484,3.42,1.26313506961118,97.4606117488,
"q23",11.6166808229,15.9439935803,27.7993609957,21.3706886268,18.6126731966,3.22448979591837,1.29526873213066,95.3433972223,
"q24",11.6166808229,21.5631395909,23.0250557667,22.5735027053,18.682232863,3.16,1.31490668560044,97.4606117488,
"q25",11.6166808229,9.6227307142,15.2036537683,40.0097931748,20.6840252148,3.5,1.28173988892331,97.136883695,
"q26",2.3255204056,6.3594858226,11.08464689,46.7780485125,46.9723258731,4.17241379310345,0.939165942672853,113.5200275038,
"q27",4.1190068783,12.9476930291,21.2495858007,40.8858002375,29.8752066261,3.71428571428571,1.10723711370872,109.0772925717,
"q28",2.3255204056,6.0279155257,34.413426952,70.7531646205,0,4.53448275862069,0.680956943827319,113.5200275038,
"q29",10.68679858,19.3226606466,64.5226238671,18.9879444101,0,3.82758620689655,0.819454911564458,113.5200275038,
"q3",8.6850062282,13.7338953494,12.1487147558,39.032928362,39.9194828084,3.81034482758621,1.24895600686255,113.5200275038,
"q30",11.4083749438,19.4459250644,21.971909106,41.0350938339,11.0969827453,3.2037037037037,1.20344834145553,104.9582856934,0.0787331447276493
"q31",7.8214019984,14.0654656463,16.1748379297,50.0258502354,20.7814308828,3.58928571428571,1.15643316380051,108.8689866926,
"q32",9.946458768,11.9404088767,25.2990330126,40.8959745011,15.0829240623,3.39622641509434,1.16585430283662,103.1647992207,
"q33",19.1221970106,23.3029213122,17.801359068,25.6051176798,9.3034962726,2.81632653061224,1.31772324781159,95.1350913432,
"q34",9.946458768,10.4706504578,24.9448856192,38.0384201626,18.2946257942,3.48076923076923,1.19624223095204,101.6950408018,
"q35",3.9107009992,7.8214019984,6.2362214048,58.5942756011,32.3063866891,4,0.990867388613725,108.8689866926,
"q36",5.7041874719,12.7961708634,23.5649319427,47.4559239597,23.9988132661,3.6551724137931,1.10106366656163,113.5200275038,
"q37",9.946458768,8.5101986507,16.1748379297,39.7319276293,29.3334101759,3.71698113207547,1.24618430681831,103.6968331536,
"q38",6.0279155257,4.1190068783,13.7417375925,48.1492425756,31.6589305815,3.94339622641509,1.06364927598019,103.6968331536,
"q39",4.6510408112,13.7338953494,49.5114210629,45.6236702803,0,4.22413793103448,0.79567037714264,113.5200275038,
"q4",2.1172145265,8.1529722953,10.3552282831,44.4829474465,46.6181784797,4.14035087719298,0.971717854612351,111.7265410311,
"q40",4.234429053,6.0279155257,15.5273818221,46.8621726035,40.8681284995,4.01724137931035,1.01724394269982,113.5200275038,0.154358697720098
"q41",9.9386165249,23.2972406608,29.2232569063,31.8188006143,17.4486263248,3.21052631578947,1.20618705765114,111.7265410311,0.019826778501952
"q42",3.9107009992,1.7934864727,8.3534359313,26.746214335,70.39066936,4.43859649122807,0.963949166184332,111.1945070982,
"q43",12.2719791736,1.7934864727,12.6807486887,30.3253450373,56.4484681315,4.06896551724138,1.28229603508593,113.5200275038,
"q44",16.7147141057,3.5869729454,5.7041874719,32.6508654429,53.0698010652,3.94736842105263,1.40688425546335,111.7265410311,
"q45",6.5599494586,14.7979632152,32.8482501169,47.5739194724,0,4.17307692307692,1.06128212963034,101.7800822631,
"q46",12.0636732945,10.3552282831,13.4101672956,27.9998246317,45.5721271206,3.80357142857143,1.3674082034291,109.4010206255,
"q47",12.0636732945,8.0297078775,40.2180990539,50.8830268723,0,4.08771929824561,1.2288307705525,111.1945070982,
"q48",6.2362214048,8.3612781744,7.8214019984,25.1531914983,65.9479344279,4.24137931034483,1.17444043902941,113.5200275038,
"q49",12.2719791736,2.1172145265,4.1190068783,26.7383720919,68.2734548335,4.24137931034483,1.27472521741562,113.5200275038,
"q5",4.234429053,12.1487147558,43.0647321873,52.278665035,0,4.26315789473684,0.916638185932582,111.7265410311,
"q50",4.234429053,8.5695840535,36.8852944959,63.8307199014,0,4.41379310344828,0.899014719131317,113.5200275038,
"q51",16.7147141057,14.4742351614,19.5019618363,62.8291164004,0,4.03448275862069,1.40132164735533,113.5200275038,
"q52",4.1190068783,10.8022207547,12.6807486887,16.7888343619,67.5898987349,4.2280701754386,1.16523363475266,111.9807094185,
"q53",15.922831134,21.7636032269,28.6833807303,31.8646631226,15.28554929,3.08620689655172,1.26052735773593,113.5200275038,
"q54",11.6805598379,3.332804558,26.3217603337,42.6255819588,19.0808281145,3.52830188679245,1.18652325960063,103.0415348029,
"q55",6.0279155257,3.3271239066,26.4920459476,40.623789607,22.9915291137,3.72549019607843,1.05978170153195,99.4624041006,
"q56",2.1172145265,19.3865396616,18.1307677732,54.6892552533,15.28554929,3.57142857142857,1.00647255948039,109.6093265046,
"q57",1.7934864727,8.7075833247,29.7552908392,43.3425977328,13.4225031509,3.58,0.927801878921687,97.0214615203,
"q58",9.946458768,19.9185735945,19.9701167542,40.3696212196,14.9618212362,3.31481481481481,1.21039638095199,105.1665915725,
"q59",6.3594858226,14.2659292823,21.7120600672,46.536282958,22.5290548472,3.6140350877193,1.11410415589183,111.4028129773,
"q6",6.2362214048,8.1529722953,10.3552282831,47.7616355068,41.0139700138,4,1.10818327700728,113.5200275038,
"q60",5.7041874719,7.5615529596,13.7417375925,49.0009226964,30.2738018776,3.83333333333333,1.09458357723253,106.282202598,
"q61",9.5633453114,11.6862404893,31.918367874,37.2451225407,23.1069512884,3.46551724137931,1.18788500301977,113.5200275038,
"q62",5.4443384331,6.7682553377,21.7636032269,40.3774634627,21.5217706948,3.69387755102041,1.08405261312688,95.8754311552,
"q63",15.858952119,15.6608205035,24.6907172318,35.9960728338,21.3134648157,3.29310344827586,1.31133547422191,113.5200275038,0.0458186054738164
"q64",4.4427349321,37.9004208914,12.0042878917,41.3073457056,17.865238083,3.29310344827586,1.18482541003669,113.5200275038,
"q65",15.8511098759,9.0391536216,27.4219281905,29.7933111044,31.4145247114,3.44827586206897,1.35300074289866,113.5200275038,0.083906710164774
"q66",12.0121301348,16.1289754214,35.1737705225,38.044100814,10.0438360846,3.17543859649123,1.11999373431831,111.4028129773,
"q67",28.1230890495,16.4192437998,39.6345219613,19.7159483668,9.6272243264,2.70689655172414,1.25668207942973,113.5200275038,0.033704589281062
"q68",7.8292442415,11.4083749438,37.7771564736,39.8943710001,16.6108808448,3.41379310344828,1.09279109508426,113.5200275038,
"q69",8.3534359313,11.08464689,14.0654656463,47.6642298388,30.0267287918,3.73684210526316,1.18813052117112,111.1945070982,
"q7",2.1172145265,29.7082696431,81.6945433342,0,0,4.68965517241379,0.56837399818683,113.5200275038,
"q70",7.4976739446,10.4784927009,17.8529022277,46.2460145796,31.444944051,3.75862068965517,1.17444043902941,113.5200275038,
"q71",8.1451300522,10.7609188362,21.9048841514,47.8086567029,23.1069512884,3.59649122807018,1.14735175081587,111.7265410311,
"q8",6.5599494586,40.2639615622,66.696116483,0,0,4.55172413793103,0.597433510742422,113.5200275038,
"q9",8.8854698642,20.9852431497,14.6896363421,55.7398002246,11.4263914505,3.36842105263158,1.12807641185225,111.7265410311,
