"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",74,233,305,909,480,3.74362818590705,1.06100925051818,2001,
"q10",317,437,297,792,136,2.99646286003032,1.23991895263776,1979,
"q11",184,342,336,780,285,3.33212247016087,1.20259360144967,1927,
"q12",41,89,166,1020,665,4.09994952044422,0.880831217552014,1981,
"q13",30,51,167,810,902,4.27704081632653,0.843122746498662,1960,
"q14",264,295,251,814,359,3.35753908219869,1.29959723457291,1983,
"q15",192,212,259,835,459,3.59121103730199,1.23160676759279,1957,
"q16",62,143,290,995,488,3.86147623862487,0.972573953894114,1978,
"q17",155,164,328,729,491,3.66256025709695,1.19336612237022,1867,
"q18",201,466,415,703,198,3.11649016641452,1.17536321791408,1983,
"q19",213,310,294,648,467,3.43788819875776,1.30876552930402,1932,
"q2",67,250,264,1060,351,3.69176706827309,1.00943439611503,1992,
"q20",53,188,208,971,577,3.91687531296945,1.00105187712619,1997,
"q21",148,376,357,870,211,3.31600407747197,1.12594851440778,1962,
"q22",337,401,484,488,161,2.85836451095671,1.23311409523756,1871,
"q23",417,472,421,427,100,2.63037561241154,1.21627154494336,1837,
"q24",286,484,493,528,122,2.85154208050183,1.1665307142784,1913,
"q25",275,333,439,634,188,3.06795077581594,1.22657281181023,1869,
"q26",92,141,243,1073,438,3.81731253145445,1.00519407597318,1987,
"q27",87,178,463,843,330,3.60547080483956,1.02395083754047,1901,
"q28",14,44,265,851,827,4.21589205397301,0.806453542581238,2001,
"q29",55,237,332,1094,233,3.62173244490005,0.941585826619315,1951,0.021589489124376
"q3",108,298,307,776,476,3.61781170483461,1.16377270089729,1965,
"q30",182,461,434,699,164,3.10412371134021,1.14068802250102,1940,
"q31",156,298,424,860,204,3.33882595262616,1.10617500620116,1942,
"q32",172,347,511,686,207,3.2126885075403,1.13179624816256,1923,
"q33",505,564,431,247,66,2.34087148372863,1.12843574529831,1813,
"q34",103,164,409,849,294,3.58658603628367,1.04231503235327,1819,
"q35",81,145,268,1021,404,3.7931214174049,0.995000328207654,1919,
"q36",69,161,280,994,429,3.80341438178996,0.991500490212281,1933,
"q37",205,233,350,721,320,3.3925642427556,1.2314574084604,1829,
"q38",82,106,251,859,481,3.87183811129848,1.02411285358691,1779,
"q39",57,115,355,1068,346,3.78876867594024,0.904568917417851,1941,0.082626758620914
"q4",81,180,282,851,593,3.85304479114243,1.07172040753655,1987,
"q40",83,206,413,856,407,3.66055979643766,1.04982623531243,1965,0.198084079080296
"q41",251,383,435,526,228,3.05320899616018,1.24405032515195,1823,0.00464086529266116
"q42",110,112,148,825,758,4.02867383512545,1.09544377405098,1953,
"q43",118,159,220,754,699,3.90102564102564,1.15452973835053,1950,
"q44",147,220,317,685,539,3.65461215932914,1.21849697510574,1908,
"q45",67,82,310,723,611,3.96430563301729,1.01597605485382,1793,
"q46",144,273,336,715,466,3.56153050672182,1.20744754570697,1934,
"q47",103,125,282,870,551,3.84981874676334,1.07164283271649,1931,
"q48",74,125,168,776,807,4.08564102564103,1.04459270006998,1950,
"q49",68,93,167,715,906,4.17906618778861,1.01186642672578,1949,
"q5",38,90,255,885,696,4.07484725050916,0.914589244737484,1964,
"q50",76,205,186,817,660,3.9156378600823,1.09651687556138,1944,
"q51",139,170,259,676,705,3.84043099025141,1.20857945147933,1949,
"q52",96,129,323,644,755,3.94144838212635,1.12235188288002,1947,
"q53",265,413,473,586,181,3.00260688216893,1.20488203687763,1918,0.00112755097341783
"q54",159,205,441,752,279,3.42864923747277,1.13686145957236,1836,0.00635505930927868
"q55",100,126,361,893,340,3.68516483516483,1.02861731158582,1820,
"q56",121,200,350,965,270,3.55771248688353,1.05893315957756,1906,
"q57",108,199,408,892,250,3.52611739364567,1.04039720801021,1857,
"q58",150,288,401,829,234,3.37276550998948,1.12096121801669,1902,
"q59",138,235,401,869,258,3.45975802209363,1.09692668485282,1901,
"q6",74,175,249,982,497,3.8361153262519,1.02076154533863,1977,
"q60",134,161,429,693,452,3.62493311931514,1.14945246173936,1869,
"q61",184,299,484,664,294,3.3038961038961,1.1840109382442,1925,0.0830967926006889
"q62",163,216,436,723,288,3.41456736035049,1.15371288852935,1826,0.0290259782789401
"q63",107,367,410,763,286,3.39006725297465,1.11638680972692,1933,
"q64",102,350,423,778,271,3.3981288981289,1.09720802581615,1924,0.0185015585130214
"q65",173,356,471,648,274,3.25702393340271,1.17784293991088,1922,
"q66",158,366,564,642,185,3.17232375979112,1.10170693990563,1915,0.0765962089021786
"q67",218,389,528,579,204,3.0844629822732,1.17403596938882,1918,0.0361838242981447
"q68",94,316,472,785,248,3.40574412532637,1.06078006396582,1915,0.0511921683976083
"q69",94,229,338,896,364,3.6283185840708,1.07010013867145,1921,0.274449260352907
"q7",10,11,46,608,1309,4.61038306451613,0.614920429879912,1984,
"q70",139,285,344,861,295,3.46153846153846,1.13383042067891,1924,0.0500230238242479
"q71",95,290,391,899,253,3.47977178423237,1.05313210654088,1928,
"q8",8,18,132,828,1005,4.40833751883476,0.690576045753481,1991,
"q9",303,554,285,679,168,2.9270990447461,1.25003608830967,1989,
