"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",33.5545602173,169.6530616167,220.5685409288,671.8435062475,301.2779491928,3.74226804123711,1.00873537699007,1396.8976182031,
"q10",273.0619324814,340.5100829906,215.8365558391,489.8243373137,64.4169559792,2.7890044576523,1.23926259335046,1383.649864604,
"q11",125.8488008469,257.8443042716,242.9299816081,524.2943478561,189.7922781334,3.29555895865237,1.20068814687374,1340.7097127161,0.101045060887739
"q12",17.049011093,58.4390086248,121.0176245995,741.6950492009,452.4179457806,4.11242603550296,0.821431110072672,1390.6186392988,
"q13",15.0616462595,31.712869822,139.8665961399,534.6434645473,657.3704343239,4.28805970149254,0.830477448006353,1378.6550110926,
"q14",110.9334448244,161.10630181,151.5748113681,640.8816085473,327.0732396001,3.64792899408284,1.19021137281902,1391.5694061499,
"q15",231.95166494,213.7381756175,207.4257463967,567.3632059976,156.9113942136,3.14626865671642,1.30060677551552,1377.3901871654,
"q16",67.4996492179,147.2126285343,211.1435359552,724.1320019472,238.4691141108,3.65481481481481,1.04396801502604,1388.4569297654,
"q17",113.5061540961,131.0099956711,196.904328508,533.6784126963,362.1354093512,3.66973886328725,1.2152833513261,1337.2343003227,0.0047391458300144
"q18",165.6112566933,401.1014031955,308.5990096791,434.1738577804,77.1831634436,2.88872403560831,1.14131796202754,1386.6686907919,
"q19",220.6516625876,289.4508985532,267.1079233477,407.0644823313,175.0938767405,3.0166163141994,1.29517738114478,1359.3688435603,
"q2",32.221186016,168.2397512764,179.9144733926,832.1409868873,174.0633138559,3.6839762611276,0.921661836194513,1386.5797114282,0.0529418809021714
"q20",25.5128285866,141.3837225407,153.7135396755,728.0552863183,344.7928960061,3.87740029542097,0.95986332893626,1393.4582731272,
"q21",94.7373457274,281.7715841031,246.0185332091,640.2110076211,123.4757225042,3.29821958456973,1.09507737078083,1386.2141931649,
"q22",319.6180943972,314.5108472548,375.7189425383,270.9810994776,54.777101839,2.56461538461538,1.16958512250149,1335.6060855069,
"q23",329.8655625383,399.1827857818,280.7815533839,277.590470349,55.2497944417,2.4885145482389,1.17565010021984,1342.6701664947,
"q24",224.3557356045,412.781279215,331.3021002475,338.7034992352,58.816902924,2.69624060150376,1.1331801672379,1365.9595172262,
"q25",214.729640317,260.5457116285,313.9332248456,478.1865858934,98.1798573187,2.98343373493976,1.20382608438865,1365.5750200032,
"q26",49.2611771524,93.7156432508,171.6517765944,833.018621049,246.1828507569,3.82127031019202,0.924176994764917,1393.8300688035,
"q27",46.2038537795,91.4750299342,329.3951220673,664.2646286072,206.669716624,3.66461538461538,0.941171084632743,1338.0083510122,
"q28",5.6528958771,28.189412374,226.5893037407,670.406195561,466.2526215419,4.11782032400589,0.772474831887104,1397.0904290947,0.0432858014681686
"q29",37.9487224594,201.7642816371,250.3748125709,755.1022040649,119.4701762837,3.5210843373494,0.93990213161223,1364.660197016,
"q3",62.6531479166,272.3928765227,223.3916114771,544.492174704,277.5718176763,3.50819672131148,1.1497598178989,1380.5016282967,0.00567549016813138
"q30",115.3909569335,355.8853657307,300.2066545676,477.419947041,100.5727441294,3.05792682926829,1.12147584094061,1349.4756684022,0.0174772838172398
