"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",13478.9064117353,31061.3946269703,33664.7454027,82665.6010994722,37793.1831902586,3.52546417832084,1.15327001851353,198663.830731136,
"q10",17719.9613166525,31793.6744099378,32841.5142993117,90783.762520836,23734.1555137382,3.3430428502648,1.15975203458991,196873.068060476,
"q11",19137.6205453086,27222.7689937356,30808.8443843629,80733.5317464109,32849.1486744408,3.45795556441168,1.20509336247171,190751.914344259,0.046317601412635
"q12",5132.2694722441,8930.6673982022,21770.4819059954,103147.278407426,57720.065532214,4.03943118823813,0.891526758892467,196700.762716081,
"q13",2389.4562728955,3530.355154024,13905.900242309,81898.9118880279,92842.3189623166,4.34333739342266,0.777205883916528,194566.942519573,0.00269538806056541
"q14",13489.386397029,22547.6847075714,26992.9428232561,88932.5966850847,45487.3767646835,3.67002639788817,1.14413059664917,197449.987377625,
"q15",10164.7673293116,12796.8212112488,24932.1031956626,87766.1328015411,58547.1772657185,3.90799609946368,1.06159672080543,194207.001803483,
"q16",4046.5979192888,8179.0451607337,23734.0221140751,100820.162864395,59945.8585055823,4.07269221499156,0.856971032840484,196725.686564075,
"q17",19284.4290418579,16681.818037347,34029.3099445111,70782.0767094096,50035.2307188254,3.63644938688378,1.23209485556205,190812.864451951,
"q18",19472.7627866705,31275.0661969368,43911.6830172971,73126.0706227263,28257.5151827118,3.30121355702751,1.18645287129617,196043.097806342,
"q19",10775.7678761303,16658.6343888028,24787.4499724593,79363.719178479,62116.558045383,3.86372313867541,1.12439974235091,193702.129461254,
"q2",6437.0590754803,21125.5453149479,28753.6992717795,102122.299404069,38985.7103349081,3.7550333958003,0.993519613825383,197424.313401185,
"q20",7616.2397424922,18892.2683667257,28859.8026026781,93743.4558457708,49426.1734337061,3.83166992980278,1.02526900289521,198537.939991373,
"q21",24534.7727286307,40518.3601811605,51641.909222453,61980.5799416607,14310.6622310732,3.04494934592308,1.14727092519778,192986.284304978,
"q22",39127.0948636065,36639.9918200721,53212.2211718832,44082.3760964044,13680.5616941665,2.82655289755701,1.22496627227112,186742.245646133,
"q23",43816.9612810713,42079.4261534414,49451.8936434572,39259.6550208549,9692.6705241894,2.67445699840066,1.19939240241293,184300.606623014,
"q24",33732.2872375343,43268.5581729903,53111.5443188824,47130.9809015938,12070.1626522457,2.84473855717652,1.17879581626131,189313.533283247,
"q25",36239.8822538624,34144.3798016854,47330.6916939832,53288.2473304681,16144.3651214875,2.94546097856854,1.24719069432371,187147.566201487,
"q26",12772.5616284376,17602.0892856703,30784.8505728266,99011.4368002274,37129.6286166034,3.6786177728649,1.07249295318511,197300.566903765,
"q27",14924.0417274379,22279.8093302029,59146.4624404477,69930.8859433945,26603.3837357176,3.38959827128966,1.08849881494966,192884.583177201,
"q28",1893.6389906152,4812.864702904,30055.0449561021,85583.7536924268,75805.0934147807,4.18574503707247,0.820930045463649,198150.395756829,
"q29",6085.4514064074,16508.7053847548,33468.2126474782,106691.206120489,29256.6848782556,3.73005469866456,0.922516581987133,192010.260437385,
"q3",15029.8833868066,29573.1334256744,34252.0561564859,74134.3877582433,41918.0432194445,3.53494479840475,1.19167716397904,194907.503946655,
"q30",18425.1125270029,37605.7267019162,49055.115471119,67646.026384498,18252.0366453495,3.18890814558059,1.13320758240044,190984.017729886,
"q31",20190.6185719763,36074.1970263576,45616.0329614326,67362.9631763277,21062.2417894675,3.21504895382933,1.16838921541022,190306.053525562,
"q32",24389.8188335723,39775.1943915813,54740.402437214,52286.5809773246,16692.1078644217,3.02850667338202,1.16013726168272,187884.104504114,
"q33",47690.0654086642,46763.1738759004,49466.3494543111,28370.3139778938,8735.6331673339,2.50397864098,1.16699452317652,181025.535884103,
"q34",13868.3132340417,14643.8501697442,54226.735762315,69308.2564487465,26514.4714124779,3.47388158242223,1.07204885191341,178561.627027325,
"q35",5878.0916151564,9401.1362077461,24297.3513974609,106331.787382631,45868.4398371272,3.93759557989246,0.9026644331442,191776.806440122,
"q36",4368.6529303929,7932.4078772825,22266.6156985408,109619.611157175,47749.0581579963,3.9941344637224,0.846133170254102,191936.345821388,
"q37",24428.4205918886,22574.6394737263,43296.2394136093,62628.558595984,30551.4345047897,3.34112077394123,1.24515756949335,183479.292579998,
"q38",14378.6741522845,13014.5519524976,35061.1438885198,72384.9991332325,43255.0600683924,3.69598855386572,1.14105554414495,178094.429194927,
"q39",3608.1681792184,7470.4988397023,30431.9731174736,105348.850894262,44073.0702119402,3.96692905589386,0.828851125357021,190932.561242597,0.00127659631727745
