"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",122.2178682764,385.1490224353,559.2519182272,936.3018641775,451.2835492632,3.4921875,1.09899129329813,2454.2042223796,0.0640150814749012
"q10",419.6540656578,328.8221001243,337.9105880326,974.5375746412,353.5410461811,3.21428571428571,1.33662560713898,2414.465374637,
"q11",178.2213977191,281.8390918736,352.5533933447,982.7778527215,558.5905085303,3.63008130081301,1.17688172966025,2353.9822441892,
"q12",58.0779320916,46.7832937652,256.860224068,1233.1368818776,839.819127128,4.12992125984252,0.849814205281838,2434.6774589304,
"q13",12.346777897,30.3790463762,159.037656831,926.650016933,1279.178380323,4.43426294820717,0.703321657978534,2407.5918783602,
"q14",238.1534399358,287.1213812874,275.1018676675,1036.8428155057,570.3617714674,3.58167330677291,1.24430815670581,2407.5812758638,
"q15",93.4957988776,130.4884969026,267.746000075,1020.1985249816,894.1071954268,4.03585657370518,1.02504105446885,2406.0360162636,0.0438964901673138
"q16",21.7893407534,47.989415866,193.8703260154,1182.9148000031,969.5747772191,4.25396825396825,0.751482019798084,2416.138659857,
"q17",229.2001075793,165.0325904556,504.945140509,770.6818373804,705.1460549257,3.64516129032258,1.24161021472003,2375.00573085,
"q18",216.4627308056,428.6523144259,570.0263970023,858.1694984651,349.7698354236,3.29365079365079,1.17115028630272,2423.0807761225,
"q19",85.5661739918,165.8064142135,394.8063495428,939.5875198595,848.846826128,3.94094488188976,1.04468194609244,2434.6132837356,
"q2",143.7788195553,272.7898324748,356.1706721713,1131.356494662,559.1404645384,3.68482490272374,1.11710916179997,2463.2362834018,
"q20",88.6568364868,222.1567324445,404.1195175718,1144.9537962575,593.9068377848,3.7890625,1.01866767079819,2453.7937205454,
"q21",251.8997560082,459.4760655511,628.727417932,853.9844497887,213.724722486,3.1394422310757,1.13862991689548,2407.812411766,
"q22",443.9517441287,322.1587442937,896.4581675905,437.495276059,164.4068317892,2.8093220338983,1.17132311352521,2264.4707638611,
"q23",401.2996604549,503.4083447581,746.9526364529,547.2090780136,88.867480302,2.75210084033613,1.11448830206617,2287.7371999815,
"q24",373.7443834186,485.5746808889,787.305684982,550.6628247886,135.8047565974,2.83127572016461,1.13560393610506,2333.0923306755,
"q25",358.5530165199,414.668385675,816.5089426915,618.5079092006,159.8321395968,2.92712550607287,1.14175777176573,2368.0703936838,
"q26",185.796847583,240.6241852233,382.6298835837,1183.9947322298,451.9661654882,3.61176470588235,1.10575571101858,2445.011814108,
"q27",170.2955648345,232.7192615729,927.2856621609,748.8909837219,347.6206802438,3.35177865612648,1.06101871459331,2426.812152534,
"q28",63.2523816408,367.6579176619,1253.1624635215,779.1635205776,0,4.12062256809338,0.737554818908359,2463.2362834018,
"q29",115.8050493909,158.1181927822,409.3239249374,1342.6570355737,374.8469867522,3.70119521912351,0.968689096530487,2400.7511894364,
"q3",191.535757183,392.3106436098,373.9857271067,887.9149924915,511.8951217414,3.47967479674797,1.21789107448958,2357.6422421324,
"q30",242.5659154235,389.8880206228,603.0615547577,898.3730294792,257.9951931576,3.22,1.14579727946199,2391.8837134408,0.0923457968716658
"q31",279.2609824366,371.5468219872,702.9929912973,802.5735483613,246.3432092848,3.15139442231076,1.15281743906343,2402.7175533672,
"q32",255.8319171404,483.0662121013,793.400501453,623.4014274273,228.0473756562,3.03614457831325,1.11924999873039,2383.7474337782,
"q33",470.623353212,532.6533258409,727.9403028824,409.5588019236,127.2655806512,2.64556962025316,1.1575614492992,2268.0413645101,
"q34",155.1867103038,169.7674868134,646.9790928896,861.5576410451,414.5335045565,3.53617021276596,1.07902011813879,2248.0244356084,
"q35",106.4278798204,100.1815517533,410.6234535357,1256.5357892712,516.5257372951,3.816,0.960120474368298,2390.2944116757,
"q36",33.0553418338,102.8193914947,190.4428975572,1392.8478499651,652.5931514376,4.05241935483871,0.82058177344572,2371.7586322884,
"q37",170.3593279045,239.5351553965,616.8739597765,800.588961111,475.948479724,3.5125,1.13882141968854,2303.3058839125,
"q38",103.7118394351,146.0726110231,360.6261866464,930.253020083,628.4060632424,3.82819383259912,1.06907361988806,2169.06972043,
"q39",41.0843926184,123.8455490348,459.2882482146,1230.6682364398,519.2081273934,3.87096774193548,0.867475670806412,2374.094553701,
"q4",101.37061641,262.8280789664,366.1238401882,888.4307408095,835.4509460055,3.859375,1.11485073299646,2454.2042223796,0.117497857452485
"q40",151.196220201,258.8319283666,615.877621542,983.926856961,402.6024514576,3.51587301587302,1.07661952117382,2412.4350785282,0.256742895880026
"q41",388.8332902003,374.7699893566,827.5920697784,479.1195139699,181.5148490938,2.86016949152542,1.17488902729982,2251.829712399,
"q42",87.5341240259,84.0105235131,335.7315037582,959.086311272,907.2614031412,4.06048387096774,0.998161755642371,2373.6238657104,
"q43",150.518739861,267.1134140787,482.2191407058,760.6073977051,723.5637037322,3.69076305220884,1.18659983712626,2384.0223960828,
"q44",79.4206796684,258.0389616409,526.2658309078,825.2277261155,684.3957050732,3.74596774193548,1.08541297527274,2373.3489034058,0.0325618892218547
"q45",65.6826247014,84.520217088,575.0367212181,928.4490133096,629.6276690383,3.85774058577406,0.959611221864035,2283.3162453554,
"q46",94.7864096693,272.9338982705,530.7566811698,926.4989123082,540.1613689522,3.64777327935223,1.07891144196746,2365.13727037,
"q47",188.6672049712,237.6593409581,454.3829297218,868.5936368651,604.0943203828,3.6219512195122,1.19153727392884,2353.397432899,0.0390603520073506
"q48",65.6962468839,238.041482676,294.2025722057,933.5083026439,871.7940658471,3.9601593625498,1.06508514894444,2403.2426702566,
"q49",47.3114303407,77.6140799461,303.4065670031,986.3637136478,988.5468793189,4.16334661354582,0.903997320448731,2403.2426702566,
"q5",53.3151218774,69.781312075,209.4612072721,933.7360611021,1113.8516772892,4.26612903225806,0.882661332458652,2380.1453796158,0.103221380590539
"q50",66.9698892126,284.9435242708,216.9691203022,1017.2217549227,798.6637576697,3.91967871485944,1.07462216596599,2384.768046378,
"q51",104.8393397378,231.0038617293,372.0141517279,776.1811470484,919.2041700132,3.9003984063745,1.14282100113598,2403.2426702566,
"q52",40.4243118814,182.5186309174,446.5985093699,840.024722571,902.8689037885,3.99206349206349,1.00592691192154,2412.4350785282,0.0362671759662074
"q53",356.5881850076,436.3005287692,601.8587122427,688.1286024047,258.7776532062,3.02857142857143,1.23274982504462,2341.6536816304,
"q54",238.0365398498,256.2855776553,496.9734705631,927.7321601846,382.454924481,3.42916666666667,1.18356215989357,2301.4826727338,
"q55",128.3633625998,146.1595150873,552.0124421491,1008.1782077646,465.5428652144,3.66804979253112,1.03570423585937,2300.2563928152,
"q56",222.9257550102,281.8403012013,473.208565297,992.0249299814,369.5747280319,3.42857142857143,1.16997968316394,2339.5742795218,
"q57",115.945220368,269.1983487273,609.1232731789,961.4505764434,374.9529346799,3.52049180327869,1.0480189836334,2330.6703533975,
"q58",208.8183264803,336.4417782092,561.0749587748,881.2662347926,321.882417036,3.33471074380165,1.15569746818766,2309.4837152929,
"q59",217.6197073558,217.3403696208,542.0825285353,977.6750192873,354.3555886595,3.45454545454545,1.13780745696653,2309.0732134587,
"q6",65.489629228,165.6892084064,287.1029911875,945.1946688648,955.0532331587,4.05555555555556,1.01624694708474,2418.5297308454,
"q60",142.8289956083,254.4792697857,585.722472573,778.638445615,478.775646253,3.52991452991453,1.13902789343358,2240.444829835,
"q61",215.1524512145,298.9359497615,576.3846545019,842.1234208531,418.8062574312,3.40650406504065,1.18381878352572,2351.4027337622,
"q62",188.5479545947,192.5927303017,565.5638217311,871.370617996,370.3921345076,3.48695652173913,1.12428700271636,2188.4672591311,0.11233200545069
"q63",205.4415076684,419.1603068046,534.6351094157,890.8337585541,320.7126727426,3.29838709677419,1.16271244167209,2370.7833551854,
"q64",240.825292028,529.3148024628,575.0326235016,755.4574006838,248.6140503406,3.10162601626016,1.17188031288547,2349.2441690168,
"q65",192.7030297241,518.1721436949,642.7405001984,665.7730298248,342.541380971,3.19433198380567,1.17333529328873,2361.9300844132,0.0133889960462354
"q66",242.0806358981,528.9526818766,606.4345131659,737.3646977536,246.5082636348,3.09311740890688,1.16671016108554,2361.340792329,
"q67",429.398375898,526.0453501061,801.4698055603,477.6297574696,108.823188586,2.71428571428571,1.11619964134749,2343.36647762,0.00896578022594566
"q68",252.6446876731,337.2966309867,646.4568770329,866.3093986067,240.8440382898,3.22448979591837,1.14278395550201,2343.5516325892,
"q69",115.7599104144,342.7743934395,436.4457747578,897.4390093663,550.5368878078,3.62040816326531,1.13024362523843,2342.9559757858,
"q7",10.673492677,38.7510266614,92.3922713808,748.0714202271,1537.3344434219,4.55335968379447,0.680014134624265,2427.2226543682,
"q70",211.1608121275,530.8787044805,383.7661349773,955.6704009507,279.864739793,3.23076923076923,1.18226418065953,2361.340792329,
"q71",230.2921792113,307.118101079,555.6380551286,962.8518802803,296.6586701924,3.34146341463415,1.14520664416503,2352.5588858916,
"q8",9.4425628564,39.8350197972,129.5018663874,925.9796144338,1340.6880601872,4.45098039215686,0.701901957456834,2445.447123662,
"q9",331.6925943838,562.5759101683,366.0837867129,913.3103252757,280.1311040047,3.1015625,1.26391761800287,2453.7937205454,
