"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",166.8748123891,484.5186465644,541.0262392443,2167.2538395074,933.75132677,3.78589420654912,1.03328568750942,4293.4248644752,
"q10",344.2986762395,697.5387120151,799.3530127124,1944.4570494372,483.5213673226,3.32994923857868,1.14485973560546,4269.1688177268,
"q11",291.2770463173,814.933895996,670.0825595898,1756.5200624317,592.8457059739,3.4177545691906,1.15902927984724,4125.6592703087,0.0600456206208147
"q12",25.8712438481,323.9760169918,338.1601368308,2257.6432725906,1279.7287535348,4.05867346938776,0.860693989606326,4225.3794237961,
"q13",22.9386643469,151.4481124633,313.8731884375,1882.0180481092,1878.7729390424,4.27040816326531,0.8081058885408,4249.0509523993,
"q14",308.8337521499,391.5398539064,451.6184256807,2038.4608615321,1075.185972679,3.78426395939086,1.09667834887266,4265.6388659481,
"q15",320.2151378604,509.8802845917,478.4991672638,2037.3547191999,912.7397036677,3.66751269035533,1.14078246710016,4258.6890125835,
"q16",37.306698186,229.6768590407,548.96081644,2218.2288161899,1218.0211998436,4.08375634517767,0.819973376048168,4252.1943897002,
"q17",230.3050563742,452.9130474865,664.5054486752,1660.7823267198,1093.9687276198,3.74142480211082,1.13931617684109,4102.4746068755,
"q18",255.6974068193,703.6223406043,787.4509041901,1843.3821638795,661.2779529404,3.49234693877551,1.11943655997402,4251.4307684336,
"q19",339.8955463954,586.6839149313,668.5333959427,1590.0361353232,1046.8759719458,3.58056265984655,1.20598111586911,4232.0249645384,
"q2",57.0089485037,476.5435888117,541.0509503418,2310.1113761375,867.5755714112,3.8265306122449,0.940974194036745,4252.2904352059,
"q20",105.0202104002,361.3572995861,532.4738192377,2181.8002933644,1090.3905442837,3.92405063291139,0.947507442060352,4271.0421668721,
"q21",425.2878462574,996.4545046005,1064.3064352217,1370.072073622,318.5320645496,3.03394255874674,1.11223413993286,4174.6529242512,
"q22",518.3402079967,1127.2563074366,1096.4315759715,970.8876460852,306.9145877377,2.91689008042895,1.15286411981006,4019.8303252277,
"q23",717.8957029596,1052.5315559802,1037.3902301954,908.2044186504,188.7482467687,2.73076923076923,1.15424165009726,3904.7701545543,
"q24",584.7605236946,1083.312175994,1162.6922946949,1083.0131277693,222.3926870907,2.88219895287958,1.11738698851322,4136.1708092435,
"q25",619.5467265747,861.0383598544,1012.0700760766,1181.4035316599,375.4903344785,3.01336898395722,1.19531385614501,4049.5490286441,
"q26",241.0378074758,483.1606257286,485.340994489,2234.509162867,818.4671781987,3.7258883248731,1.07053521498828,4262.5157687591,
"q27",232.354717329,513.6538567341,1296.9537067033,1577.9945791545,603.138795377,3.47692307692308,1.03324221745378,4224.0956552979,
"q28",41.2057318362,139.681999361,438.524676104,1749.9428417413,1892.0394158427,4.28607594936709,0.807127855378386,4261.3946648852,
"q29",57.336654218,403.4661523368,634.023771396,2511.2143833234,586.822991318,3.77922077922078,0.838888411073705,4192.8639525922,
"q3",261.2613830447,652.6051994846,634.437176684,1661.7446296406,1002.55167893,3.65641025641026,1.15391250660622,4212.6000677839,
"q30",296.9217720073,965.6067100109,866.0041863321,1671.3432117269,371.3779208095,3.27631578947368,1.07745772570135,4171.2538008867,0.0343244584414188
"q31",233.2832937647,754.0853409298,1106.9124965222,1569.4008430283,464.5035904262,3.36411609498681,1.04874828249264,4128.1855646712,
"q32",348.0634512287,941.6210850347,1265.2382060869,1107.9239960673,422.9695662975,3.12,1.09397963593948,4085.8163047151,
"q33",722.6719557172,989.4725165983,1173.2521131451,819.6983579239,243.3391579401,2.73463687150838,1.16891400530661,3948.4341013246,
"q34",243.1532419767,324.928762044,1092.0794965361,1512.1098839642,672.1617742852,3.59659090909091,1.0737955010321,3844.4331588062,
"q35",70.781969011,169.9155435911,475.2355145332,2379.3719627734,989.826707664,4.0241935483871,0.785279420568226,4085.1316975727,
"q36",36.7495134508,81.0584768535,437.1405676555,2436.7447188821,1128.3271869274,4.11671087533156,0.716196962473972,4120.0204637693,
"q37",386.3775978511,567.5920049404,920.9287881238,1402.0254086851,733.1910951696,3.44903581267218,1.18205640942702,4010.11489477,
"q38",193.6593713137,132.6321109298,688.74335387,1746.2368991873,1110.8727225967,3.93502824858757,0.99218711356355,3872.1444578975,
"q39",28.281140375,147.2476537863,534.4003844144,2404.4681840028,1012.2960391534,4.04485488126649,0.756344360099388,4126.6934017319,
"q4",161.3657689049,366.8418034093,563.0343583596,1956.3707526985,1215.9253620019,3.89873417721519,1.02500385920854,4263.5380453742,
"q40",171.0371973345,534.8404404706,826.8767495329,1727.9177240517,906.0375979599,3.68062827225131,1.07590729485634,4166.7097093496,0.330021461647401
"q41",604.8116190376,937.0371373568,906.7892921537,902.6454684295,456.7607025158,2.92774566473988,1.25015203900699,3808.0442194934,
"q42",61.898227422,241.9141894621,331.3860012604,1884.0644357305,1616.6497684815,4.14814814814815,0.879630534484878,4135.9126223565,
"q43",131.2239340768,379.7042943602,622.6471807228,1645.2508603719,1321.6336352187,3.92553191489362,1.04296358979851,4100.4599047504,0.00725720558446197
