"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",249.0233961803,512.7114827627,513.4090536952,1123.9734088456,559.062723936,3.43189368770764,1.19143305952399,2958.1800654198,
"q10",218.1573220923,398.172742446,714.5552765464,1274.2605635401,347.8034111064,3.37333333333333,1.10968172644332,2952.9493157312,
"q11",345.2042817322,438.1213517267,482.3662660258,1150.5188851659,454.8970464808,3.41237113402062,1.2070417870056,2871.1078311314,0.160286127689494
"q12",99.1598693026,248.1076068566,217.4095801426,1544.6048104363,848.8981986817,3.97009966777409,0.991179258946915,2958.1800654198,
"q13",88.8954064809,50.6524267691,212.7897953196,1200.174705141,1352.8424871942,4.3030303030303,0.863539371250811,2905.3548209048,
"q14",308.0892860176,448.5840226332,437.0696017738,1111.0858851945,594.1125284797,3.38383838383838,1.29479522569968,2898.9413240988,
"q15",204.0732144217,468.9861426709,429.7437616661,1330.0311666614,503.5785495312,3.54545454545455,1.14141383942265,2936.4128349513,
"q16",77.4833463833,91.368105115,407.1486158716,1523.4639096822,839.6796650381,4.04013377926421,0.87377602725266,2939.1436420902,
"q17",276.2557407325,318.0043976562,456.7522241356,958.2280643135,843.2049282841,3.67353951890034,1.24566317235042,2852.4453551219,
"q18",477.1837008587,535.0538320566,669.0881065451,941.7999452746,322.7367842502,3.07357859531773,1.2348155187907,2945.8623689852,
"q19",321.2770567424,623.4436817798,362.2836745678,1057.3328976186,549.3031170398,3.36610169491525,1.29947793932526,2913.6404277484,
"q2",122.5607281106,332.9964948207,344.6122682838,1575.8198379105,566.8897421506,3.76254180602007,1.0035849636611,2942.8790712762,
"q20",93.9251052252,247.4769639047,459.0645434849,1394.5593324188,763.1541203862,3.8936877076412,0.963670079512898,2958.1800654198,
"q21",361.206953534,606.96483553,649.3244002377,1005.6362611824,211.0381970842,3.08362369337979,1.15266949417138,2834.1706475683,
"q22",595.6937937958,489.3341799711,846.6602098396,596.4196728157,172.4427669566,2.75824175824176,1.19133507048253,2700.5506233788,
