"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",15,41,53,131,43,3.51590106007067,1.07959548050355,283,0.00924022501352798
"q10",26,43,56,133,22,3.29285714285714,1.11037097724916,280,
"q11",27,46,52,112,35,3.30147058823529,1.1861429503912,272,0.172176666672538
"q12",10,15,42,145,69,3.88256227758007,0.958280743161833,281,
"q13",3,1,27,115,130,4.33333333333333,0.756386946027767,276,
"q14",13,40,50,130,48,3.56939501779359,1.07387282625788,281,
"q15",12,28,46,128,66,3.74285714285714,1.06000222202667,280,
"q16",6,14,45,148,68,3.91814946619217,0.888653551572787,281,
"q17",21,29,57,97,62,3.56390977443609,1.18705841256759,266,
"q18",22,51,75,106,26,3.225,1.09548601348204,280,
"q19",18,29,61,108,63,3.60573476702509,1.13579880990986,279,
"q2",4,38,46,144,47,3.68817204301075,0.955617559453058,279,
"q20",12,20,35,148,68,3.84805653710247,1.00436358434492,283,
"q21",49,77,61,74,9,2.69259259259259,1.15279712389772,270,
"q22",58,56,70,65,15,2.70833333333333,1.21858495925195,264,
"q23",70,69,67,44,8,2.42248062015504,1.14842069259118,258,
"q24",47,72,75,58,11,2.67300380228137,1.12886879641855,263,0.00728541006542428
"q25",54,52,72,77,16,2.81180811808118,1.21625139643959,271,
"q26",20,21,45,149,46,3.64056939501779,1.06686709055868,281,
"q27",25,32,97,94,24,3.22058823529412,1.06740487081401,272,0.00901866541816889
"q28",2,6,37,121,117,4.21908127208481,0.804281453529791,283,
"q29",10,35,43,163,28,3.58781362007168,0.955104737011992,279,
"q3",18,42,48,115,53,3.51811594202899,1.15508271296098,276,
"q30",31,55,94,81,18,3,1.09281499089121,279,
"q31",21,57,74,102,25,3.18996415770609,1.09434764188563,279,
"q32",27,53,95,77,18,3.02222222222222,1.0732756840291,270,
"q33",56,76,74,50,10,2.55639097744361,1.12878986018062,266,
"q34",18,28,79,97,33,3.38823529411765,1.06955857014466,255,
"q35",5,20,40,149,64,3.88848920863309,0.902349851441092,278,
"q36",7,13,29,159,72,3.98571428571429,0.879766295830352,280,
"q37",28,41,73,81,33,3.1953125,1.18194650852719,256,
"q38",17,23,54,95,61,3.64,1.14702338712095,250,
"q39",5,11,39,170,52,3.91335740072202,0.802894621962202,277,
"q4",13,26,49,127,67,3.74113475177305,1.06397300971746,282,
"q40",14,37,90,98,40,3.40501792114695,1.04783602791863,279,0.243043773934649
"q41",55,48,76,41,18,2.65966386554622,1.22117874353745,238,0.000705368627169213
"q42",11,20,30,110,104,4.00363636363636,1.06879487977031,275,
"q43",19,21,40,121,76,3.77256317689531,1.13678844625449,277,
"q44",22,21,60,110,62,3.61454545454545,1.15123199349799,275,
"q45",8,11,63,98,61,3.80082987551867,0.979880592268127,241,
"q46",26,30,57,111,54,3.49280575539568,1.19185807599905,278,
"q47",20,28,49,116,60,3.61538461538462,1.15143035186833,273,
"q48",9,21,36,130,83,3.92114695340502,1.00764208162321,279,
"q49",7,9,30,124,110,4.14642857142857,0.91384497985677,280,
"q5",6,14,42,129,91,4.01063829787234,0.929868327850859,282,0.0482070250271485
"q50",12,22,22,142,82,3.92857142857143,1.03447981589943,280,
"q51",20,26,49,100,85,3.72857142857143,1.19342798412917,280,
"q52",15,17,55,87,105,3.89605734767025,1.13794220289568,279,
"q53",49,77,66,70,15,2.72924187725632,1.17752679404917,277,
"q54",31,41,71,85,31,3.16988416988417,1.19190599839585,259,
"q55",19,22,61,127,35,3.51893939393939,1.05712376659968,264,
"q56",28,50,66,108,23,3.17454545454545,1.13604162657268,275,
"q57",22,44,65,101,24,3.23828125,1.11049334337774,256,
"q58",41,44,63,97,26,3.08487084870849,1.22783756085679,271,
"q59",28,40,52,120,27,3.29213483146067,1.1588390014908,267,
"q6",6,24,45,143,62,3.825,0.943616546262267,280,
"q60",27,26,82,92,42,3.35687732342007,1.15858215097849,269,
"q61",34,48,78,81,33,3.11313868613139,1.20056870029954,274,
"q62",25,36,82,76,28,3.18623481781377,1.13236424082746,247,
"q63",17,60,73,99,28,3.22021660649819,1.0860892265298,277,0.0714197713365141
"q64",35,81,67,72,22,2.87364620938628,1.1680803298521,277,
"q65",32,40,78,97,29,3.18478260869565,1.16240516634734,276,0.105902017946708
"q66",30,65,98,66,18,2.91696750902527,1.07859653291885,277,
"q67",69,60,74,53,20,2.6195652173913,1.24907871187468,276,0.010712684143795
"q68",25,52,75,101,25,3.17625899280576,1.1149837857242,278,
"q69",15,32,55,133,41,3.55434782608696,1.05172547854154,276,
"q7",2,2,14,108,155,4.46619217081851,0.691604825291912,281,
"q70",12,43,41,140,42,3.56474820143885,1.05846174806115,278,
"q71",20,52,76,104,26,3.23021582733813,1.08362639439831,278,
"q8",1,2,25,150,105,4.25795053003534,0.674167759357276,283,
"q9",48,70,66,81,16,2.81138790035587,1.19074340332725,281,
