"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",1759.1964115558,3882.3078817144,3760.1651047547,8650.6586173526,3893.9304558972,3.43713956170704,1.18478725431357,21946.2584712747,
"q10",2377.1578838479,3749.009909559,3659.6713075394,9554.9209465167,2250.9684871636,3.24590163934426,1.20210743268483,21591.7285346266,
"q11",2207.4895987469,3178.2540758199,3278.3097057054,8742.195399375,3552.5810767336,3.43609933373713,1.22350923011943,20958.8298563808,
"q12",755.606816853,907.8768757063,2395.2304078994,11367.8162391342,6207.9145172136,4.0245757753072,0.914676014561564,21634.4448568065,
"q13",227.8170204073,402.981109249,1106.6611028199,8684.1831993756,10924.6033289905,4.39395734597156,0.769536448481641,21346.2457608423,0.0470436447696653
"q14",1709.0902438331,2091.4911857014,3094.6633291862,9988.4727238108,4887.5300454066,3.67266395821242,1.14596258207126,21771.2475279381,
"q15",1242.4842100054,1217.6584533878,2390.5573696191,9682.1175561584,6787.0793028546,3.92789598108747,1.07858113361648,21319.8968920253,
"q16",450.4189430769,1059.4347412417,2494.3572055989,11157.1394806874,6512.973935538,4.04778554778555,0.878005155181737,21674.3243061429,
"q17",2648.1206404566,1973.2352762184,3480.7448068113,8020.6626809564,5155.5792008833,3.5547619047619,1.2748919782247,21278.342605326,
"q18",2477.4824850094,3335.9224205853,4696.864380363,8327.9678938691,2721.2272363383,3.2743830787309,1.19347212848779,21559.4644161651,0.000183799564259744
"q19",1026.9090012811,1559.6196024228,2482.5556864799,8829.0619209106,7472.1740020874,3.95384615384615,1.08774322188441,21370.3202131818,
"q2",933.3918426017,2258.3182636639,3092.0633362553,11345.991115172,4195.0232389601,3.72521739130435,1.02059791045493,21824.787796653,
"q20",1015.7164718037,2532.397911457,3313.0070671446,9852.8677644524,5233.6884266793,3.74121037463977,1.08805071519262,21947.677641537,
"q21",3337.6062233528,4497.8013671191,5782.8111038025,6453.0498291069,1359.894729943,2.92316784869976,1.16929265398484,21431.1632533243,
"q22",5276.6654495474,4357.8301308515,5809.4546334032,3958.6520106727,1398.2975907342,2.65172622652938,1.23257370060654,20800.899815209,
"q23",5112.6831533469,4452.2752216429,5496.8263869002,4342.9917165193,1049.6786520152,2.64771322620519,1.21757805232544,20454.4551304245,
"q24",4091.2010846499,4531.8406783887,5682.9384254826,5291.9750920495,1401.9495350926,2.833031946956,1.20632377004792,20999.9048156633,
"q25",4554.3429760723,3677.7894027897,4888.9016305149,5881.0989970253,1883.1957367099,2.90490611750454,1.27732444336002,20885.3287431121,
"q26",1818.4272326277,1955.027279073,3656.4518182199,10505.2009448476,3843.3546477634,3.58792803250145,1.13272227747311,21778.4619225316,
"q27",2116.3495975753,2549.6982938708,6313.2879421274,7643.7687879023,2841.0300145205,3.32035398230088,1.1320822691982,21464.1346359963,
"q28",336.9135629267,682.2066611852,3483.4340925178,9228.7760232783,8177.1067625307,4.14541257934218,0.870134453125512,21908.4371024387,0.0118549018119823
"q29",780.9429472596,1789.9289394864,3584.8934665411,12200.7014256086,2974.7091241715,3.70159857904085,0.924138411289526,21331.1759030672,
"q3",1890.2353526904,3379.7985561244,3380.0329776074,8275.2206615857,4532.4732214205,3.51561579257513,1.21260969682166,21457.7607694284,
"q30",2186.752726539,4123.5116338115,5420.1024062961,7265.8464014768,2174.1234142847,3.18350268977884,1.14568690722061,21170.3365824081,
"q31",2729.1584772433,3902.086951112,4744.1464642569,7312.1007722686,2350.4735239634,3.15745192307692,1.20300975437624,21037.9661888442,
"q32",3031.1364283892,4603.6736696339,5619.3221632076,5739.0567813695,1858.2129625192,2.98240291262136,1.18031045808023,20851.4020051194,
"q33",5641.4633487441,5295.4162693825,5482.9201356705,2496.4954993946,1055.1490270245,2.42018927444795,1.15638159726623,19971.4442802162,
"q34",2009.7183846729,1929.1202367806,6626.9030462678,6771.6921174311,2356.2621454886,3.30906768837803,1.10427899621683,19693.695930641,
"q35",1067.4899296895,1420.5573031838,2944.267768043,11793.2127225232,3966.9269015115,3.80262373285629,0.964670809462862,21192.454624951,
"q36",613.8237820996,1212.6496889186,2914.9174620948,12018.4541726729,4496.7837610768,3.89245395127748,0.899707365947839,21256.6288668627,
"q37",3269.9423622932,2831.3261065946,4959.5807831187,6378.6963794627,2913.540163042,3.20049504950495,1.26761021930518,20353.0857945112,
"q38",1958.1503332409,1834.3775371573,4381.7848652346,7668.408891183,4044.9034504059,3.53109137055838,1.19641701145416,19887.6250772217,
"q39",539.3809845542,922.7537370765,3529.0783056106,11677.9302386053,4574.1075603384,3.90303390838786,0.876000967284209,21243.250826185,
"q4",1256.6296793876,2209.1483507782,3043.3971929067,9100.9470051751,6150.0826519443,3.80302149912841,1.11131189188686,21760.2048801919,0.149903551537908
"q40",1606.0854733508,2613.2022637529,4957.3903579847,8362.298956745,3882.5314737106,3.51502651738362,1.12797479434537,21421.508525544,0.134754093561867
"q41",4345.4225459163,3702.4777239242,5556.3403092154,3844.1483640268,1927.4754388034,2.78947368421053,1.25225141164789,19375.8643818861,0.0137130635032735
"q42",1285.7541547022,1359.5055695786,2828.8333238134,8919.8373344736,6886.2607009726,3.89542483660131,1.10010127391378,21280.1910835404,0.0260370212079233
"q43",1877.5024474203,2191.6032112053,3788.7897463643,8090.5716577215,5311.6339652772,3.61899109792285,1.20553757064794,21260.1010279886,
"q44",1785.5852183984,2373.7624247774,4516.9316314527,7202.6317513342,4999.3483300134,3.53934624697337,1.21080400225957,20878.2593559761,
"q45",1434.1810781138,1141.8439403836,4779.7669574706,7578.615917988,5011.0242276471,3.69968454258675,1.12058613424501,19945.4321216031,
"q46",1951.2293644609,2213.6398270885,4729.312117357,7619.7833685959,4688.6909842369,3.50447227191413,1.20540163984527,21202.6556617392,
"q47",2073.2755812819,2318.7348205264,4305.0028116607,7495.8742698193,4816.0402717656,3.52406738868833,1.224999798364,21008.9277550539,
"q48",1156.4379992875,1938.0280402741,2991.4318329611,8808.1584619021,6424.1320401262,3.82750444576171,1.11519319768341,21318.188374551,
"q49",1014.6100330533,1354.0492990464,2812.8001982189,8660.5575512955,7436.744108329,3.95486935866983,1.07876661798453,21278.7611899431,0.0139944220360217
"q5",285.9919902365,605.6716000291,1794.5151168685,9234.9900685706,9513.530701283,4.2753108348135,0.822873700312334,21434.6994769877,0.105810435042278
"q50",1295.2609602903,2389.8891245161,2436.728629258,9324.1046576848,5796.3891493334,3.74538964901844,1.15753915129198,21242.3725210826,
"q51",2181.2861390012,1956.7827841875,4136.4911124514,6467.1410782686,6474.2631230595,3.62753277711561,1.27781118425151,21215.9642369682,
"q52",1193.2139068475,1833.4526541278,4605.163775734,6109.5472805543,7560.2770531457,3.79940652818991,1.17632005157358,21301.6546704093,
"q53",3730.1820328862,4012.0429307829,5154.4713557633,6017.479493317,2022.444943822,2.98912386706949,1.2386862188362,20936.6207565714,
"q54",3269.4700108037,2615.6890179086,4989.4402787678,6602.8926425058,2977.6354369823,3.23252937538652,1.26661457123449,20455.1273869682,
"q55",1857.3491059712,1698.8961817025,4765.7525100559,8700.7065957406,3140.291169621,3.50531582238899,1.11304271697263,20162.9955630912,
"q56",2325.2087296491,2699.9842836758,5056.4137748476,7998.0207879727,2804.3660826098,3.33313143549364,1.17416061842738,20883.993658755,
"q57",1791.4396574895,2380.1071263337,5584.9624232925,7401.5453863656,2509.9974466833,3.35343168697883,1.11249731807228,19668.0520401646,
"q58",2925.004046024,3312.1359015002,4910.7619892607,6865.6652690193,2509.1462902754,3.17672413793103,1.22519257289372,20522.7134960796,
"q59",2444.6131285257,2813.8067722015,4957.2175107418,7659.9988429298,2720.4614629279,3.30858895705521,1.18300315851299,20596.0977173267,
"q6",642.0069538024,1504.9197310654,2193.5624879093,10213.2146946143,7313.2981813297,4.02196531791907,0.974861980389625,21867.0020487211,
"q60",2428.6179294602,2188.9754669189,4895.5898756725,6436.1204254454,4150.0183059347,3.42857142857143,1.24745152229167,20099.3220034317,
"q61",2595.9979157266,2603.5408460062,5293.2419731014,6456.3397898774,3862.079777542,3.34790528233151,1.24751278022757,20811.2003022536,0.0460005716783659
"q62",2050.0731148637,2202.415384405,5491.038325638,6301.5410540348,3487.0322051325,3.40906148867314,1.18098962277081,19532.100084074,
"q63",1532.1092956747,4043.3394812876,4886.7952292186,7688.6329424091,2995.0804090215,3.33273596176822,1.13670123634768,21145.9573576115,0.130517398464483
"q64",2118.4658482117,4470.8588178788,4891.9117732781,7161.6114624196,2459.1134897927,3.1998803111909,1.17438733576641,21101.9613915809,
"q65",2483.9179347402,4122.5297579924,4924.0125366214,6963.9853238667,2530.8281175311,3.18498498498499,1.19971566759282,21025.2736707518,0.143302783111209
"q66",2273.2084804833,3938.455828337,6188.0069408833,6321.650830762,2302.5986774431,3.15606242496999,1.14881418677714,21023.9207579087,0.00715481302816293
"q67",4380.4826032709,4935.2740291185,5852.4042415315,4094.2740749409,1698.0876011108,2.72480386240193,1.22585634104244,20960.5225499726,0.0573607594972026
"q68",2317.6672058774,3654.7434214272,4800.9790670901,7620.2170803497,2615.3085937738,3.23586040914561,1.19136536235508,21008.9153685182,0.0377828259063191
"q69",1316.9679427503,2587.6804512242,3862.7442108937,9047.9558345167,4193.8819010356,3.61981981981982,1.10515236341499,21009.2303404205,
"q7",213.0721203107,223.4994256328,710.409426872,7404.3914836549,13210.2604696352,4.53667054714785,0.697440931519269,21761.6329261056,
"q70",1956.5488316899,3578.3939801388,3957.327393495,8409.362365561,3186.4640137075,3.36668663870581,1.18786524790882,21088.0965845922,
"q71",2122.1746994282,3146.4775310869,4894.0628335262,7971.4305156204,2905.731390667,3.33453453453453,1.16506238078497,21039.8769703287,
"q8",148.8877696403,204.3283984214,1386.7354569748,9152.4386013105,11010.0544928162,4.40092432120162,0.707416745274553,21902.4447191632,
"q9",3802.1616838479,4828.5669281825,3624.6815159908,7361.8075930631,2121.1941274327,2.95990703079605,1.2841234421221,21738.411848517,
