"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",1416.6464169249,3866.3501981626,4278.0003425827,13108.7706406313,5963.9990080392,3.65542897000698,1.10172652386325,28633.7666063407,0.0120667451234073
"q10",2090.0183824219,4974.4567239231,4794.2218471205,13605.6854635224,2850.6092855252,3.3605825698849,1.10848421482561,28314.9917025131,
"q11",2168.6233892567,3564.4987041992,4427.2100276442,12993.4943686407,4329.5140109663,3.5146595590017,1.13986323565427,27483.3405007071,0.0772089608252114
"q12",551.8029046609,1185.4818656475,3102.2446590071,15573.9114913982,7962.0320908042,4.04622243078367,0.844643542119804,28375.4730115179,
"q13",372.9956740012,505.4258115665,2158.5499959235,13279.8604211437,11854.3564863439,4.27893245158243,0.776999379405657,28171.1883889788,
"q14",1354.2189939496,3003.3029480167,4120.1455172124,13654.2716490605,6343.7461283962,3.72504091653028,1.07513004389305,28475.6852366354,
"q15",1286.9342357955,1789.8946718384,3246.6637824708,13194.0379295448,8594.4270694628,3.93327023189778,1.03833984533632,28111.9576891123,
"q16",378.4098165628,1033.4399506416,3398.9475220474,15215.7500911872,8295.4243203384,4.07220131702728,0.815752088090695,28321.9717007774,
"q17",2271.728700989,2286.6217488714,4789.4857986947,11001.0066381394,6966.7938974961,3.67340970021935,1.18378952099107,27315.6367841906,
"q18",2576.828182883,4426.3275677529,6417.6682063537,11224.5950632992,3630.7357031958,3.32494117647059,1.15683081205628,28276.1547234846,
"q19",1504.4529808271,2585.2096677957,3530.900550922,12184.9619558165,8165.9679435112,3.82071428571429,1.12050726115507,27971.4930988725,
"q2",637.5584985935,2824.5826693963,4032.1158284355,15903.5236716972,5091.6108368813,3.78551401869159,0.931781793083883,28489.3915050038,0.00909200867885444
"q20",769.0971938611,2234.4901162097,3981.124732382,14635.8554133068,7012.7940029121,3.88142292490119,0.959108802870714,28633.3614586717,
"q21",2485.5751072603,5465.7699415635,7476.0079051224,10411.9445326024,2077.4386700123,3.1699642431466,1.09577324390553,27916.7361565609,
"q22",3909.5516415177,4874.1599813393,7494.6748960216,8496.7640480441,2382.7388701828,3.04708190289358,1.19529782215598,27157.8894371055,
"q23",5009.1143670549,6585.0012675395,7411.0188268075,6016.2935197479,1284.9188131402,2.71635347892331,1.16202800179312,26306.34679429,
"q24",3705.3611245882,6457.2687148848,7958.0316074384,7447.8515258346,1525.3065299656,2.89474981513434,1.13293641214766,27093.8195027116,
"q25",3810.6680961249,4930.5273752595,6955.436620572,8873.8181509229,2367.8551464764,3.0548418972332,1.20330500917209,26938.3053893557,
"q26",1280.7564998442,2212.7127218452,3755.6200318272,15027.3375715296,6212.0690405489,3.79658639233107,1.0142841094851,28488.4958655951,
"q27",1652.275494244,2701.9032084929,8166.4596321378,11289.0679233397,4000.3177249535,3.48705656759348,1.041261090923,27810.0239831679,
"q28",167.4380241421,431.6049883673,3802.2446063626,13135.1849423457,11055.2380011628,4.22351571594878,0.761715654864508,28591.7105623805,
