"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",156.8861979993,357.5393737313,301.4939817115,912.3408681683,412.4388041649,3.52205882352941,1.16015066227833,2140.6992257753,
"q10",183.8621877471,497.2106252399,232.9079216828,1024.1481176452,203.1912729598,3.24754901960784,1.18134303803449,2141.3201252748,
"q11",152.440287113,277.1977696649,312.5558159758,907.4244975325,374.2719532416,3.52051282051282,1.17966477901045,2023.8903235278,0.019712997979596
"q12",83.142694002,69.4711574846,173.2118401961,1087.5706371672,731.4862589052,4.11002444987775,0.89668356791533,2144.8825877551,
"q13",45.5115155506,21.4563096298,113.0169434485,858.8048716927,1097.8925955138,4.36519607843137,0.79708588458505,2136.6822358354,
"q14",94.2030952669,223.1596673325,315.4839247503,863.6773123726,649.3113575806,3.77506112469438,1.07933533408829,2145.8353573029,
"q15",82.9935127283,156.5599320063,164.6402706548,902.2182102108,804.4631565743,4.07481296758105,1.02683446934324,2110.8750821745,
"q16",57.1601196301,67.9880024557,156.6248604066,1062.5169780724,797.4741446072,4.19607843137255,0.817970349465618,2141.764105172,
"q17",230.396240954,157.7852272437,250.0983908805,744.0635483709,690.9713059516,3.76142131979695,1.26166173799554,2073.3147134007,
"q18",211.4531811676,339.2568908612,512.9463965653,750.4995191192,307.8864558305,3.31930693069307,1.16802882236587,2122.0424435438,
"q19",106.2051084513,183.4208127696,213.6607379143,761.3281637102,843.1460081085,3.98997493734336,1.1230341839253,2107.7608309539,
"q2",67.7693581584,174.9678645612,261.5406552201,1138.9192855922,500.7005274548,3.85574572127139,0.960607698735612,2143.8976909867,
"q20",68.9692321441,235.4601893336,276.243834969,882.01960343,685.7414082816,3.94146341463415,1.02606033407967,2148.4342681583,
"q21",252.4118199513,378.8509188199,558.3163682148,707.1148849326,196.9968156447,3.12878787878788,1.15004878067352,2093.6908075633,
"q22",449.5642813322,376.1272635763,532.1304128298,494.3513053387,188.3352607735,2.84654731457801,1.25758502681873,2040.5085238505,
"q23",402.7096777508,374.6398011729,547.1542908019,535.4591894394,119.4834453077,2.89008042895442,1.17602997363593,1979.4464044727,
"q24",311.3502512328,455.1635849824,546.1694229569,589.0151731431,188.2761284327,3.02784810126582,1.18866652123109,2089.9745607479,
"q25",328.699747882,357.2120907278,452.3206349931,694.0145954484,267.1024008505,3.12531328320802,1.25387273027113,2099.3494699018,
"q26",103.0511154375,184.6850786182,319.646795437,1093.583794017,427.2239274292,3.77093596059113,1.03003900721412,2128.1907109389,
"q27",166.2886794016,259.0949451392,545.8559335648,793.8374755081,326.2171303903,3.4425,1.12242744014746,2091.294164004,
"q28",13.8158856234,25.0513968477,370.6893182511,798.1051782381,935.5746674872,4.28606356968215,0.79448244706481,2143.2364464475,
"q29",42.5596390923,205.6579357444,308.9587792407,1113.654644912,406.8906617943,3.84130982367758,0.897531011382421,2077.7216607837,
"q3",137.981332139,329.8831528852,377.1618905082,833.1260174345,416.6431860941,3.57356608478803,1.14463946343243,2094.795579061,
"q30",190.7738020948,405.1315085359,469.0878536001,744.7072871728,277.6518021187,3.31077694235589,1.15121048281729,2087.3522535223,
"q31",205.2945392593,358.3173840959,409.0299690756,883.4334634422,248.9027756776,3.35162094763092,1.15695877885087,2104.9781315506,0.146041429609539
"q32",237.3463489199,338.3500372914,677.723518913,608.2053693724,217.3523838047,3.16497461928934,1.11464533519535,2078.9776583014,
"q33",431.7335772984,536.7310610239,532.7523445551,386.1916299908,100.6564605657,2.66842105263158,1.18279336270948,1988.0650734339,
"q34",128.4226717971,216.9074038403,495.2275250525,763.8835601673,311.381942223,3.52747252747253,1.0714492576132,1915.8231030802,
"q35",62.9207716926,88.9638983608,255.8261064974,1115.5702263486,549.9659638383,3.93181818181818,0.934783655887369,2073.2469667377,
"q36",33.8669371825,109.1854726046,242.0005511231,1132.5216643976,571.4984052349,3.94974874371859,0.904780161553894,2089.0730305427,
"q37",231.4374883136,235.4197485739,414.366904899,758.8790971172,379.0267703313,3.42857142857143,1.25237868911619,2019.130009235,
"q38",143.1688805705,183.1473219595,355.6807781682,742.4084693797,548.1313834137,3.72413793103448,1.14774332796226,1972.5368334916,
"q39",6.7599648337,62.3921441097,250.280905228,1181.7572929154,597.9746997305,4.1453634085213,0.722170309236071,2099.1650068173,
"q4",92.8660978862,209.9061724798,327.5413211224,839.0453035173,666.2502811927,3.86240786240786,1.09667527143294,2135.6091761984,0.139934169046696
"q40",109.0838265212,268.6495033886,453.2715709294,850.1848647384,422.0270932584,3.61845386533666,1.07077476786263,2103.216858836,0.173513872944135
"q41",302.7834338203,403.0711855411,588.5315471073,414.7170950992,205.4336716898,2.89344262295082,1.21952636471423,1914.5369332577,
"q42",116.5503326658,104.8543003203,157.1180015538,934.1582278366,765.4797474069,4.04030226700252,1.0533198643749,2078.1606097834,
