"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",54,129,115,287,112,3.39311334289813,1.18193231619495,697,
"q10",93,115,135,285,63,3.15918958031838,1.20775822165623,691,
"q11",79,113,104,279,95,3.2955223880597,1.2405014700138,670,
"q12",29,50,97,341,172,3.83744557329463,1.01714510424741,689,
"q13",14,17,59,280,313,4.2606149341142,0.872864416689828,683,
"q14",60,78,103,312,141,3.57060518731988,1.18189831030584,694,
"q15",34,42,87,318,202,3.89604685212299,1.05259024626901,683,
"q16",15,28,82,348,217,4.04927536231884,0.888831392796328,690,
"q17",71,63,111,246,185,3.60798816568047,1.26673500628823,676,
"q18",93,126,162,232,77,3.10724637681159,1.22270713004287,690,0.00489058492462059
"q19",42,53,81,287,221,3.86549707602339,1.13485038841734,684,
"q2",36,99,149,310,100,3.48847262247839,1.06594116356601,694,
"q20",23,71,95,322,186,3.82783357245337,1.03899544536079,697,
"q21",98,154,185,186,50,2.90490341753343,1.17381767942342,673,
"q22",162,117,177,155,47,2.70820668693009,1.26537766899497,658,
"q23",151,135,193,129,38,2.64086687306502,1.20508040488996,646,
"q24",123,144,179,169,46,2.80484114977307,1.20844535007683,661,
"q25",126,105,165,193,65,2.9480122324159,1.27421862427666,654,
"q26",55,75,111,332,119,3.55635838150289,1.13413171051218,692,
"q27",64,89,193,241,88,3.2962962962963,1.14182732714537,675,
"q28",14,28,118,275,259,4.06195965417867,0.940000717563139,694,
"q29",34,70,138,328,105,3.59259259259259,1.03137930388924,675,
"q3",70,105,117,258,134,3.41081871345029,1.24787370634981,684,
"q30",79,149,150,240,59,3.07533234859675,1.17742450996194,677,
"q31",85,120,161,237,70,3.12927191679049,1.19880480114523,673,
"q32",94,125,197,189,59,2.99096385542169,1.18177831024218,664,
"q33",169,170,177,96,19,2.40729001584786,1.12428211022694,631,
"q34",55,61,195,236,83,3.36666666666667,1.10231725861149,630,
"q35",28,34,103,371,140,3.82988165680473,0.951751905528874,676,
"q36",17,27,96,385,154,3.93078055964654,0.865383682450509,679,
"q37",98,82,167,204,104,3.20458015267176,1.27705357768508,655,
"q38",64,48,143,211,160,3.56709265175719,1.23526975750316,626,
"q39",14,40,129,346,149,3.84955752212389,0.900233735656107,678,0.0748924072607286
"q4",56,82,113,291,154,3.58189655172414,1.18584693138648,696,0.151005623010598
"q40",66,94,195,213,117,3.32262773722628,1.1894389495584,685,0.124695014131204
"q41",127,125,174,124,64,2.79315960912052,1.26872999810385,614,0.0110613195511186
"q42",36,36,91,272,242,3.95716395864106,1.0876918689482,677,
"q43",61,67,129,264,160,3.58002936857562,1.2040913094484,681,
"q44",63,68,144,236,161,3.54166666666667,1.22251197095394,672,
"q45",42,35,137,248,172,3.74605678233438,1.11440031405318,634,
"q46",58,82,159,232,152,3.49487554904832,1.20283881248878,683,
"q47",68,60,137,245,164,3.5593471810089,1.23238019304413,674,
"q48",34,57,89,279,224,3.8814055636896,1.10808403151901,683,
"q49",38,36,71,278,261,4.00584795321637,1.09435969645393,684,
"q5",14,30,72,303,269,4.13808139534884,0.91397230125174,688,0.151258716155194
"q50",52,75,78,275,203,3.73499267935578,1.21152437543082,683,
"q51",69,58,120,229,207,3.65446559297218,1.26910842231758,683,
"q52",47,65,107,210,254,3.81844802342606,1.2238391800274,683,
"q53",119,142,162,193,56,2.88839285714286,1.23693136495848,672,
"q54",106,76,156,232,83,3.16845329249617,1.26628662098306,653,
"q55",51,56,137,299,101,3.53260869565217,1.1016142668069,644,0.0328686736272636
"q56",68,103,167,253,76,3.24887556221889,1.15644600062426,667,0.0475334277506183
"q57",57,71,183,233,76,3.32258064516129,1.11639556090713,620,
"q58",90,115,150,240,66,3.11649016641452,1.21232949890626,661,
"q59",82,77,155,266,76,3.26981707317073,1.18980553805867,656,
"q6",35,70,106,291,188,3.76376811594203,1.1110307214491,690,
"q60",74,79,168,196,142,3.38391502276176,1.25832757925719,659,
"q61",89,97,166,217,107,3.23076923076923,1.25432584814845,676,0.00701104139551217
"q62",54,57,200,219,113,3.43545878693624,1.13158528810893,643,
"q63",61,143,159,238,77,3.18731563421829,1.15887871394723,678,0.0824044893560593
"q64",81,178,167,194,58,2.95575221238938,1.16995408662181,678,
"q65",78,111,200,210,79,3.14896755162242,1.17454178958823,678,
"q66",87,145,187,191,65,3.00296296296296,1.18346300306986,675,
"q67",154,161,170,146,48,2.66568483063328,1.23798679025753,679,0.113496125030768
"q68",74,142,164,228,65,3.10104011887073,1.169509252949,673,0.00592290856974436
"q69",46,96,140,267,126,3.49037037037037,1.14827144469132,675,
"q7",7,6,25,220,433,4.54269175108538,0.703501175120287,691,
"q70",50,89,123,292,121,3.51111111111111,1.14825804507572,675,
"q71",69,124,173,221,90,3.20531757754801,1.186998637059,677,
"q8",5,9,48,293,341,4.3735632183908,0.732467558363672,696,
"q9",162,174,120,196,45,2.69583931133429,1.27617307653331,697,0.036193441812371
