"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",382.2686309005,830.9015534983,1084.1720282274,3235.019596056,1411.1358016841,3.58455882352941,1.10000861188847,6943.4976103663,
"q10",794.2843724519,1129.7280515191,1014.2708632035,3018.2708471343,949.9562313896,3.19777503090235,1.23798982457931,6906.5103656984,
"q11",510.1266264428,773.8529198865,1101.2829210252,3048.7888437148,1437.40031182,3.54919053549191,1.15980423032441,6871.4516228893,
"q12",141.1510865417,259.1064566405,704.9126194295,3760.9569610907,2039.8606810417,4.06034482758621,0.857291280511059,6905.9878047441,
"q13",68.5781786447,77.4226664703,486.4560974524,2976.2999120738,3239.6472884135,4.35616438356164,0.737435897971931,6848.4041430547,
"q14",412.730529314,665.6149338073,773.1168833035,3309.1524952784,1778.5620391009,3.72671568627451,1.14155076851769,6939.1768808041,
"q15",429.840223227,352.0300575315,933.981647491,3202.5650440235,1831.7841996732,3.82323232323232,1.10008189860188,6750.2011719462,
"q16",138.2809522353,201.1642887907,662.4324073036,3653.0603236233,2238.3553314576,4.08168316831683,0.861261078573758,6893.2933034105,
"q17",621.189720953,588.3937638134,1107.3634670901,2510.1126240899,1927.4897107624,3.63098236775819,1.24889753842314,6754.5492867088,
"q18",673.6831187156,901.9124413435,1475.0272662031,2752.3771755411,1015.9439573831,3.30635118306351,1.18733844364552,6818.9439591864,
"q19",364.4978783508,620.6136669663,958.8173029292,2823.9139706765,1855.7696010905,3.75321336760925,1.13933811227443,6623.6124200133,
"q2",217.648493984,731.7723803969,979.995874391,3469.3524756636,1514.1965977286,3.74630541871921,1.01026721584846,6912.9658221641,
"q20",360.1157096996,626.5895212482,1158.2296346909,3173.7161104993,1623.5840085983,3.67524509803922,1.08584871161494,6942.2349847363,
"q21",970.2838167135,1169.8158455651,1884.3657444847,2270.3158132114,502.7042588615,2.97856242118537,1.12064846462341,6797.4854788362,
"q22",1168.7122847821,1219.8808663725,1981.7621356173,1675.7035386336,477.2635039542,2.83833116036506,1.17743861929193,6523.3223293597,
"q23",1268.2391493369,1311.9884185348,1895.652373965,1617.6238462877,427.9129382729,2.72595520421607,1.18087144293751,6521.4167263973,
"q24",1077.563072349,1222.0024767565,1873.3870397488,2001.2443785672,421.4749170744,2.87968952134541,1.17828535599916,6595.6718844959,
