"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",232,609,671,1247,498,3.35922628185447,1.1566102682945,3257,0.00568886001201436
"q10",261,504,538,1503,431,3.4136546184739,1.14211388406991,3237,
"q11",260,391,513,1331,609,3.52770618556701,1.18177388529515,3104,0.0222910529733163
"q12",45,97,344,1739,1006,4.10306406685237,0.807986387123274,3231,
"q13",24,28,136,1265,1723,4.45938287153652,0.691172777248125,3176,
"q14",226,383,438,1415,782,3.66091245376079,1.16652398129319,3244,
"q15",152,208,410,1428,1003,3.91283973758201,1.05899160271479,3201,
"q16",52,101,348,1658,1065,4.1113523573201,0.834603862015683,3224,
"q17",290,267,611,1195,802,3.61674565560821,1.20917694111402,3165,
"q18",271,491,753,1221,477,3.35543106131341,1.15677894356603,3213,
"q19",125,202,387,1346,1125,3.98712715855573,1.04009932204457,3185,
"q2",77,334,458,1693,662,3.78442928039702,0.964652720516291,3224,
"q20",138,320,511,1477,803,3.76546629732225,1.06113688546968,3249,
"q21",358,613,883,1061,265,3.08238993710692,1.14179015370809,3180,
"q22",608,629,981,571,204,2.71065820247244,1.1844341937843,2993,
"q23",669,674,824,679,181,2.6792203501817,1.21152252728258,3027,
"q24",538,707,898,770,201,2.80378933847142,1.17707997935769,3114,
"q25",604,591,777,827,251,2.84590163934426,1.25019824869247,3050,
"q26",216,274,582,1617,542,3.61745589600743,1.06900832021501,3231,
"q27",241,363,996,1138,436,3.36704473850032,1.09166871627102,3174,
"q28",21,79,443,1376,1332,4.20547523838819,0.811976229427872,3251,
"q29",83,225,612,1721,498,3.74100031857279,0.900823442259106,3139,
"q3",225,492,626,1228,609,3.47295597484277,1.16905069445883,3180,
"q30",303,593,832,1097,293,3.15522771007056,1.13266173863008,3118,
"q31",373,639,764,1015,315,3.08370895041854,1.18827276548036,3106,
"q32",411,707,908,776,257,2.92186989212161,1.16302402680475,3059,
"q33",809,739,786,446,142,2.44318959616701,1.18229977311029,2922,
"q34",195,202,949,1162,386,3.46371803731859,1.02941366662469,2894,
"q35",97,154,388,1777,722,3.91555130656469,0.906291735761228,3138,
"q36",51,98,313,1875,802,4.04460019114368,0.790268240565096,3139,
"q37",390,335,727,1059,487,3.30620413609073,1.24170986052861,2998,
"q38",211,182,636,1171,665,3.66212914485166,1.12129915987727,2865,
"q39",50,107,513,1739,710,3.94645719781981,0.819122473562585,3119,
"q4",108,255,434,1415,1033,3.92758089368259,1.03006313329544,3245,0.176961356815087
"q40",121,282,767,1354,649,3.67065868263473,1.01825059585673,3173,0.395227079335806
"q41",396,493,889,686,379,3.05592683784734,1.22576544509283,2843,
"q42",168,186,444,1373,966,3.88715333120816,1.07529841006042,3137,
"q43",249,363,656,1123,748,3.56005097164702,1.19610457493851,3139,0.00414406095101895
"q44",242,351,666,1093,738,3.56116504854369,1.19225674375606,3090,
"q45",161,175,737,1085,771,3.72721065209969,1.08376010578035,2929,
"q46",245,358,711,1104,703,3.53252162768343,1.18334449093559,3121,
"q47",287,332,718,1080,695,3.5025706940874,1.20988899640494,3112,
"q48",155,280,482,1263,983,3.83433449257034,1.10961402622435,3163,
"q49",125,205,400,1286,1139,3.98541996830428,1.05091217414311,3155,0.0137092849435964
"q5",27,75,257,1345,1473,4.31004091910607,0.787098763218833,3177,0.0786111820880694
"q50",144,327,358,1412,913,3.83164235890932,1.09573490416398,3154,
"q51",295,305,618,990,944,3.62912436548223,1.26011570288417,3152,
"q52",192,248,604,1005,1100,3.81708478882185,1.17126774006646,3149,
"q53",368,526,832,981,351,3.13767168083715,1.18945319164536,3058,
"q54",301,291,762,1123,470,3.39701391245334,1.17010361591272,2947,
"q55",172,212,712,1317,529,3.61828687967369,1.04446146428771,2942,
"q56",197,312,691,1382,462,3.52562417871222,1.07077837144573,3044,
"q57",157,232,752,1321,448,3.57422680412371,1.01779745383504,2910,
"q58",254,427,758,1120,407,3.33681726230614,1.14017831730982,2966,
"q59",218,351,796,1168,422,3.41455160744501,1.09951276845206,2955,
"q6",62,156,314,1497,1183,4.11550435865504,0.9060762191441,3212,0.014578172886074
"q60",227,280,758,1031,600,3.51691988950276,1.15248038064732,2896,
"q61",233,343,796,1079,621,3.4921875,1.15458009412425,3072,
"q62",198,299,846,915,502,3.44347826086957,1.12166425577378,2760,
"q63",191,619,829,1052,390,3.269717624148,1.10648393840682,3081,0.0676999817587824
"q64",225,625,821,1056,336,3.21318968331701,1.11192501955674,3063,
"q65",347,660,774,917,363,3.09441359032996,1.19772585060224,3061,0.0494493188136455
"q66",216,507,986,1027,325,3.24109768049657,1.07254353961831,3061,
"q67",528,681,958,647,245,2.80385746976136,1.18613012369047,3059,0.0284885488735825
"q68",247,515,818,1117,358,3.26972176759411,1.11982627750115,3055,0.0346564088493964
"q69",126,282,600,1371,671,3.7144262295082,1.0378638855995,3050,
"q7",20,21,102,1076,2009,4.5591697645601,0.650545901955652,3228,
"q70",346,659,598,1128,336,3.14639713074666,1.20464253186612,3067,
"q71",172,396,786,1323,395,3.44694010416667,1.04807140755927,3072,
"q8",12,21,209,1406,1601,4.40443213296399,0.67287710719042,3249,
"q9",377,667,603,1213,395,3.17880184331797,1.22260230675731,3255,
