"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",385.0831737436,859.0040363082,870.2073598378,2013.9709661227,1225.3403244801,3.53095975232198,1.19357505127611,5353.6058604924,
"q10",489.8011746063,1017.2190773289,813.9207777681,2200.5205733939,807.9014339976,3.30015552099533,1.20167975920722,5329.3630370948,0.0209202905225995
"q11",717.5489250219,712.0571871694,800.8430446016,1972.5117452142,956.9450113843,3.37277147487844,1.29074034980455,5159.9059133914,0.029667437784
"q12",166.1445996383,226.0237273078,434.4802026043,2565.4653119806,1886.4020612894,4.07692307692308,0.942723514386207,5278.5159028204,0.0788037606044379
"q13",67.0143350913,128.6796931852,303.6232537443,1941.3408062975,2823.7001706142,4.35590551181102,0.825046939043909,5264.3582589325,
"q14",466.3578887967,619.9127536921,761.9204029828,2241.0530950176,1264.4145825682,3.55108359133127,1.23251444099662,5353.6587230574,
"q15",267.5903828767,415.3726209807,479.8489238465,2350.1282302069,1709.7809064435,3.92539682539683,1.05906162591885,5222.7210643543,
"q16",106.6843434894,116.7907515962,438.4864408087,2800.9902816536,1856.6247865319,4.14953271028037,0.801368622404927,5319.5766040798,
"q17",511.1804399858,426.2144135193,893.5886399481,1733.2223746219,1582.2301583781,3.70274636510501,1.23415873577097,5146.4360264532,
"q18",581.1555178462,827.7617441693,1071.5600836806,1829.4473821546,1009.9147722097,3.29906542056075,1.23304693399047,5319.8395000604,
"q19",336.4955158523,460.2701657775,612.7234877185,1957.6041509428,1730.0410788934,3.82875605815832,1.18502532449063,5097.1343991845,
"q2",180.5864918631,558.2940013839,744.0062021722,2461.1211720729,1319.6045880558,3.77358490566038,1.02825915604592,5263.6124555479,
"q20",194.9456734764,516.550861347,564.5035137245,2514.0425630358,1548.2881981856,3.89130434782609,1.05257686047017,5338.3308097693,
"q21",575.6346262166,962.1990186667,1146.8792217718,1860.4596138547,598.5981570593,3.17258064516129,1.19269035895952,5143.7706375691,
"q22",957.8474754022,785.9359052806,1243.0223478902,1468.0622717341,577.6143919251,3,1.27410099024109,5032.4823922322,
"q23",1042.2680810665,899.2394985824,1328.3255013578,1089.7277135794,452.8951765707,2.78313253012048,1.25579669642435,4812.4559711568,
"q24",820.3233635642,1060.9535000418,1359.9049023465,1267.8047476207,530.3576660838,2.94398682042834,1.22817283045839,5039.344179657,
"q25",923.7995790534,908.6407411081,1092.2495119556,1468.2810143346,669.9378084436,3.03273322422259,1.29901938772969,5062.9086548953,
"q26",323.2023838471,545.9844044073,705.3779546599,2405.7927569243,1342.6756909709,3.7234375,1.11894235042207,5323.0331908095,
"q27",333.391202284,532.7491021702,1387.3680024234,1898.4916480383,1075.8151454728,3.5024077046549,1.10519555561282,5227.8151003887,
"q28",54.237549972,103.3383170874,709.5957682633,2135.8593006809,2352.6599054219,4.24689440993789,0.832601451484324,5355.6908414255,0.0254736010743327
"q29",113.6333765918,565.0707747615,808.9525283067,2725.4182249057,978.2382480514,3.72843450479233,0.966506174477698,5191.3131526171,
"q3",421.5025111748,796.7358252092,822.6691710707,1786.5966979297,1463.6271624773,3.60188087774295,1.22562753794486,5291.1313678617,
"q30",549.875009409,947.654349403,1382.4376138799,1753.0437592956,572.3667765147,3.18500797448166,1.1628838470756,5205.3775085022,
"q31",496.4118102386,912.5429899978,1244.5086220559,1781.6409084209,675.4844462052,3.28501628664495,1.17138402672666,5110.5887769184,
"q32",706.7786713674,938.1165573969,1508.3838068161,1360.3041574814,653.1876123377,3.08576051779935,1.20671721563234,5166.7708053995,
"q33",1092.7523601025,1258.0570724465,1391.0976547411,754.268916494,379.222572689,2.5809199318569,1.19220040865505,4875.3985764731,
"q34",485.9768579549,452.417138551,1247.9933633297,1911.682636493,840.0037920382,3.45161290322581,1.13529564591905,4938.0737883668,
"q35",144.3832368661,223.0562244872,614.7935114057,2724.7023030431,1497.7633929431,3.9472,0.934778185673081,5204.6986687452,
"q36",94.5660562151,184.2561518479,483.4930600874,2964.7294348269,1475.1821443931,4.03846153846154,0.829895778597376,5202.2268473704,
"q37",692.4189401583,560.2485181009,1179.0023831232,1580.1031503267,1064.7318972592,3.37664473684211,1.29168443929375,5076.5048889683,
"q38",375.5524734462,349.2807198744,950.195513937,1765.9646071208,1571.7386442192,3.81166666666667,1.14238301537265,5012.7319585976,
"q39",82.9838706577,149.441543255,805.4921630427,2722.7419988201,1444.5880518792,4.01123595505618,0.841948196612541,5205.2476276547,
"q4",277.6514207076,532.5227863362,757.0233181689,2046.652798111,1659.6878983002,3.80407523510972,1.11821609192487,5273.5382216239,0.196068642584054
"q40",315.0562798517,720.0021030508,1092.436575368,1999.2229699254,1143.9573248195,3.58860759493671,1.14899389233938,5270.6752530154,0.137673184415159
"q41",822.9017059689,767.1669199459,1520.7223294783,1058.918628481,581.8244216312,2.9347442680776,1.24731905994917,4751.5340055053,
"q42",168.024000926,294.1294731042,507.1466809296,2079.0634171567,2194.7230463416,4.10492845786963,1.00244503779049,5243.0866184581,
"q43",370.7302645093,491.9513413651,862.1779664992,1829.0773607122,1643.7562069972,3.74358974358974,1.19453971670694,5197.693140083,
"q44",267.608780147,595.3958222258,1008.2423704128,1765.217566533,1515.9872546235,3.66558966074313,1.17400171720338,5152.4517939421,
"q45",188.2622777274,289.2265196258,968.1336147035,1831.6704780617,1638.5971782672,3.90017211703959,1.04733650916413,4915.8900683856,
"q46",287.1400320671,597.5838241341,1001.2630427079,1855.4381175912,1463.0770721681,3.64583333333333,1.16581123572651,5204.5020886684,
