"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",45,184,204,492,271,3.63545150501672,1.10421666366891,1196,
"q10",88,194,175,551,176,3.45016891891892,1.14872856549033,1184,
"q11",88,160,171,472,240,3.5446507515473,1.19308299121866,1131,
"q12",19,54,117,581,410,4.10838272650296,0.873395386325069,1181,
"q13",8,17,88,455,582,4.37913043478261,0.74906331437494,1150,0.00150979074342383
"q14",69,136,149,526,299,3.72094995759118,1.13636918307567,1179,
"q15",34,50,109,555,411,4.0862812769629,0.937315035203796,1159,
"q16",14,32,116,601,421,4.16807432432432,0.800228839554447,1184,
"q17",96,99,159,414,375,3.76377952755906,1.23088554415223,1143,0.00613658494190133
"q18",81,220,270,403,205,3.36556403731976,1.16886675484853,1179,
"q19",53,84,138,454,429,3.96891191709845,1.09168335161968,1158,
"q2",28,105,165,581,306,3.87088607594937,0.974005716874183,1185,
"q20",26,89,155,556,366,3.96224832214765,0.965092311223512,1192,
"q21",121,227,302,395,93,3.09841827768014,1.13587735817872,1138,
"q22",194,208,368,245,97,2.85881294964029,1.19812095347928,1112,
"q23",205,229,313,281,76,2.81340579710145,1.20273245650255,1104,
"q24",156,237,328,332,93,2.97294938917976,1.16879418738208,1146,
"q25",165,194,288,366,128,3.08588957055215,1.2295994291702,1141,
"q26",56,106,175,587,258,3.74873096446701,1.04365876657014,1182,
"q27",69,125,370,420,165,3.42384682332463,1.05369211375673,1149,
"q28",5,18,154,513,502,4.2491610738255,0.766094680072983,1192,
"q29",28,87,172,652,224,3.82287188306105,0.908703189723831,1163,
"q3",68,145,229,412,316,3.65213675213675,1.16823500121612,1170,0.00215106114624786
"q30",68,198,285,458,144,3.35732870771899,1.08524693667332,1153,
"q31",88,158,267,474,163,3.40521739130435,1.12227571534202,1150,
"q32",104,204,320,371,130,3.19397697077059,1.14099894153131,1129,
"q33",235,264,347,182,61,2.60514233241506,1.15849293698915,1089,
"q34",72,82,328,424,180,3.51381215469613,1.06355322108606,1086,
"q35",24,75,129,635,301,3.95704467353952,0.900870045528872,1164,
"q36",20,43,128,659,313,4.0335339638865,0.825420236895808,1163,
"q37",112,108,238,420,240,3.50805008944544,1.214441432885,1118,
"q38",65,67,190,454,311,3.80864765409384,1.10005805641684,1087,
"q39",9,36,135,650,328,4.08117443868739,0.766841788829617,1158,
"q4",40,99,159,495,396,3.93187552565181,1.04827978279256,1189,0.0872784935520756
"q40",46,109,237,479,298,3.74764756201882,1.05926927465544,1169,0.281440922758235
"q41",166,215,337,239,118,2.93302325581395,1.21488965190734,1075,
"q42",29,45,121,496,473,4.15034364261168,0.931298644204584,1164,
"q43",62,105,194,427,377,3.81716738197425,1.13899057481585,1165,0.0294724297807585
"q44",74,103,225,396,338,3.72271126760563,1.16998213371493,1136,
"q45",39,47,236,423,345,3.90642201834862,1.00980275459509,1090,
"q46",70,127,236,421,307,3.66149870801034,1.15518657705154,1161,
"q47",63,92,221,467,305,3.74825783972125,1.10014919955086,1148,
"q48",38,71,137,468,449,4.0481513327601,1.02015131904028,1163,
"q49",36,49,99,463,511,4.17789291882556,0.972106240802429,1158,
"q5",21,50,113,464,520,4.20890410958904,0.912179512457917,1168,0.152733378336291
"q50",46,118,144,451,400,3.89818809318378,1.10657721003007,1159,
"q51",70,95,179,382,435,3.87596899224806,1.17669156847219,1161,
"q52",46,68,201,354,497,4.0188679245283,1.08978278957958,1166,
"q53",117,197,283,382,161,3.23947368421053,1.19467051974823,1140,
"q54",86,115,251,420,237,3.5473399458972,1.16149282010505,1109,
"q55",59,83,208,501,250,3.72661217075386,1.06117870288267,1101,
"q56",82,131,218,488,211,3.54424778761062,1.13573394546432,1130,
"q57",55,111,242,480,197,3.60184331797235,1.05477140865004,1085,
"q58",99,156,239,438,188,3.41071428571429,1.17809597394909,1120,
"q59",84,122,237,479,194,3.51702508960573,1.12639610365519,1116,
"q6",31,68,122,545,415,4.05419136325148,0.958694271247072,1181,
"q60",73,108,250,372,312,3.66547085201794,1.17048557026556,1115,
"q61",86,119,240,406,299,3.62,1.18847819405935,1150,0.00817070779009097
"q62",55,94,248,414,257,3.67790262172285,1.08892288417418,1068,
"q63",64,190,258,426,212,3.46260869565217,1.13259031110331,1150,0.146642379959202
"q64",83,221,243,433,167,3.33129904097646,1.15474072716396,1147,
"q65",82,183,292,392,189,3.37170474516696,1.14926801406673,1138,0.0592347748751163
"q66",66,183,307,423,168,3.38709677419355,1.09342355552568,1147,0.0377355836676011
"q67",192,249,346,242,115,2.85926573426573,1.21824198996809,1144,
"q68",65,152,317,428,181,3.44444444444444,1.08250788076965,1143,0.0113694107873352
"q69",43,106,201,512,284,3.77486910994764,1.0397834131066,1146,
"q7",13,6,30,371,768,4.57828282828283,0.675556930821931,1188,
"q70",60,153,218,507,205,3.56342957130359,1.09013702607615,1143,
"q71",68,145,233,487,211,3.54895104895105,1.10801531413575,1144,
"q8",4,11,76,476,625,4.43204697986577,0.684784745190253,1192,
"q9",156,237,177,450,168,3.19949494949495,1.27701463707107,1188,
