"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",318,593,713,1649,723,3.46696696696697,1.17702661374828,3996,
"q10",359,638,662,1873,431,3.3479687105728,1.14465497846178,3963,
"q11",450,583,630,1583,569,3.32450851900393,1.23744438397355,3815,0.0585581169563332
"q12",126,206,501,2074,1045,3.93775303643725,0.939674635118175,3952,
"q13",48,89,344,1697,1739,4.27393413326525,0.811225613291682,3917,
"q14",249,474,580,1848,820,3.63359355326114,1.12268554199081,3971,
"q15",243,257,549,1793,1090,3.82146490335707,1.09677591875668,3932,
"q16",107,206,549,2029,1067,3.94567963617989,0.925766438173632,3958,
"q17",440,354,727,1398,909,3.51776384535005,1.26476563168343,3828,
"q18",417,640,914,1443,532,3.26178408514952,1.19234748807957,3946,
"q19",250,369,517,1588,1212,3.79852642276423,1.16003236309103,3936,
"q2",149,482,633,1993,710,3.663725737333,1.02458558755404,3967,
"q20",153,410,584,1916,933,3.76726726726727,1.03958672815034,3996,
"q21",601,940,1072,1049,211,2.82674928995611,1.15000323094683,3873,
"q22",939,756,1052,841,224,2.64716684155299,1.23093590481191,3812,
"q23",1045,903,961,701,134,2.45940170940171,1.18159239265275,3744,
"q24",809,887,1092,844,200,2.67092901878914,1.18196239636441,3832,
"q25",844,709,1009,980,246,2.75580781414995,1.24002459877565,3788,
"q26",277,386,641,2026,645,3.5977358490566,1.08517247528568,3975,
"q27",345,520,1243,1364,425,3.25763407749551,1.09896995199538,3897,
"q28",43,106,654,1724,1454,4.11529766390354,0.848598959483957,3981,
"q29",151,405,719,2034,543,3.62642782969886,0.980652839395445,3852,
"q3",346,616,711,1465,780,3.4382337927514,1.22026047787517,3918,
"q30",432,777,1002,1326,293,3.07075718015666,1.14087667310159,3830,
"q31",443,779,958,1294,360,3.09102764736568,1.17069524421668,3834,
"q32",567,834,1110,1024,259,2.88771744860306,1.16117067225683,3794,
"q33",1089,974,926,563,134,2.37032013022246,1.1610495675478,3686,
"q34",337,306,1124,1349,498,3.37769784172662,1.11346866492384,3614,
"q35",104,180,519,2159,903,3.9254851228978,0.889398643493616,3865,
"q36",74,155,465,2211,954,3.98885721689557,0.837267157782335,3859,
"q37",577,495,905,1216,526,3.16644259209465,1.27245532703679,3719,
"q38",353,294,740,1433,766,3.54796430563302,1.19579110085523,3586,
"q39",81,163,669,2082,829,3.89304393305439,0.861179952111471,3824,0.0149720998444636
"q4",244,403,663,1631,1028,3.70445956160242,1.13950451104214,3969,0.139656674058575
"q40",249,477,928,1525,716,3.50885750962773,1.1164185823109,3895,0.272368052879874
"q41",694,686,1030,800,348,2.83754918493536,1.25025759829758,3558,
"q42",189,219,459,1712,1280,3.95231925369267,1.05661739381885,3859,
"q43",315,401,778,1405,957,3.59336099585062,1.19839820044119,3856,
"q44",369,406,783,1373,859,3.51372031662269,1.22552971333307,3790,
"q45",243,213,846,1386,884,3.68729003359462,1.11250409021682,3572,
"q46",352,453,906,1347,795,3.46197767973008,1.20203182630225,3853,
"q47",349,402,737,1480,848,3.5440251572327,1.20512272381098,3816,
"q48",186,334,536,1648,1178,3.84956208140134,1.09296599216087,3882,
"q49",150,219,449,1688,1362,4.0064632885212,1.0217240050699,3868,
"q5",82,206,437,1787,1402,4.07843638221768,0.928978074764741,3914,0.149580717636976
"q50",214,478,504,1620,1054,3.72919896640827,1.14948835267595,3870,
"q51",355,391,694,1320,1115,3.632,1.24897810578282,3875,0.0281204301983079
"q52",245,323,789,1223,1295,3.7741935483871,1.17882489142184,3875,
"q53",659,820,999,989,331,2.87177461822012,1.22593283204424,3798,
"q54",536,464,965,1204,498,3.18107444777747,1.24515061155882,3667,
"q55",293,275,903,1573,544,3.50167224080268,1.09399225753013,3588,
"q56",369,536,919,1548,416,3.29197465681098,1.13762222313409,3788,
"q57",301,427,936,1484,421,3.36340711683945,1.10132168985022,3569,
"q58",453,575,950,1343,387,3.17152103559871,1.1808325124847,3708,
"q59",407,470,951,1464,432,3.28034371643394,1.15856955622485,3724,
"q6",131,337,499,1860,1126,3.88869213255755,1.01892821686059,3953,0.0327874876779297
"q60",372,478,946,1177,664,3.35276326642837,1.21260395074259,3637,
"q61",472,566,935,1181,636,3.24881266490765,1.25253710926253,3790,
"q62",340,386,1011,1241,560,3.36602600339175,1.15922091812171,3538,
"q63",281,737,969,1391,438,3.25366876310273,1.11682575806195,3816,0.102579792957555
"q64",369,859,946,1248,391,3.11355887752426,1.15642157625283,3813,
"q65",479,763,982,1168,407,3.06870229007634,1.19867716080354,3799,0.00445076418224306
"q66",425,774,1151,1107,337,3.041381128097,1.13920420821833,3794,0.0444434053598015
"q67",824,822,1016,854,283,2.7236114767044,1.23723519786844,3799,0.071729113736115
"q68",394,575,967,1410,455,3.25177584846093,1.16303261856585,3801,0.0610702904914943
"q69",221,504,708,1680,680,3.55206960189823,1.10521947502806,3793,
"q7",40,39,120,1420,2352,4.51221354822463,0.700154290824513,3971,
"q70",294,554,691,1623,642,3.46398527865405,1.15827017275949,3804,
"q71",336,643,920,1450,454,3.27425716539574,1.14298051827137,3803,
"q8",27,53,315,1785,1804,4.32680722891566,0.734449976685293,3984,
"q9",581,919,725,1346,407,3.01985922574158,1.25013764604641,3978,
