"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",6,7,18,70,36,3.8978102189781,0.994726326040652,137,
"q10",13,23,22,62,17,3.34306569343066,1.17847082000099,137,
"q11",6,14,17,66,33,3.77941176470588,1.06591067981424,136,
"q12",2,5,57,74,0,4.47101449275362,0.641531345252679,138,
"q13",1,3,7,56,67,4.38059701492537,0.753884936867779,134,
"q14",1,3,13,60,61,4.28260869565217,0.782930396872667,138,
"q15",5,8,10,66,47,4.04411764705882,0.995304882073261,136,
"q16",1,3,9,67,58,4.28985507246377,0.746797528240259,138,
"q17",18,13,22,42,37,3.50757575757576,1.35633212240883,132,
"q18",8,19,32,58,19,3.44852941176471,1.08060238989855,136,
"q19",3,13,5,65,48,4.05970149253731,0.994429552953465,134,
"q2",2,8,9,75,42,4.08088235294118,0.861137465335699,136,
"q20",3,5,12,67,50,4.13868613138686,0.884361532338317,137,
"q21",7,10,13,64,40,3.8955223880597,1.07793074335271,134,
"q22",14,14,28,39,26,3.40495867768595,1.26871662449825,121,
"q23",12,13,37,38,11,3.20720720720721,1.12101510100215,111,
"q24",13,20,33,47,11,3.18548387096774,1.13601024474276,124,
"q25",10,18,24,55,20,3.4488188976378,1.15269636565146,127,
"q26",3,4,6,61,63,4.29197080291971,0.858868817806355,137,
"q27",7,7,27,52,39,3.82575757575758,1.08068547741108,132,
"q28",1,10,34,93,0,4.58695652173913,0.658778574161816,138,
"q29",1,1,12,77,46,4.21167883211679,0.690594979350783,137,
"q3",10,17,24,54,32,3.59124087591241,1.18541842033016,137,
"q30",4,16,34,57,20,3.55725190839695,0.993519813928946,131,0.181273048878246
"q31",6,13,25,67,23,3.65671641791045,1.01939446578412,134,
"q32",8,22,44,41,17,3.28030303030303,1.07940041272139,132,
"q33",13,27,40,39,7,3,1.0807404868885,126,
"q34",6,7,30,58,28,3.73643410852713,1.01180052879879,129,
"q35",1,2,14,74,44,4.17037037037037,0.728326037586177,135,
"q36",2,4,8,67,53,4.23134328358209,0.812627587247722,134,
"q37",10,16,16,53,32,3.63779527559055,1.21282361964074,127,
"q38",11,4,14,59,41,3.89147286821705,1.1472815020566,129,0.0540837059857851
"q39",5,11,72,47,0,4.19259259259259,0.738052057949321,135,
"q4",4,8,13,58,54,4.0948905109489,0.991754325594684,137,
"q40",5,8,23,50,50,3.97058823529412,1.05367910267601,136,0.00926798845670757
"q41",12,17,35,37,19,3.28333333333333,1.18947296664336,120,
"q42",3,3,10,43,78,4.38686131386861,0.88490756564874,137,
"q43",8,9,21,52,44,3.85820895522388,1.13159003890976,134,
"q44",8,11,19,49,48,3.87407407407407,1.1617641604996,135,
"q45",6,3,24,47,48,4,1.04240787277742,128,
"q46",9,11,23,48,43,3.78358208955224,1.17851659210734,134,
"q47",6,8,22,50,48,3.94029850746269,1.08136083876141,134,
"q48",3,7,9,47,70,4.27941176470588,0.956003846812253,136,
"q49",2,4,7,40,82,4.45185185185185,0.843929318311816,135,
"q5",2,5,10,62,59,4.23913043478261,0.850541672199108,138,
"q50",1,11,8,51,63,4.22388059701493,0.939058807680514,134,
"q51",7,8,16,40,64,4.08148148148148,1.13986024183808,135,
"q52",5,5,21,32,74,4.2043795620438,1.06507860888698,137,
"q53",11,29,29,49,16,3.22388059701493,1.16103266871186,134,
"q54",11,13,21,54,29,3.6015625,1.19275928196951,128,
"q55",4,6,19,65,34,3.9296875,0.940627983815604,128,
"q56",7,8,24,69,28,3.75735294117647,1.0146798329516,136,
"q57",3,4,25,56,35,3.94308943089431,0.917058850106965,123,
"q58",8,14,31,50,23,3.52380952380952,1.10789375457603,126,
"q59",7,12,31,51,26,3.60629921259843,1.08494371381295,127,
"q6",3,9,10,68,46,4.06617647058824,0.936520003403878,136,
"q60",8,8,22,51,38,3.81102362204724,1.12498524480318,127,
"q61",5,22,30,50,29,3.55882352941176,1.1073137725368,136,
"q62",3,4,17,57,49,4.11538461538461,0.911890577080211,130,
"q63",5,19,27,60,25,3.59558823529412,1.05675026988291,136,
"q64",3,17,29,64,23,3.63970588235294,0.978833728684084,136,0.0485326482992745
"q65",4,23,21,55,32,3.65185185185185,1.10843791199778,135,
"q66",7,18,35,56,19,3.45925925925926,1.05634517031612,135,
"q67",16,19,57,32,12,3.03676470588235,1.09820114352244,136,
"q68",6,9,35,61,25,3.66176470588235,0.997928136916082,136,
"q69",4,13,14,57,48,3.97058823529412,1.05367910267601,136,0.405961081537065
"q7",1,1,45,89,0,4.63235294117647,0.54172322479988,136,
"q70",4,20,17,62,33,3.73529411764706,1.07658784794159,136,
"q71",7,7,22,62,37,3.85185185185185,1.04751674028243,135,
"q8",3,6,67,61,0,4.35766423357664,0.672322864024993,137,
"q9",9,20,22,70,17,3.47826086956522,1.0888780223279,138,
