"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",1.0901889177,8.4886695412,7.2324190708,53.9520889867,25.0176344629,3.975,0.899718662075027,95.7810009793,
"q10",8.0582292938,12.223202799,13.5462353954,50.12162317,11.8317103211,3.475,1.13600454625583,95.7810009793,
"q11",6.9740212271,16.9676012989,15.385478949,43.4044643717,13.014120048,3.4,1.15396948383406,95.7456858947,0.209591587776815
"q12",4.6416773541,11.9974947359,7.1880465376,50.8431274998,22.2591692461,3.76543209876543,1.09853999629362,96.9295153735,
"q13",4.8094481983,7.1138251438,50.7250948501,33.1326327871,0,4.175,0.775821328771783,95.7810009793,
"q14",1.1808390533,4.7620621035,5.9623203241,48.3050251134,35.415054551,4.175,0.853510991527483,95.6253011453,
"q15",7.1564652494,10.8489803417,13.2186074045,40.8523408408,23.7046071429,3.6625,1.19008296700458,95.7810009793,
"q16",2.488043707,7.0676617882,14.3074290161,43.4910709206,28.3914804628,3.925,0.990780283221388,95.7456858947,
"q17",3.5708844676,4.8982747956,17.9634062846,31.3520045817,32.0003091891,3.93333333333333,1.06964673801407,89.7848793186,
"q18",8.2125618217,18.0090599518,14.3749776491,39.8932726867,15.29112887,3.375,1.21566775940872,95.7810009793,
"q19",11.8297238917,7.2695249778,20.374180846,40.6624705948,14.6525258196,3.40506329113924,1.21443230740795,94.7884261299,
"q2",3.4225327907,7.3048400624,13.1430187046,53.9747176389,17.9005766981,3.7875,0.963823477719095,95.7456858947,
"q20",1.265307919,7.1461498029,3.7922579352,50.3899414193,34.3358582971,4.1358024691358,0.890969786521309,96.9295153735,
"q21",11.9391692594,16.4646770239,22.7984279139,30.7551568313,11.3817807101,3.14102564102564,1.23503361302761,93.3392117386,
"q22",9.454716777,10.8288712597,28.9004986985,28.8243233172,7.9306997548,3.18055555555556,1.12995561284988,85.9391098072,
"q23",8.573739206,11.8728968218,26.0276722814,33.5089338906,7.0837632947,3.21917808219178,1.09603547365628,87.0670054945,
"q24",3.4578478753,14.2527179003,26.9395565456,30.9747695261,10.6266808348,3.36111111111111,1.03876356018071,86.2515726821,0.0813697344708384
"q25",11.78706065,15.3920605991,20.8142793411,32.3088081143,11.8105103136,3.18181818181818,1.24316312101612,92.1127190181,
"q26",4.8082254591,2.3603108005,5.018659545,50.3655618463,32.0164469221,4.08860759493671,0.976517535884684,94.569204573,
"q27",10.6812094975,11.9939035113,24.0738891456,27.8066415632,18.7446617118,3.34615384615385,1.26723877225017,93.3003054294,
"q28",1.3042142282,4.7353179152,50.2853614765,40.6046217536,0,4.34567901234568,0.63561965488727,96.9295153735,
"q29",2.488043707,9.5527150697,12.0217239969,50.2887504072,17.8114972361,3.77922077922078,0.968223775561488,92.1627304169,
"q3",8.1931657905,17.9743456663,18.022475132,35.2112672764,16.3444320295,3.35,1.22319357897496,95.7456858947,
"q30",11.7093391423,34.0614217563,17.8921714462,20.4229588161,8.076839256,2.77922077922078,1.19894006504184,92.1627304169,
"q31",2.2740183965,14.4222564308,21.609278653,42.0822214184,11.7749555182,3.50649350649351,0.995032089186028,92.1627304169,
"q32",10.5608247481,21.3873063814,27.034217552,23.9749483644,7.982697583,2.97368421052632,1.16588946543574,90.9399946289,
"q33",10.6458944129,20.4014578588,25.7126987036,21.3341952489,9.2669345429,2.98630136986301,1.19597880282372,87.3611807671,
"q34",4.7547139464,7.2576726472,19.5795491352,38.1310157161,17.5451699982,3.65753424657534,1.07003605964929,87.2681214431,
"q35",1.3042142282,5.8716701885,40.1268597363,45.9975612764,0,4.3974358974359,0.726845945372902,93.3003054294,
"q36",3.5441402793,16.8732134968,49.2229371924,22.5115000667,0,3.98701298701299,0.769372719433218,92.1517910352,
"q37",12.955227894,17.9576288011,16.8380448541,29.1224171132,14.0747713646,3.14473684210526,1.31355951387489,90.948090027,
"q38",3.6718731858,2.4138223132,12.0454777597,32.5477433167,35.4825872082,4.09722222222222,1.0231093483368,86.1615037836,
"q39",3.6718731858,10.7662791623,22.8998401484,44.5003277563,10.4058886043,3.51948051948052,0.98154536601044,92.2442088571,
"q4",10.4901945789,14.4765671664,47.1280813839,22.3855348465,0,3.86075949367089,0.916153850241629,94.4803779757,0.0283489101894279
"q40",11.7360833306,15.907146995,23.3083766213,27.216259872,16.4366528387,3.22784810126582,1.28051839551267,94.6045196576,0.117274177511299
"q41",15.4079565164,14.555546672,23.2778755005,22.7492025889,15.1051131851,3.09210526315789,1.33843322910481,91.0956944629,
"q42",7.1497410275,28.8404981207,58.6142805094,0,0,4.54430379746835,0.636445827340584,94.6045196576,
"q43",6.085695499,7.333407789,37.087627786,44.0977885836,0,4.26582278481013,0.857977059634354,94.6045196576,0.0152020736503189
