"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",468,1126,1543,4495,2480,3.73111155063291,1.08977373577751,10112,
"q10",932,1838,1777,4289,1192,3.29627044276027,1.17071665753371,10028,
"q11",803,1400,1678,4102,1861,3.48943518894758,1.184061463905,9844,
"q12",214,396,942,5060,3408,4.10299401197605,0.879716208109826,10020,
"q13",115,180,810,4170,4647,4.31566216488611,0.792016541846114,9922,
"q14",513,869,1327,4358,2890,3.82785979712765,1.09854681817356,9957,
"q15",631,912,1452,4317,2632,3.74487127916331,1.13300083033887,9944,
"q16",163,339,975,5210,3302,4.11612774051457,0.835084439638233,9989,
"q17",811,760,1812,3424,2627,3.66737333050668,1.20663812540773,9434,
"q18",820,1515,2302,3761,1564,3.37482433246336,1.16038438145202,9962,
"q19",688,1115,1352,3860,2852,3.71683389074693,1.19397916428822,9867,
"q2",333,1092,1291,5123,2220,3.7759220598469,1.01543703915245,10059,
"q20",241,728,1248,4695,3194,3.9769443894716,0.97050148703806,10106,
"q21",809,1517,2297,3763,1231,3.32130602058854,1.137726792424,9617,
"q22",1126,1260,2277,3014,1669,3.30387331478707,1.24954779561506,9346,
"q23",1278,1654,2384,2565,915,3.02103228740337,1.21517358753753,8796,
"q24",1096,1783,2596,2790,1027,3.0935213086526,1.18213889683537,9292,
"q25",1017,1327,2110,3259,1568,3.32690442840211,1.22536816970153,9281,
"q26",405,724,1344,4938,2616,3.86127455869153,1.01396753040565,10027,
"q27",494,862,2720,3607,1832,3.56973200210194,1.05972987783678,9515,
"q28",65,157,1037,3972,4861,4.32847800237812,0.77251463069283,10092,
"q29",267,759,1519,5312,1879,3.79878800328677,0.931270688284349,9736,0.0182454144865953
"q3",699,1341,1785,3768,2398,3.58302472225003,1.18806548594269,9991,
"q30",857,1743,2377,3480,1208,3.25235385411278,1.15390160879841,9665,
"q31",769,1500,2113,3853,1495,3.39105858170606,1.15242940986545,9730,0.0109336555205808
"q32",1006,1608,2678,3077,1193,3.19274210416231,1.17168491918301,9562,
"q33",1544,1841,2337,2414,1079,2.96125881714596,1.26451500510924,9215,
"q34",501,601,2155,3924,1902,3.67433667290543,1.04967397117716,9083,
"q35",212,411,1150,5130,2828,4.02260815949029,0.879422531080398,9731,
"q36",306,667,1457,5099,2234,3.84891938953191,0.95430080830682,9763,
"q37",842,908,1923,3400,2054,3.53862167196231,1.20467967015055,9127,
"q38",486,434,1496,3783,2648,3.86729964959873,1.06843652683397,8847,
"q39",177,352,1364,5270,2558,3.9957823269211,0.843934243740346,9721,0.0464621646563131
"q4",437,807,1403,4303,3113,3.87926065785551,1.07047906670308,10063,
"q40",417,773,1725,4091,2949,3.84198895027624,1.06407388217237,9955,0.203173226588048
"q41",1075,1373,2318,2746,1685,3.28193976296618,1.25257152604674,9197,
"q42",328,380,865,3741,4554,4.1971017430077,0.981620759706257,9868,
"q43",537,829,1572,3525,3400,3.85389840819223,1.14416454817657,9863,
"q44",642,874,1567,3509,3196,3.79107069881488,1.17923432854636,9788,
"q45",321,335,1771,3278,3144,3.97061814894338,1.01616460140248,8849,
"q46",604,935,1724,3570,3028,3.75884798701957,1.16379374183867,9861,
"q47",515,638,1529,3791,3262,3.88823831535696,1.1036485844584,9735,
"q48",362,545,949,3683,4398,4.12810707456979,1.03394090045579,9937,
"q49",317,392,784,3465,4952,4.24550958627649,0.982215206940368,9910,
"q5",199,385,1142,4429,3821,4.13151563753007,0.902319566370858,9976,
"q50",176,402,636,4298,4400,4.2453591606134,0.877485890129563,9912,
"q51",586,701,1375,3090,4168,3.96300403225806,1.17126182706986,9920,
"q52",363,536,1480,2917,4629,4.09954659949622,1.07280553926627,9925,
"q53",1363,1786,2312,2946,1227,3.09217355200332,1.24827920112426,9634,0.036340893459129
"q54",918,849,2204,3365,1718,3.4546056991385,1.19310044481505,9054,0.0172216859006196
"q55",447,517,1884,4129,1999,3.7482174688057,1.02367362266411,8976,
"q56",638,1004,1831,4441,1786,3.59103092783505,1.10078844404748,9700,
"q57",498,722,1990,4113,1779,3.65403208086135,1.05082086166629,9102,
"q58",858,1316,2089,3675,1493,3.38479482557523,1.17406489394081,9431,
"q59",709,1044,1986,3999,1664,3.51744309721336,1.13063534180871,9402,
"q6",297,658,1042,4659,3336,4.00870696557246,0.984426958281869,9992,
"q60",653,724,1862,3283,2536,3.69827776551115,1.16755639506003,9058,
"q61",880,1187,2276,3350,2020,3.45742818902502,1.20511021306537,9713,0.0699295835215048
"q62",518,685,2012,3568,2036,3.67116453112598,1.09102490930215,8819,
"q63",620,1708,2159,3702,1665,3.41445098437183,1.14233119106,9854,0.0307958403237712
"q64",734,1823,2194,3656,1424,3.32682331400671,1.15268348469109,9831,0.020341878736686
"q65",788,1585,2133,3672,1637,3.38563423331635,1.17273968307766,9815,
"q66",895,1653,2897,3150,1227,3.22001628996131,1.14232762897191,9822,0.140065716627867
"q67",1254,1763,2852,2631,1317,3.10125292859326,1.21863061402925,9817,0.0396553604037475
"q68",607,1269,2244,3988,1703,3.50056059525023,1.10778667932206,9811,
"q69",457,966,1624,4431,2337,3.73611818644931,1.07088038907893,9815,0.29863200153479
"q7",63,61,235,3265,6444,4.58581644815256,0.633087749227178,10068,
"q70",678,1396,1643,4291,1839,3.5298060322941,1.14865976224155,9847,0.0201159841657527
"q71",546,1209,1930,4239,1908,3.58523189585028,1.10004927120201,9832,
"q8",55,115,787,4333,4776,4.35704351281542,0.721178150654717,10066,
"q9",1202,2156,1539,3754,1416,3.20125161418496,1.25974304373036,10067,
