"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",270.3845235721,873.4782944555,1640.1848054132,5661.2077098793,3744.1363556504,3.97766385939216,0.984427744261304,12189.3916889705,
"q10",1174.0508948376,2044.0638098018,2452.2126027722,4663.8006066506,1763.7265500923,3.37615356220007,1.19230972552429,12097.8544641545,
"q11",512.1749936883,1254.3957196106,2311.1880469306,5038.9459334142,2822.3912831915,3.73522812266268,1.08841147901026,11939.0959768352,0.0223731129061557
"q12",138.7063985396,241.8935435538,831.963256406,5958.3875928042,4916.7993923998,4.28508124076809,0.765413535520005,12087.7501837034,
"q13",80.3621835059,143.1854626286,731.1911209115,4605.3881736584,6447.896769731,4.44804469273743,0.717048677393273,12008.0237104354,
"q14",209.475965542,407.1992635043,1390.5756934925,4674.7400630718,5251.612223083,4.21471247199403,0.901486824119908,11933.6032086936,
"q15",306.3942320366,601.3996989463,1470.8722240293,5363.0154652388,4326.5680426803,4.03485354097145,1.00124621293302,12068.2496629313,
"q16",44.2031891072,108.7109247331,528.2413530866,5581.3914045429,5789.7750898685,4.39970392301999,0.669403178771311,12052.3219613383,
"q17",520.852449409,604.3414600703,2416.0814502016,4143.92058427,3596.460309014,3.83897637795276,1.1189832037316,11281.6562529649,
"q18",364.6079458954,1041.4138040895,2463.0841662857,5385.4070630006,2702.6451095352,3.75121223424095,1.02706990857682,11957.1580888064,
"q19",242.8442545302,398.8705788206,753.3724003085,4492.243709274,6178.3798985703,4.20800889877642,0.992611243155888,12065.7108415036,
"q2",217.6159922841,890.9631480281,1219.7612117163,6183.6214423213,3608.6236536079,4.00699558173785,0.934871217324779,12120.5854479577,0.0340672346287304
"q20",185.8849164607,595.234374552,1732.9206392686,5491.1050408835,4173.8856481302,4.08464639061927,0.910481222815342,12179.030619295,
"q21",302.7301593877,655.4862436136,2673.3422318758,5249.1545655449,2362.691607339,3.79130775254503,0.961818487563327,11243.404807761,
"q22",437.7498267411,635.6470674793,1873.006934794,4357.708734636,4270.829084331,3.8635477582846,1.12068929984457,11574.9416479814,
"q23",492.890336159,826.4292385517,2464.2152524065,4137.1404689581,2258.1640903825,3.58202443280977,1.1026691569054,10178.8393864578,
"q24",426.7997233744,1184.091830509,2987.9194204983,4242.9875529246,2280.9718929956,3.55390185036203,1.07734623509914,11122.7704203019,
"q25",366.7553186175,742.3609782893,1564.8535159624,4931.8915781683,4156.2635498991,3.90049942374184,1.07039494150659,11762.1249409366,
"q26",185.2149393546,790.1683264664,1615.6123885767,5594.8095566316,3890.2999448021,4.03472478758774,0.93204744659679,12076.1051558314,
"q27",192.717383372,491.0115651712,3025.7482536206,4280.4129697309,3071.7534636526,3.87235739928201,0.949472564924543,11061.6436355473,
"q28",26.5433833286,92.2342448583,1001.2080912954,4899.7295476515,6126.0869659392,4.43056576047024,0.68837593058159,12145.802233073,
"q29",128.944477162,434.8966082732,1278.8142728846,6632.6298682752,3306.7762184694,4.07334593572779,0.80696919211985,11782.0614450644,
"q3",722.4168917356,1685.5204121953,3032.7734968609,4076.5754509736,2540.1714944004,3.57549962990378,1.16821062272694,12057.4577461658,
"q30",581.4954295756,1198.3275502534,2472.1153419782,4957.0340389667,2372.5342871445,3.62193251533742,1.09418827031493,11581.5066479184,
"q31",647.6901130353,1502.2763698917,2183.8274232145,4685.4469498931,2752.7496360338,3.64710336993563,1.14035818747883,11771.9904920684,
"q32",900.2514059941,1901.4129476147,3685.7386893045,3165.0697088552,1663.6009289502,3.29298864081473,1.15540919766803,11316.0736807187,
"q33",664.9831900865,1103.2324920453,2180.5360246531,4515.2764102698,3101.4204318671,3.60298742138365,1.16830223836644,11565.4485489218,
"q34",203.4057639442,362.0762504488,1940.3051071223,4662.0567216731,3714.0937938515,4.02817476521029,0.92687187855095,10881.9376370399,
"q35",106.6099759423,208.7803178633,1212.0510181253,5656.6962563712,4446.6844544177,4.22905457340507,0.770836031168464,11630.8220227198,
"q36",86.4073602001,179.5818122508,903.2169166067,6314.4004820944,4348.7249428891,4.23897474557105,0.739045186080908,11832.3315140411,
"q37",430.8997997957,560.2415770719,2125.7384361574,4512.5920587751,3425.7438440729,3.84863123993559,1.08574873735448,11055.215715873,
"q38",263.9712740658,305.1821432293,1635.4196863221,4638.3680330821,4014.5927081592,4.05831622176591,0.983370166494058,10857.5338448585,
"q39",110.8886084618,273.3868654256,1291.8739402928,5856.961148474,4155.155466642,4.19391634980989,0.778442589286045,11688.2660292962,0.0155314276603604
"q4",357.810372367,709.4366967619,1846.0512036851,5148.0661604291,4062.3353827142,4.03090507726269,0.99490863885706,12123.6998159573,0.0822546702657494
"q40",272.0461507215,431.3112522203,1260.1507038312,4708.903413509,5359.5013085871,4.22452760281586,0.923688795331148,12031.9128288691,0.234522454146917
"q41",585.9665494085,907.903342996,2146.8369745596,4011.3635087284,3590.6412297574,3.78046843985709,1.15509010050573,11242.7116054499,
"q42",262.0577475731,298.2947607807,1182.9494288598,3901.7813252934,6290.2869458562,4.33494964565461,0.895097597072179,11935.3702083632,
"q43",393.1630013511,791.5492615109,2239.7311622359,3956.3879267646,4494.9720466051,3.98763581865867,1.07349699364191,11875.8033984676,
"q44",407.9374502455,582.8547060939,1416.7390830303,4153.6726572451,5322.4635823566,4.09902475618905,1.05919674056419,11883.6674789714,0.0195017486429129
"q45",213.1643964893,176.3804925526,1853.9418324721,3603.3443921174,4851.684434673,4.18996267109083,0.926107522825611,10698.5155483044,
"q46",339.9460706339,578.2125416775,1399.0399861145,4249.5782038599,5367.4705228978,4.10736999625889,1.03606103065127,11934.2473251836,
"q47",276.9997498643,440.2214556698,1483.8405335115,4253.035241776,5269.0345720598,4.17040699885888,0.975276112117632,11723.1315528814,
"q48",238.9080451216,419.3008411564,958.2473807738,4025.449266732,6369.0320842992,4.31365998515219,0.925754238829951,12010.937618083,
"q49",169.548616681,318.4032213235,702.3847782214,3569.4691001592,7211.2650668079,4.43463687150838,0.85711251710078,11971.070783193,
"q5",171.1381732342,439.1274724925,1497.8177605551,5439.8816158453,4541.1144687731,4.19556377079482,0.859498521838164,12089.0794909002,0.14510443062081
