"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",5582.6528925848,12112.3171057067,13534.7440348778,36136.2220906243,18295.685065375,3.6271932706841,1.12973118436854,85661.6211891686,
"q10",7293.0953445327,12537.8571011301,13030.1263732989,40006.3371779236,11995.4115824501,3.41377253446448,1.14414246418361,84862.8275793354,0.0152393691528432
"q11",8305.6957046218,12203.9179648561,13939.9302542615,33111.4644098385,14730.8651578422,3.41426238432226,1.20850931614799,82291.8734914201,0.0251358879752546
"q12",2271.9188544349,3349.2523239654,8727.7989589429,43469.7950458079,26894.202293337,4.03019243530192,0.918370569044024,84712.9674764881,
"q13",1368.716823652,1960.7998651256,6380.0408383897,33869.0729773283,40286.309291825,4.26287244727151,0.860808464644608,83864.9397963206,
"q14",4767.3733870806,8844.7299740347,10839.419451025,37849.8353216347,22895.5347087065,3.77155884490848,1.11555693849868,85196.8928424815,
"q15",5250.7119673942,6297.7786206694,11523.9794581437,36457.2652044039,24433.1465426022,3.81990901792882,1.10501617774515,83962.8817932134,
"q16",1646.1667432006,2729.4330742575,9293.456254116,43073.9994855505,28003.2261108999,4.1045608444533,0.832799147292341,84746.2816680245,
"q17",8044.5861978546,7014.7855291703,15516.6965369294,30435.3318327167,20811.4216451763,3.64795883361921,1.22322221748032,81822.8217418473,
"q18",6970.6809383455,11692.1000379044,18723.4420446237,33366.575835481,13808.3950286879,3.43246839654025,1.14667125856272,84561.1938850425,
"q19",5212.1920954655,7570.07968891,10542.4409569361,33812.0174182249,26205.141821769,3.78840852551604,1.15684696123963,83341.8719813055,
"q2",3150.7903407719,9708.8967293219,13160.3826100679,42300.2412690159,16584.0513640278,3.69040841993778,1.01905063580522,84904.3623132054,
"q20",3405.4445437349,7608.5810544767,11961.6126607735,39426.6426713473,23102.3977050922,3.88235680936411,1.01748931925287,85504.6786354246,
"q21",9313.4667431015,15709.6147005161,21863.368524995,28322.0598129819,7506.4782528135,3.09383705918326,1.15270021757853,82714.988034408,
"q22",15619.4381797277,14660.824610438,23165.4356509707,19341.3487589456,7058.7601375176,2.90148751052484,1.23129292715278,79845.8073375996,
"q23",16108.6555061701,17496.0407221485,21847.5677072808,17758.7599876138,5048.5213086298,2.77170858254666,1.20573162719192,78259.545231843,
