"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",96,222,218,524,267,3.48530519969857,1.19244209012693,1327,
"q10",124,191,216,581,201,3.41431835491241,1.18637167670179,1313,
"q11",117,164,185,490,306,3.55784469096672,1.24458456982035,1262,
"q12",23,27,107,635,515,4.21805661820964,0.818457567656254,1307,
"q13",15,12,65,461,745,4.47072419106317,0.737469218029327,1298,
"q14",51,117,170,560,426,3.90105740181269,1.06835131975954,1324,
"q15",97,86,155,509,452,3.87220939183988,1.1785142375896,1299,
"q16",33,40,129,594,518,4.15981735159817,0.902918326913178,1314,
"q17",173,133,240,427,304,3.43539545810493,1.32077685808422,1277,
"q18",90,183,319,468,247,3.45830145371079,1.14909826462607,1307,
"q19",63,93,147,504,484,3.9705654531371,1.10280877734752,1291,
"q2",42,132,203,613,317,3.78882938026014,1.02335548012768,1307,
"q20",90,173,234,545,278,3.56666666666667,1.15714916390057,1320,
"q21",149,267,369,395,116,3.04783950617284,1.15214553946366,1296,0.00687486211622071
"q22",249,240,353,307,109,2.83068362480127,1.24325886726952,1258,
"q23",267,284,311,299,107,2.75946372239748,1.25816557413663,1268,
"q24",222,271,301,361,117,2.90566037735849,1.24708290472971,1272,
"q25",239,202,297,373,147,2.98966613672496,1.29832695101819,1258,
"q26",122,141,221,597,232,3.51485148514851,1.1732408978119,1313,
"q27",114,151,318,480,222,3.42412451361868,1.16539276469814,1285,
"q28",25,61,218,543,472,4.04321455648218,0.936746366901561,1319,
"q29",41,149,261,620,204,3.62509803921569,0.990851742900534,1275,
"q3",116,198,234,434,305,3.47707847707848,1.2542536692296,1287,
"q30",125,255,353,413,124,3.12283464566929,1.13849395053047,1270,
"q31",157,240,312,402,154,3.12332015810277,1.21526487428236,1265,
"q32",201,266,325,337,127,2.93869426751592,1.23374836444548,1256,
"q33",287,334,356,161,70,2.49751655629139,1.15780287512789,1208,
"q34",110,97,354,467,202,3.45040650406504,1.12753639462079,1230,
"q35",49,65,133,663,355,3.95652173913043,0.968902834270014,1265,
"q36",37,53,145,687,347,3.98817966903073,0.904258543468021,1269,
"q37",218,159,274,383,201,3.15384615384615,1.33181041731074,1235,
"q38",131,82,256,453,275,3.55054302422723,1.22549292077028,1197,
"q39",41,62,242,625,290,3.84206349206349,0.942159921483307,1260,
"q4",64,132,190,500,426,3.83231707317073,1.13306512601199,1312,
"q40",75,127,294,513,278,3.61538461538462,1.10301981380856,1287,0.233190364150226
"q41",137,175,327,313,225,3.26677994902294,1.25500057457463,1177,
"q42",101,86,168,446,478,3.87099296325254,1.21213021366519,1279,
"q43",126,127,210,416,399,3.65336463223787,1.28159079521938,1278,
"q44",121,131,237,411,362,3.60380348652932,1.26375124261991,1262,
"q45",106,78,265,421,362,3.69399350649351,1.20168969582806,1232,
"q46",126,132,228,442,346,3.58869701726845,1.2598324172676,1274,
"q47",136,135,252,416,320,3.51548848292295,1.27356889183273,1259,
"q48",80,119,168,487,431,3.83268482490272,1.17045243713559,1285,
"q49",77,89,152,477,482,3.938136256852,1.14679352771657,1277,
"q5",25,44,116,518,573,4.23040752351097,0.895417610134752,1276,
"q50",84,133,164,512,385,3.76760563380282,1.17663858762509,1278,
"q51",121,134,239,375,412,3.64246682279469,1.28459922155948,1281,
"q52",75,118,254,356,476,3.81313526192338,1.19739523233132,1279,
"q53",197,241,299,360,150,3.02004811547715,1.26329170688636,1247,
"q54",174,153,322,379,192,3.21475409836066,1.26144780103704,1220,
"q55",97,100,274,506,225,3.55074875207987,1.1284690527879,1202,0.0346080391001018
"q56",127,144,276,508,192,3.39615076182839,1.17910565573959,1247,
"q57",100,116,296,482,193,3.46503791069924,1.12958791800262,1187,
"q58",162,187,304,400,167,3.1827868852459,1.23599240070239,1220,
"q59",149,160,298,427,177,3.26672171758877,1.22131513089013,1211,0.118700199366734
"q6",27,72,131,549,524,4.12893323100537,0.945658369638262,1303,
"q60",113,130,262,432,281,3.52380952380952,1.21744695750499,1218,0.0311128554949506
"q61",117,135,289,437,261,3.47619047619048,1.20682215947264,1239,
"q62",113,117,344,383,202,3.38308886971527,1.17174144563185,1159,
"q63",82,226,288,454,199,3.36989591673339,1.14393190247118,1249,
"q64",117,222,298,440,168,3.2570281124498,1.17577059769548,1245,
"q65",148,230,303,377,183,3.17485898468977,1.23557992141157,1241,
"q66",123,223,374,376,147,3.16170555108608,1.1513826961128,1243,0.171017840544322
"q67",182,235,321,347,150,3.03886639676113,1.24350318559033,1235,0.0291530052003541
"q68",88,166,300,462,222,3.45557350565428,1.14122306811475,1238,
"q69",53,112,201,568,302,3.77184466019417,1.050798884125,1236,0.16229897816267
"q7",10,19,39,351,903,4.60211800302572,0.689882583121738,1322,
"q70",66,158,212,537,268,3.63094278807413,1.11332537230918,1241,
"q71",92,164,282,496,208,3.45410628019324,1.13684326853828,1242,
"q8",7,13,85,469,751,4.46716981132075,0.707011650121974,1325,
"q9",159,269,245,450,199,3.19742813918306,1.26067621079251,1322,
