"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",5067.7705312017,14358.3024699447,17280.81078076,47609.7538148503,23516.7740714513,3.66745984533016,1.1209472612502,107833.411668208,
"q10",6944.9615241124,14338.9171448402,16553.8154244458,54887.2825190181,14237.4035890728,3.51815230961298,1.10675773615951,106962.380201489,0.00484084118021079
"q11",8301.2496306094,14798.4652713947,16860.9228801439,45350.4343480647,18828.1915964149,3.54580916696607,1.18994403490452,104139.263726628,0.0655535842481139
"q12",1981.5626990112,4076.8338808625,10103.1900118652,56856.4187914544,33697.8339917281,4.14086478380405,0.862150503835471,106715.839374921,0.0140746317462183
"q13",1397.5876522897,2008.4916254098,7670.2941983359,43036.1943936166,51795.9661248225,4.38612063748235,0.783197880892978,105908.533994475,0.00231192205657202
"q14",5530.3666966879,10504.6007449737,13748.0262255835,49089.6211585719,28244.8746685141,3.88694481830417,1.06740875864011,107117.489494331,
"q15",6736.9061231066,8151.6120214999,12942.6292217459,46059.4612822592,32188.9460444433,3.92387038341552,1.11145632971026,106079.554693055,
"q16",2338.9795039106,4200.7370322426,12405.1601987226,55315.1307318171,32303.5262301825,4.108284082941,0.860168179429848,106563.533696875,
"q17",9071.2299625647,9636.9978971628,18712.14134916,39405.3997925675,26692.7139214993,3.65579878900792,1.23410539834941,103518.482922954,
"q18",8088.0876299415,15981.6908731827,24917.3213880253,41672.5721557712,15506.97093903,3.38452243089472,1.15827949541088,106166.642985951,
"q19",6215.5841291009,9404.24974056,12481.2300173231,44237.5454034149,33159.0986320256,3.91762617296475,1.12386529081058,105497.707922424,
"q2",2263.9324157952,8773.0848911625,14774.8179254924,58225.2726635089,23151.2514602838,3.88638403990025,0.940209209919004,107188.359356243,
"q20",3252.1025661692,9239.1095757985,15386.8927648409,51241.5031152186,28646.7200542359,3.93366081174953,0.993311240762238,107766.328076263,
"q21",8373.2449142165,18322.2804216264,27802.4319104937,39081.6678452652,10873.2550575847,3.27996302762658,1.12623467281554,104452.880149187,
"q22",17491.3509662796,20289.949996363,28231.2816951449,26824.6743606925,9030.004376333,3.012248561322,1.24706960278094,101867.261394813,
"q23",20123.8141730392,24253.4438269166,27167.7924270971,22441.4857061132,6075.6036936772,2.77888499865338,1.21359556935647,100062.139826843,
"q24",14491.2855488045,22444.1141949413,28970.038644526,28959.8077132337,7760.495281516,3.00115213406651,1.19028518132244,102625.741383021,
"q25",16381.0545298477,17830.7741609888,24272.2690576007,32412.4172590728,10686.9803529825,3.15372761570753,1.26241872266697,101583.495360492,
"q26",4755.6876166401,7530.7609885113,14715.1403896628,55349.4010396125,24674.784772886,3.8712965276043,1.01940941523331,107025.774807313,
"q27",5952.2241046655,10156.3030712041,30442.451454579,39280.8697492011,17964.4774483406,3.546390690969,1.07140902803835,103796.32582799,
"q28",712.6117605151,2285.4552218156,13787.5986772522,43093.6753024575,47494.9964634346,4.33091270828152,0.782361185554287,107374.337425475,0.0272526743452898
"q29",2357.1098918541,6488.1033435963,16226.8794683095,59745.608253965,18385.3725196292,3.88037662070385,0.878958959356117,103203.073477354,
"q3",6913.1632239397,16238.3960345495,20587.6049142468,39377.1650533716,22835.1060772845,3.56543421317751,1.1975324519429,105951.435303392,
"q30",7202.2587158675,17494.351645312,26852.101892627,38940.784736338,11370.6089762302,3.32225463638258,1.12557548753377,101860.105966375,0.00404817839513715
"q31",8035.0551346898,17922.1494478389,24758.214677097,38284.3955576519,13150.3976002032,3.37074971404804,1.15769516155865,102150.212417481,
"q32",9967.1122854781,19866.1453771482,29939.2553121889,30351.4558700009,10671.6453499868,3.17381216052312,1.17135220165612,100795.614194803,
"q33",21195.4117612786,26619.0592975431,27687.0727340702,16825.1410657115,5543.1282005771,2.6609006040637,1.18197282680652,97869.8130591805,
"q34",5018.8701306928,5672.9936642097,24981.2641091613,43568.4099001988,18575.8162799662,3.65675705107263,1.03896837905406,97817.3540842288,
"q35",3563.6999201605,6675.2531878358,15234.6173513727,55970.0913018855,21190.9594111961,3.93284663974319,0.903570590565095,102634.621172451,
"q36",3136.7974629483,5618.7200215935,13379.28505463,57671.8263547389,23382.7691272529,3.9414247477867,0.893037456462633,103189.398021164,
"q37",12753.1489284379,13103.073712295,23675.6618801265,32908.5434304534,16385.943950703,3.37837548221174,1.26535814719383,98826.3719020158,
"q38",6449.6429493644,5203.7335834153,18192.7465191289,41468.2185021842,24281.6213496199,3.81078838174274,1.10979862897613,95595.9629037127,
"q39",1798.882641655,3441.1415733004,13034.4286248018,56019.4273698288,28397.8883909422,4.06858441357228,0.847501291531529,102691.768600528,0.00155566963632474
"q4",4371.8744456625,9255.0476801899,14116.8286094239,45936.0799661148,33477.9573898456,3.95303853631786,1.06718571371279,107157.788091237,0.11594059558973
"q40",3360.5179423086,7576.8901095922,17865.9997918192,44621.5565487792,30381.5472989722,3.88583962456641,1.04659854724387,103806.511691471,0.262001041940748
"q41",12138.4840319996,16195.2570773954,28760.2767153787,23928.9019824074,12724.1700757557,3.19456552504953,1.22682959833906,93747.0898829368,
"q42",4510.9480833403,5355.0398031833,10645.5537112581,41161.5108456006,41433.840908316,4.1354957914186,1.02522441714494,103106.893351698,
"q43",5789.2861246375,9600.427882975,16436.1963935415,38755.8833341573,32216.9894611461,3.84045671964203,1.15640153806871,102798.783196457,
"q44",7348.3101294521,9593.7835245319,18032.6331837259,36538.6621162479,29708.2124671592,3.76531357612439,1.18997421666919,101221.601421117,
"q45",4047.1644033373,4212.5349775763,20381.9445081674,36950.0843874799,29989.5318842658,3.93826067714096,1.03976534526089,95581.2601608267,
"q46",6664.3774656448,10157.6095692005,19341.927557665,38003.1179773017,28273.055822404,3.7339733663673,1.16883467920714,102440.088392216,
"q47",6338.4887097702,8086.1613328561,18688.4341095624,39791.6195965876,29010.437718129,3.7916991325126,1.15353130371173,101915.141466905,
"q48",3489.2273860069,7140.9192256102,12348.6901510015,40807.9474835,39305.7090938142,4.06903272130475,1.04421122453974,103092.493339933,
"q49",2987.2949603612,4423.466627965,9518.3548817388,40688.679586935,45146.6707780714,4.20438181444147,0.98195901919257,102764.466835071,
"q5",1997.7984526121,3948.5163221886,10220.9512844517,45270.8483039288,44161.7065819372,4.24328833611406,0.883704240501829,105599.820945118,0.13798191500856
"q50",4102.4359938202,9123.2981030943,11062.0478199881,42370.4256494817,36184.4038632575,4.01450542667558,1.04875758039309,102842.611429642,
"q51",6860.7763894202,8108.347208952,15915.0196906298,33985.3749788088,37918.1607316413,3.89354257782351,1.200081032081,102787.678999452,
"q52",4422.8725440627,6371.3062390904,17137.7984365775,31254.5231681654,43729.8565342893,4.04930662557781,1.10329112390883,102916.356922185,0.0273340529666746
"q53",11807.9098571031,18356.7670280692,24013.1488511397,32952.9124560007,12942.3636425709,3.18096091033611,1.25104454061406,100073.101834884,
"q54",9138.455372714,10224.3558798156,21640.170338431,37364.8603351556,19198.3984115777,3.51752254441385,1.2197758451213,97566.2403376939,
"q55",5322.2988552049,6152.5927404627,20440.9549912335,44755.9242640158,18847.6881486204,3.73282906360424,1.05395704669838,95519.4589995373,
"q56",5982.8617850615,9604.6676462579,20635.9725649611,47047.4920797862,16327.9489626093,3.59666754826765,1.10009016614696,99598.943038676,
"q57",4858.7962548006,6936.3679885643,22452.4922093581,43864.7081786997,15912.739951163,3.6410921809771,1.05039796220562,94025.1045825857,
"q58",7870.4086972923,13188.8861574439,22178.1918563592,39540.3490768362,14520.3093864324,3.41588228930001,1.17784748313515,97298.145174364,
"q59",7292.3813108079,10784.1576035251,22200.1996280487,41373.7322495728,15933.337493896,3.51331352957062,1.14700666778188,97583.8082858505,
"q6",1910.0349733154,5214.9466458575,9569.5555552391,52686.2903105628,37585.9249048206,4.12141357592722,0.915911893991038,106966.752389795,0.0226126477496646
"q60",7224.7006752501,8770.6743163959,20803.0695295799,34418.9300669432,24934.3434000784,3.70073272090989,1.18960679819456,96151.7179882475,0.00704724497429219
"q61",7956.9462816921,11579.0346585843,21863.8868988028,35551.3996428602,23642.8286311964,3.56171932402645,1.22400366081272,100594.096113136,
"q62",6736.0904313671,9354.0226403815,23481.4632947094,33637.7776817577,18408.9150494548,3.5608807549328,1.15802538341269,91618.2690976705,
"q63",5050.7136059353,17351.7893885216,23109.191722521,39671.0996826454,15568.7099361252,3.49290761580738,1.12198994722973,100751.504335748,0.0982615976807829
"q64",6191.4864090941,18155.1728072941,23424.5555473458,39491.0714070232,13086.3545292926,3.37391715230745,1.14222651216206,100348.64070005,
"q65",8697.0226650947,16400.3006798495,22302.0896599831,35985.2566341343,16680.9456688327,3.45882043180621,1.19527607715098,100065.615307894,0.0311482112818806
"q66",6999.2198406673,16370.536754484,27656.2176388878,36446.4900087122,12648.0570150744,3.33798441449031,1.14241719950809,100120.521257826,0.0206116785559304
"q67",12789.0010401289,18134.7516818291,26541.1170866168,30086.8073890549,12652.7404494093,3.1204882668631,1.23058629919761,100204.417647039,0.0749018354120765
"q68",7035.4806645044,14905.6171806246,22488.2495226601,40267.647059073,15487.3086601423,3.45891203703704,1.13162543245244,100184.303087004,0.0486025914287666
"q69",3774.1637488146,8589.9261644598,14724.3146454526,46747.7977322307,26333.2021618157,3.85486586007365,1.0576664229774,100169.404452773,
