"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",1061.9863571202,3855.9603557288,5195.4496244495,16787.1493776077,6630.549946025,3.71369636963696,1.01521753573967,33531.0956609312,
"q10",1675.6139194883,4654.4964534008,5665.7828757781,18019.0365099293,3205.5567704757,3.50375,1.01837356741088,33220.4865290722,
"q11",2353.7365715516,4923.825644601,5904.83044308,14970.6906832415,4424.3024157693,3.44166313109885,1.12715153261346,32577.3857582434,0.0942429369427133
"q12",429.4595471968,1074.7125573515,2847.2206121102,19293.0847255575,9543.8755205083,4.11973299958281,0.771096348128246,33188.3529627243,0.0369327260107058
"q13",478.5882256592,873.747686662,2568.2803614485,14517.5331484005,14585.7352000644,4.28098827470687,0.814730549517192,33023.8846222346,
"q14",1920.5430242286,3875.5144020193,4585.9966558375,15843.3587157545,7084.5601046674,3.66555878687162,1.10349230698915,33309.9729025073,
"q15",930.3876379698,1972.787853435,4227.1776094439,17459.6131463032,8380.8813593468,3.91099916036944,0.945630731781533,32970.8476064987,
"q16",368.4621910706,1126.1642945707,3431.4392921119,19466.3523616587,8739.0136322861,4.08141962421712,0.764479601768086,33131.431771698,
"q17",2106.1683950069,2801.759758124,5517.0478380652,13793.0961046724,7857.8876264191,3.69124622682191,1.12714799222556,32075.9597222876,
"q18",1923.3761662158,5123.0849365346,8330.1316301904,13797.5772361044,3815.1948827073,3.37793624161074,1.05780861343429,32989.3648517525,
"q19",1139.5316253911,2959.2981591235,4091.1983563119,15607.7908989317,8856.7975782137,3.85405176071277,1.03909034546874,32654.6166179719,
"q2",383.7901096709,2561.6583923052,5077.6375699163,19610.8948963104,5727.3171220914,3.83616756532559,0.846835992661051,33361.2980902942,
"q20",477.2048732403,2107.8214830564,4062.961963458,17673.3586495674,9176.5019825951,3.97853014037985,0.883293835431201,33497.8489519172,
"q21",2474.7637936456,5812.873184073,8663.6768729859,12824.2659541246,2695.5179070794,3.24081981212639,1.07397818596971,32471.0977119085,
"q22",4886.0147936847,7347.2239051405,9188.8643728129,8354.8813615518,1863.2233257411,2.87746170678337,1.15855329760374,31640.207758931,
"q23",5142.8575981954,7356.0688489798,9108.5182717031,7813.7285906311,1522.4268956636,2.80627802690583,1.14618216748876,30943.600205173,
"q24",3559.9151304494,7517.9532186761,9586.6157061371,9381.2690586112,1707.9015794157,2.96809440559441,1.09669593448641,31753.6546932895,
"q25",3816.392737946,5673.0816524316,8264.6250055308,11297.3480530123,2413.3347878039,3.11552028218695,1.15261037161512,31464.7822367246,
"q26",1099.6771850755,1908.31443258,4190.839396167,18859.3350110212,7250.4366709551,3.8761429758936,0.930224886590632,33308.6026957988,
"q27",1070.271098185,3108.7118993466,9260.0800733231,13436.3085922785,4930.7205845756,3.57485814054998,0.980132739628,31806.0922477088,
"q28",109.5839939795,409.6150700001,3147.6805307643,13726.5640498908,16034.0872615577,4.36630794701987,0.726549879560663,33427.5309061924,0.00864199882986617
"q29",745.0772823329,1967.0738582162,5195.7885853797,19303.9950467755,4633.3880730863,3.78894691035683,0.849245933419851,31845.3228457906,
