"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",216,566,679,1617,956,3.62741695587506,1.14452823291674,4034,
"q10",234,433,548,2038,752,3.65942571785268,1.08036890589046,4005,0.00458106028955687
"q11",296,496,566,1570,946,3.61280330407847,1.20022428364033,3874,0.0605336182257014
"q12",91,139,317,1827,1632,4.19071392910634,0.890832005746656,4006,0.0347678584611876
"q13",46,71,262,1353,2235,4.42677085959163,0.78956841954038,3967,0.00138496085131518
"q14",160,330,469,1704,1352,3.9359900373599,1.06637578241339,4015,
"q15",175,222,395,1487,1712,4.08719619143072,1.06665754915223,3991,
"q16",57,127,378,1811,1625,4.2056028014007,0.845153440249361,3998,
"q17",371,335,661,1302,1236,3.69065300896287,1.26043887454405,3905,0.000355448470046263
"q18",348,623,945,1345,705,3.36207766011094,1.19478231779082,3966,
"q19",134,199,337,1446,1823,4.17415587712617,1.01318492603031,3939,
"q2",89,297,514,2051,1062,3.92200348866185,0.939414325610539,4013,
"q20",92,261,453,1861,1355,4.02585778219791,0.956308754474703,4022,
"q21",300,675,1029,1428,447,3.26991492652746,1.11351571336961,3879,
"q22",551,612,1026,1154,496,3.11252930450638,1.24042842332213,3839,
"q23",621,761,1015,1035,344,2.92584745762712,1.22179298147122,3776,
"q24",437,648,1044,1225,486,3.17578125,1.19108738237316,3840,
"q25",435,453,805,1341,773,3.41082216968742,1.25384056629545,3807,
"q26",156,260,439,1936,1218,3.9478672985782,1.01019062367377,4009,
"q27",193,326,1073,1430,874,3.6329568788501,1.07044894025754,3896,
"q28",21,54,400,1430,2110,4.38331257783313,0.761080241963506,4015,0.0336405559217153
"q29",72,214,494,2161,968,3.95651061652597,0.870094349642491,3909,
"q3",293,549,716,1366,1050,3.58656265727227,1.22065065873971,3974,
"q30",275,565,909,1470,650,3.42775911088136,1.14002334374076,3869,
"q31",261,513,819,1501,765,3.51723244363825,1.14812760801068,3859,
"q32",345,623,1046,1166,632,3.29302203567681,1.18701254809427,3812,
"q33",617,876,1181,715,306,2.78809201623816,1.17696213260677,3695,
"q34",198,202,976,1508,798,3.68060836501901,1.04091722833577,3682,
"q35",97,174,514,2037,1065,3.97736043220993,0.899763753237687,3887,
"q36",100,183,522,2034,1065,3.96849385245902,0.90761076486578,3904,
"q37",452,408,791,1337,789,3.42441090812814,1.26355671021263,3777,
"q38",238,173,561,1562,1137,3.86815581585399,1.10339918380479,3671,
"q39",92,171,495,1853,1292,4.04586215731489,0.918346333455049,3903,
"q4",171,302,471,1503,1567,3.99476831091181,1.09194661250788,4014,0.15930320124134
"q40",138,287,629,1493,1382,3.94018834308984,1.05680611761122,3929,0.19607798273836
"q41",400,539,993,941,724,3.29190992493745,1.25563187107775,3597,
"q42",123,143,347,1393,1896,4.22911327524347,0.976154130201446,3902,
"q43",192,293,536,1315,1559,3.96431322207959,1.13201979129164,3895,
"q44",213,291,579,1319,1448,3.90857142857143,1.14836256995111,3850,
"q45",134,124,708,1232,1480,4.0331702011963,1.02802096133374,3678,
"q46",192,340,628,1343,1375,3.86874677668902,1.1383746552189,3878,
"q47",229,284,669,1308,1370,3.85647668393782,1.15595151874233,3860,
"q48",111,244,386,1394,1775,4.14526854219949,1.0183136894031,3910,
"q49",98,158,337,1326,1984,4.26569305662311,0.955101265060519,3903,0.0299983189134446
"q5",68,134,320,1370,2067,4.3220510229856,0.888473284110109,3959,0.152574579404523
"q50",80,190,339,1630,1648,4.17725752508361,0.927765449945489,3887,
"q51",219,303,520,1158,1687,3.97530228968356,1.17746347355306,3887,0.00178425093235979
"q52",156,191,565,1090,1902,4.12474385245902,1.08258164786886,3904,
"q53",568,676,862,1114,591,3.12700078719496,1.29247078879733,3811,
"q54",419,355,788,1330,824,3.48035522066738,1.24944843078325,3716,
"q55",224,203,702,1623,910,3.76242490442381,1.075326020051,3662,
"q56",286,353,688,1628,823,3.6217575436739,1.14554905597154,3778,
"q57",229,248,795,1536,792,3.67055555555556,1.0865924785646,3600,
"q58",351,430,827,1385,730,3.46011281224819,1.19900849605889,3723,
"q59",330,371,742,1497,774,3.54227248249865,1.1824945467741,3714,
"q6",86,179,375,1675,1693,4.1751497005988,0.925883913219461,4008,
"q60",262,313,706,1195,1202,3.75095160413268,1.19943233665385,3678,
"q61",369,435,822,1262,925,3.5085234723315,1.24270937746471,3813,
"q62",285,354,903,1142,785,3.51542231190545,1.18312150738784,3469,
"q63",159,524,800,1477,864,3.61793933054393,1.10082951648248,3824,0.120916178212365
"q64",232,683,867,1384,644,3.4002624671916,1.14119958919176,3810,
"q65",221,444,757,1416,962,3.64578947368421,1.14805907963114,3800,0.0259734117616497
"q66",298,637,1004,1219,638,3.33245521601686,1.16836219921752,3796,0.0358550851363889
"q67",423,595,1024,1131,629,3.2493424513414,1.22432842773298,3802,0.062043539816675
"q68",265,531,898,1434,678,3.45428271150814,1.14075673892324,3806,0.0155700126475544
"q69",153,289,525,1608,1223,3.91074249605055,1.05806429591769,3798,
"q7",22,13,71,933,2982,4.70106938572494,0.574474755049688,4021,
"q70",145,302,452,1684,1217,3.92789473684211,1.04671651686312,3800,
"q71",187,384,603,1615,1015,3.75893796004206,1.10170977361777,3804,
"q8",19,30,230,1392,2343,4.49725959143,0.68289956835536,4014,
"q9",392,798,626,1582,628,3.31197218082464,1.22785101781886,4026,
