"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",1067.1143423818,2224.7003282681,2628.2850888001,6188.4064463193,2790.5064430218,3.50865418580007,1.16052989149576,14899.0126487911,
"q10",1604.4541689684,2374.1164298499,2543.4375476552,6654.0042534328,1621.4861849704,3.28910626945309,1.1807899844476,14797.4985848767,0.0172271204660896
"q11",1537.1748934595,2052.6316922389,2569.2815369107,5855.9612518136,2353.2110701965,3.38779996336325,1.21929372859256,14368.2604446192,0.0420517526128722
"q12",321.0237519325,460.9158857929,1312.1809687625,7731.532257725,4965.1078776335,4.1252446183953,0.854177819375564,14790.7607418464,
"q13",157.6920753542,235.4442919429,991.4540553643,5667.4285720959,7573.5815148796,4.39024829075207,0.772043162393766,14625.6005096369,
"q14",924.7932347726,1396.6418188936,2052.0568078711,6489.6513785306,3912.4057745483,3.7506678539626,1.13430898339469,14775.5490146162,
"q15",1340.4581161144,1448.8294189275,2216.743868755,5980.2964544513,3663.9211565809,3.63154585466631,1.21534243365044,14650.2490148291,
"q16",233.6706118362,388.5387133378,1476.5965197153,7795.2058045799,4850.0414798902,4.13314295912904,0.811527320089763,14744.0531293594,
"q17",1413.9452790269,1247.2459149634,2765.2067786171,5040.6104070939,3548.6449090655,3.58928906396548,1.23697592809425,14015.6532887668,
"q18",1534.631467687,2481.5242087436,3542.3930199435,5213.3329331796,1875.9544376989,3.23906600808262,1.18359567185413,14647.8360672526,
"q19",1265.6348007932,1620.9960417903,2029.3253203527,5832.788519313,3826.3086212968,3.64021307331166,1.22536212354886,14575.053303546,
"q2",628.5903820343,1780.5400880237,2277.1539578792,7495.2786384977,2634.5821208846,3.66124877875477,1.03680719685701,14816.1451873195,
"q20",522.6226297475,1145.7119945,1901.1142617403,6997.7035692335,4332.7933483704,3.9095646030204,1.01522564408934,14899.9458035917,
"q21",1481.2904220211,2487.4903447402,3850.5184747326,4939.050668338,1390.9934167228,3.16347761471299,1.14731372673825,14149.3433265547,
"q22",2422.5424824014,2200.0071912781,3738.8812844041,3853.8418273258,1635.3895321262,3.02599867160072,1.2704533274539,13850.6623175356,
"q23",2426.361191841,2451.8067535868,4011.5717173541,3319.1865238926,999.640769108,2.86212723658052,1.20779563789842,13208.5669557825,
"q24",2157.9889058614,2716.74755858,4068.1112005862,3805.1245535969,1171.4601606468,2.94903256252949,1.1942881170192,13919.4323792713,
"q25",2022.9260809902,2068.6550963943,3682.9115435262,4436.2016181308,1547.2654813345,3.11859709480122,1.22596635411395,13757.959820376,
"q26",740.4252652409,931.3600647348,1828.4617753315,7188.0488509335,4089.4074154835,3.8872963589424,1.03943423987918,14777.7033717242,
"q27",878.9504685181,1268.4366028453,4053.0125180941,5405.9545652498,2532.7911092563,3.53766040543054,1.07667748329375,14139.1452639636,
"q28",105.5555145038,307.1626431717,1775.9151819795,6224.1745597885,6480.2928118012,4.26126524120869,0.794989538502899,14893.1007112447,
"q29",473.8972430631,1235.8174734995,2447.1159150085,8062.6940931765,2300.8647227843,3.72616136919315,0.93919039985311,14520.3894475319,
"q3",1342.5064176552,2391.1140861022,2872.2890928251,5068.7216328051,2973.6674226866,3.41593317765403,1.23414451297574,14648.2986520742,
"q30",1515.6458204292,2671.3347951373,3677.1512955323,5009.6274200274,1492.590075801,3.16903084103597,1.16113460660176,14366.3494069272,
"q31",1504.2691954927,2427.3728553189,3256.7387278843,5384.2105887339,1823.6397451248,3.26374429223744,1.18467034614155,14396.2311125546,
"q32",1901.9059442731,2755.6540132084,4206.4362264816,3817.2273347304,1513.2410995034,3.03267610848838,1.19608172452109,14194.4646181969,
"q33",2774.154432221,3235.7662620826,4027.1625325461,2731.3729878476,829.5950965178,2.67748792270531,1.18120751845773,13598.0513112151,
"q34",1321.8510093328,1186.2293245746,3668.7331403931,5163.4593901145,2232.4414550305,3.442153161003,1.15138444743191,13572.7143194455,
"q35",461.5795266244,691.7350896696,1922.1335548006,7552.5905306758,3911.1797360636,3.95450022614202,0.933859080449313,14539.218437834,
"q36",535.1147257425,850.1896212746,2211.5513228698,7794.1681832519,3088.8986961115,3.83390846349437,0.952186256340295,14479.9225492503,
"q37",1893.2317164475,1478.7039980626,3118.5826547379,4588.2852101016,2677.0366391641,3.35753869673228,1.28604142664945,13755.8402185137,
"q38",1196.9586529009,772.9444765555,2481.5734358174,5265.3895141379,3521.1481522968,3.70861846672617,1.18267602510796,13238.0142317085,
"q39",339.502674822,589.6284370874,2194.8631087412,7679.900045473,3622.7734934092,3.95461587533036,0.878999048871976,14426.6677595328,
"q4",794.9437160416,1138.0039409417,2115.9927219307,6148.9667828684,4608.2419431971,3.8644926248445,1.10404084201206,14806.1491049795,0.104522532192605
"q40",938.3854484471,1346.3760910854,2869.7402955124,6070.0842608632,3529.1047263745,3.68042799821667,1.12245804792102,14753.6908222826,0.287571587654401
"q41",1424.4683603751,1721.3269657128,3517.1052638706,4400.6085339676,2441.4258090943,3.3538850530001,1.21382541372559,13504.9349330204,
"q42",670.7892646596,673.1522554666,1244.3878446085,5656.7257599762,6447.907348548,4.13043867502238,1.04697402595332,14692.9624732589,0.0115455333127124
"q43",1090.9110259251,1341.8329090202,2540.8149659287,5157.7297538367,4493.1362409016,3.74017447612195,1.19956684263875,14624.4248956123,
"q44",1234.2493164187,1294.6885509657,2411.3663131051,5227.3553672173,4317.467861257,3.70274196477211,1.22256609824746,14485.1274089638,0.01649784795287
"q45",759.2249804152,528.7952796366,2826.3592303735,4797.1380841527,4446.350462636,3.88256122750074,1.09088194675791,13357.868037214,
"q46",1104.506187888,1290.5191834043,2576.8746681447,5475.5740044552,4163.3174752963,3.70870465388424,1.18611005533845,14610.7915191885,
"q47",1150.7298647803,1214.7975240897,2606.7365838869,5308.4958024902,4155.7319026523,3.71198324531051,1.19366032473699,14436.4916778994,
"q48",670.9295955514,931.5101972882,1692.5858844547,5658.4560556882,5771.5207466858,4.01929432782492,1.0805437567184,14725.0024796683,
"q49",600.1399742413,659.2462797497,1432.9208021442,5401.7192286498,6601.8920415767,4.14373937169963,1.03653085816551,14695.9183263617,
"q5",336.8127679715,566.1905517328,1691.3661910612,6274.6991592878,5821.9813249385,4.14269079183089,0.921621283140783,14691.0499949918,0.150748863934197
"q50",384.6620250664,825.1184974233,1057.3394727908,6725.6146211115,5701.2601566296,4.12844611528822,0.950981938828454,14693.9947730216,
"q51",1167.4005990786,1172.4898895364,2269.6895578089,4527.0270488207,5550.2658699028,3.83263186173547,1.23751833699087,14686.8729651474,0.00183608682856999
