"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",76.952364234,262.924417086,363.5106694089,1051.5166003892,531.7472811319,3.7492660011744,1.03803591272717,2286.65133225,
"q10",122.5996762605,277.7874530455,350.2849646718,1159.2907337834,371.3046367604,3.58917010005886,1.06977996313154,2281.2674645216,
"q11",169.0173113027,295.7064012819,417.4898403613,961.5778929226,375.4342498587,3.49425287356322,1.14377867719612,2219.2256957272,0.0468261984930696
"q12",32.5370402879,59.6194157086,181.280286492,1202.2849417445,807.36757336,4.18529411764706,0.794563766559734,2283.089257593,
"q13",23.3825631985,55.812150708,220.4513808856,1046.0426633089,915.5804593803,4.2333729216152,0.799318055231848,2261.2692174813,
"q14",68.1598151134,132.1146222438,306.2825889146,1057.5380975054,677.4005180258,3.95985620131815,0.972126635339697,2241.495641803,
"q15",111.9389581914,126.6146290895,319.462023267,1067.3832365923,636.1584227639,3.88895486935867,1.03481710520174,2261.5572699041,
"q16",21.7687164345,49.8224114382,218.1913106151,1228.1965174613,753.0058260114,4.1685393258427,0.75563613709074,2270.9847819605,
"q17",111.1840687502,100.6494470165,399.770546134,829.2072072113,603.3603546034,3.85545335085414,1.06901852938367,2044.1716237154,
"q18",122.4427138312,259.1567051338,538.0558801678,949.0313800284,382.519426024,3.5346062052506,1.07203052977675,2251.2061051852,
"q19",105.4727839612,176.0412390637,291.6372009088,990.189012794,678.1646875333,3.87904191616766,1.075230817269,2241.504924261,
"q2",42.3748631286,164.8043768985,268.4661767341,1281.3478021535,526.0018726387,3.91411764705882,0.895828136261542,2282.9950915534,
"q20",40.4522838508,98.0970438395,259.0969946932,1162.094614196,733.2092827491,4.07088459285296,0.871061043385651,2292.9502193286,
"q21",110.8070030328,263.3628240801,550.2751472732,940.125884551,261.2171799437,3.45838587641866,1.03006951094462,2125.7880388808,
"q22",211.7996192894,265.4686146594,598.3314774231,717.6696213635,293.2660510815,3.3194087403599,1.16161929777036,2086.5353838169,
"q23",229.4497786813,347.5223327438,610.5993017993,562.8291396775,156.5302636041,3.04628330995792,1.1341417039292,1906.930816506,
"q24",200.2706750176,353.5937667681,628.8255544742,677.4940038529,196.7663052306,3.16471354166667,1.11761946696406,2056.9503053434,
"q25",181.3032544421,233.7728452991,560.5944293404,814.6860905015,258.5712795922,3.37303664921466,1.11293199376938,2048.9278991753,
"q26",88.4109012407,136.7691755347,294.4472810074,1179.3340841288,565.556218723,3.89508002371073,0.976724731227392,2264.5176606346,
"q27",94.0467643981,162.4821213008,607.0572354518,882.6610802111,389.8635415626,3.61746231155779,1.01032835572654,2136.1107429244,
"q28",11.6161437132,22.5937347311,197.4178290647,1005.1326510779,1049.9483699271,4.34527304756312,0.719454131121525,2286.708728514,
"q29",31.8939836432,104.8271469582,308.7496119767,1384.2844620425,378.7127115078,3.89307411907655,0.788666314866529,2208.4679161284,
"q3",112.5763274862,306.0950961589,424.4116330492,865.9511457744,550.3395268854,3.64468211527035,1.13466613781823,2259.3737293541,
"q30",138.4751528132,300.7670089458,616.3205620045,855.5336353053,252.9672256003,3.36825790452573,1.06117321325542,2164.0635846691,
"q31",127.958014382,277.1003390009,491.8275370783,965.8073825034,304.6575447336,3.48824257425743,1.06906301641754,2167.3508176982,
"q32",193.3764836068,346.5874957744,644.5715370915,700.9751007543,264.9254702333,3.24002493765586,1.13597949221759,2150.4360874603,
"q33",327.9213505854,473.4763598632,630.0940810506,488.439098325,128.997545919,2.80339647289353,1.15068105390006,2048.9284357432,
"q34",105.0336126792,114.9586101158,508.9067747668,866.3171243909,394.269772007,3.68690958164642,1.01332314624025,1989.4858939597,
