"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",509,1128,1315,3760,1743,3.60319337670018,1.13129733581992,8455,
"q10",730,1519,1422,3935,798,3.30366492146597,1.13322099675766,8404,
"q11",884,1325,1343,3426,1174,3.32887634936212,1.21845712908135,8152,0.0661316270283637
"q12",259,407,889,4373,2456,3.99713740458015,0.933423233738493,8384,
"q13",134,230,761,3559,3613,4.23984572737134,0.852042967368105,8297,
"q14",517,945,1125,3882,1934,3.68677853147685,1.12678756366114,8403,
"q15",782,880,1273,3602,1782,3.56761630003606,1.20399051123573,8319,
"q16",198,359,1005,4594,2217,3.98805684939687,0.876976689169577,8373,
"q17",885,813,1353,2886,2113,3.56260869565217,1.27783678252036,8050,
"q18",753,1399,1937,3227,1054,3.29032258064516,1.15417522929382,8370,
"q19",952,1304,1287,3094,1676,3.38951040538915,1.28142713369092,8313,
"q2",333,980,1259,4358,1483,3.67490788066088,1.02105002767339,8413,
"q20",264,646,1015,4085,2443,3.9223944161836,0.994964292965074,8453,
"q21",971,1820,1905,2795,672,3.04618400098003,1.16982337248696,8163,
"q22",1381,1424,2122,2233,704,2.93069684638861,1.23326801274523,7864,
"q23",1450,1680,2110,1888,437,2.7596827495043,1.188205702725,7565,
"q24",1253,1871,2202,2064,504,2.83468457055992,1.16688456262321,7894,
"q25",1266,1444,2026,2408,710,2.98115609880316,1.22337744593505,7854,
"q26",378,636,1074,4317,1995,3.82321428571429,1.02082572199925,8400,
"q27",519,950,2422,3050,1214,3.42795830778663,1.07588145754872,8155,
"q28",68,172,1015,3476,3712,4.25453038019661,0.805690362112947,8443,0.00317256115434323
"q29",278,794,1328,4628,1179,3.68673083952723,0.948309744100573,8207,
"q3",684,1276,1486,3080,1810,3.48656429942418,1.21767108843412,8336,
"q30",935,1827,2016,2748,652,3.04340914649058,1.154961210792,8178,
"q31",822,1568,2031,2942,815,3.166299828809,1.15094339134657,8178,
"q32",1057,1759,2401,2215,637,2.95241045978436,1.15332534335066,8069,
"q33",1787,2102,2168,1347,339,2.52847733436652,1.14958860408304,7743,
"q34",580,682,2054,3197,1166,3.48014064331293,1.08823550086993,7679,
"q35",217,348,858,4391,2437,4.02811780390256,0.896692688785048,8251,
"q36",204,369,917,4712,2075,3.97680318956144,0.872457724452295,8277,
"q37",992,983,1725,2759,1351,3.31933418693982,1.25592872598529,7810,
"q38",651,552,1327,3181,1874,3.66908371786421,1.17313233220325,7585,
"q39",208,414,1433,4464,1656,3.84966360856269,0.88708183854172,8175,
"q4",486,854,1252,3661,2157,3.73115338882283,1.12227459873187,8410,0.177039531106376
"q40",554,1030,1761,3412,1611,3.53728489483748,1.13013457109153,8368,0.25554730313639
"q41",1263,1521,2149,2000,799,2.9419296430419,1.23245290548493,7732,
"q42",301,315,682,3372,3667,4.17416336811803,0.9836179001033,8337,0.0196031371771293
"q43",534,781,1314,3166,2537,3.76704272683629,1.16612192640047,8332,0.00164089294250392
"q44",705,918,1485,3018,2114,3.59684466019417,1.2206857870271,8240,
"q45",368,345,1743,2861,2150,3.81424936386768,1.05611151556497,7467,
"q46",628,933,1650,3143,1950,3.58453757225434,1.17946696135685,8304,
"q47",568,662,1337,3488,2179,3.73451542385232,1.13978922813794,8234,
"q48",348,554,935,3385,3132,4.00538664113,1.06165480752563,8354,
"q49",318,397,794,3238,3584,4.12507502100588,1.0218308444568,8331,
"q5",157,384,1008,3833,2944,4.08371366802786,0.906609137906234,8326,0.0894480743662032
"q50",171,357,571,4010,3224,4.1711268450738,0.884467036910518,8333,
"q51",612,740,1319,2699,2976,3.80122214234364,1.22061519000824,8346,0.0083162693294962
"q52",423,551,1439,2596,3334,3.94294618242838,1.13555274061249,8343,0.0106057066248648
"q53",1416,1789,2025,2245,738,2.89041763058566,1.23629239382936,8213,
"q54",1098,972,1919,2658,1198,3.24040790312301,1.25530951376871,7845,
"q55",568,605,1838,3424,1210,3.53669064748201,1.08139190891767,7645,
"q56",734,1052,1643,3676,1125,3.4138517618469,1.14319412429687,8230,
"q57",575,778,1859,3450,1045,3.46866485013624,1.08161514708746,7707,
"q58",958,1325,1765,3035,996,3.22106696373314,1.20765356612432,8079,
"q59",820,1091,1765,3294,1113,3.3450451565013,1.17481348240928,8083,
"q6",345,697,1074,4157,2118,3.83494219997616,1.02741879767333,8391,0.00829742585158989
"q60",772,787,1908,2727,1766,3.49346733668342,1.21388190229161,7960,0.00616554897689537
"q61",955,1183,2082,2647,1361,3.27661643169665,1.23087884070222,8228,
"q62",532,712,1899,3066,1453,3.54763769250848,1.10888193302802,7662,0.000299202915196481
"q63",606,1571,1843,3139,1136,3.31681735985533,1.14351232870515,8295,0.115920445196747
"q64",684,1652,1905,3046,998,3.24405552202776,1.1487885277183,8285,
"q65",806,1493,2017,2848,1120,3.23937711250604,1.18189464293052,8284,0.0606842439298423
"q66",829,1726,2483,2484,749,3.07230081005924,1.12564715313982,8271,0.0043410807864752
"q67",1401,1716,2482,1929,749,2.8681889573517,1.20921596776697,8277,0.0824992481993117
"q68",568,1176,2059,3327,1147,3.39978252990214,1.10143583563392,8277,0.0570693609259865
"q69",461,1002,1502,3724,1581,3.6,1.09511387460634,8270,
"q7",62,73,218,2823,5247,4.55763979579722,0.662437038955015,8423,
"q70",530,1126,1394,3690,1547,3.55484493785447,1.12959566200124,8287,
"q71",608,1314,1877,3348,1146,3.37501507295309,1.1259183486059,8293,
"q8",58,133,702,3842,3704,4.30359047280484,0.744912523730584,8439,
"q9",1088,1937,1348,3206,841,3.09204275534442,1.23243891265657,8420,
