"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",86,208,231,771,319,3.63715170278638,1.09730177628961,1615,0.00789680448334143
"q10",146,309,300,708,142,3.24361370716511,1.13703990736218,1605,
"q11",139,266,242,707,190,3.35168393782383,1.16606689505108,1544,0.0368766337540599
"q12",50,93,194,842,416,3.92852664576803,0.94512286934242,1595,
"q13",17,39,130,721,671,4.26108998732573,0.797280939284089,1578,
"q14",76,186,230,807,302,3.67020612117427,1.05648853282348,1601,
"q15",155,193,273,704,267,3.46168341708543,1.18805671086662,1592,
"q16",36,81,184,919,379,3.953095684803,0.869264566362311,1599,
"q17",199,176,268,574,337,3.43371943371943,1.29431694095384,1554,
"q18",143,313,406,580,148,3.17421383647799,1.12434660902597,1590,
"q19",165,259,267,654,259,3.36346633416459,1.22285858183003,1604,
"q2",53,200,262,856,237,3.63681592039801,0.986498934514708,1608,0.00198393241354767
"q20",43,117,194,760,500,3.96468401486989,0.979323434122856,1614,
"q21",203,395,382,494,99,2.93070565797839,1.15289405640431,1573,
"q22",281,322,424,392,90,2.79324055666004,1.18944603317434,1509,0.0172483108316051
"q23",274,302,439,386,71,2.78125,1.16531638217449,1472,
"q24",227,370,444,418,75,2.83311603650587,1.12878419297151,1534,
"q25",215,289,393,525,118,3.02727272727273,1.18053702646747,1540,
"q26",50,83,172,869,435,3.96706028589186,0.92882736319355,1609,
"q27",93,176,450,609,231,3.45477870429763,1.06241722433825,1559,
"q28",9,27,193,668,715,4.27357320099256,0.778495189452971,1612,0.0184701108130592
"q29",59,162,271,875,186,3.62266580811333,0.954804104818822,1553,
"q3",127,244,274,624,319,3.48110831234257,1.19977766512299,1588,
"q30",170,368,401,525,90,2.9980694980695,1.11565405569377,1554,
"q31",136,288,381,625,131,3.20948110185778,1.10723138193253,1561,
"q32",183,307,459,492,98,3.00974658869396,1.11813686093079,1539,
"q33",388,456,401,204,35,2.3544474393531,1.08118234240054,1484,
"q34",102,121,408,629,211,3.49354180829368,1.05742874100267,1471,
"q35",43,93,162,851,433,3.97218710493047,0.925011319354623,1582,
"q36",34,75,164,937,367,3.96892834495878,0.848811310107768,1577,
"q37",192,203,330,538,221,3.26482479784367,1.24235324048297,1484,
"q38",129,138,287,606,322,3.57624831309042,1.17820745884766,1482,
"q39",42,93,279,850,282,3.80012936610608,0.899204961363984,1546,
"q4",76,148,230,741,405,3.781875,1.07122064973808,1600,0.250150196735542
"q40",73,167,299,697,350,3.68348045397226,1.07012991572343,1586,0.19277654625629
"q41",247,324,448,321,94,2.78451882845188,1.1642548713393,1434,
"q42",56,55,129,643,700,4.18509159823121,0.973338696719903,1583,
"q43",95,154,268,630,434,3.72991777356104,1.14119493484263,1581,
"q44",130,172,281,616,369,3.58801020408163,1.1961047692042,1568,
"q45",69,69,349,584,357,3.7640056022409,1.03324889798263,1428,
"q46",117,181,324,622,328,3.54898218829517,1.15870721094718,1572,0.0221532783799418
"q47",114,108,257,715,373,3.71793235481812,1.11969655304468,1567,
"q48",65,120,175,676,548,3.96085858585859,1.0620583455971,1584,
"q49",64,87,156,628,644,4.07726409119696,1.04237644691402,1579,
"q5",25,51,188,747,573,4.13131313131313,0.857019939488886,1584,0.0965439221963736
"q50",22,48,103,769,636,4.23510773130545,0.812776476226998,1578,
"q51",112,140,283,528,520,3.76058117498421,1.20057410027019,1583,
"q52",80,113,271,531,580,3.90031746031746,1.12929958875515,1575,
"q53",260,337,424,431,93,2.84466019417476,1.17803693262926,1545,
"q54",216,185,405,490,174,3.15034013605442,1.2242653372611,1470,
"q55",107,109,385,654,171,3.47194950911641,1.04541705951552,1426,
"q56",135,189,349,709,170,3.38015463917526,1.10497053033647,1552,
"q57",114,131,371,685,167,3.44959128065395,1.05837451565315,1468,
"q58",166,281,350,585,134,3.15831134564644,1.1569863199641,1516,
"q59",157,210,376,620,157,3.26973684210526,1.14037977306606,1520,
"q6",49,133,219,826,370,3.83594239198497,0.975584429526926,1597,
"q60",154,158,411,511,249,3.36614969656102,1.18531862357097,1483,
"q61",187,240,441,497,181,3.15847347994825,1.18517651175728,1546,
"q62",90,123,355,636,246,3.56896551724138,1.06179121555114,1450,0.0367252137876108
"q63",105,301,371,602,184,3.2936660268714,1.1099039921296,1563,0.101709601599459
"q64",112,293,416,590,148,3.23669018601668,1.08545682052159,1559,
"q65",158,266,379,585,171,3.22129570237332,1.158396534268,1559,0.054551312272957
"q66",161,327,513,456,99,3.00321336760925,1.0827450921197,1556,
"q67",267,330,489,372,105,2.81957773512476,1.17024596638241,1563,0.0436664642768411
"q68",101,245,381,633,202,3.37772087067862,1.09367311170752,1562,
"q69",64,185,284,725,299,3.64868336544637,1.0473463225428,1557,
"q7",13,21,37,584,957,4.52047146401985,0.686087894830892,1612,
"q70",95,209,244,744,268,3.56474358974359,1.10612641656081,1560,
"q71",100,237,348,668,208,3.41447789878283,1.09451804154213,1561,
"q8",12,29,132,763,675,4.27870887647424,0.750097183957377,1611,
"q9",202,421,248,608,130,3.02672467371038,1.21040545585199,1609,
