"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",15,23,35,100,44,3.6221198156682,1.1283670290488,217,
"q10",22,36,22,100,37,3.4331797235023,1.23842998349984,217,
"q11",21,25,21,111,35,3.53521126760563,1.18756512332444,213,
"q12",5,4,17,113,74,4.15962441314554,0.831493229283668,213,
"q13",2,5,9,94,100,4.35714285714286,0.758411477975388,210,
"q14",38,33,21,90,29,3.18483412322275,1.35187958958438,211,
"q15",12,19,28,101,47,3.73429951690821,1.08919332720546,207,0.0328558687478511
"q16",6,6,34,116,53,3.94883720930233,0.876583238665863,215,
"q17",24,6,46,79,48,3.59605911330049,1.22044637040018,203,
"q18",31,26,52,76,29,3.21495327102804,1.24868409521269,214,
"q19",17,18,35,79,58,3.69082125603865,1.20317654078022,207,
"q2",9,23,27,115,42,3.73148148148148,1.02622796761535,216,
"q20",8,12,28,117,52,3.88940092165899,0.955843679397207,217,
"q21",21,31,36,83,34,3.38048780487805,1.22138211493532,205,
"q22",33,26,48,59,30,3.13775510204082,1.30733750227156,196,
"q23",31,33,53,53,14,2.92391304347826,1.2032169598649,184,
"q24",32,36,55,58,15,2.93877551020408,1.20099383230861,196,
"q25",32,21,55,62,22,3.109375,1.24636250850938,192,
"q26",14,13,22,116,50,3.81395348837209,1.0646357359036,215,
"q27",11,11,48,92,44,3.71359223300971,1.03146105644555,206,
"q28",2,2,22,74,117,4.39170506912442,0.780862145574269,217,
"q29",10,12,34,113,46,3.8046511627907,0.990127313717856,215,
"q3",23,25,43,81,45,3.46082949308756,1.23961809137309,217,
"q30",35,37,46,74,20,3.03301886792453,1.25204830835993,212,
"q31",35,30,50,72,22,3.07655502392344,1.25723888483627,209,
"q32",41,37,53,56,20,2.88888888888889,1.27417295553002,207,
"q33",47,44,58,39,10,2.6010101010101,1.1910831950634,198,
"q34",21,13,51,83,36,3.49019607843137,1.1638656333939,204,
"q35",28,24,40,81,33,3.3252427184466,1.26338441683552,206,
"q36",15,26,45,95,24,3.42439024390244,1.08482864098276,205,
"q37",19,32,47,69,29,3.29081632653061,1.19061171389775,196,
"q38",15,11,44,79,42,3.63874345549738,1.12407458646826,191,
"q39",9,9,29,99,67,3.96713615023474,1.00181428120046,213,
"q4",13,8,22,101,69,3.96244131455399,1.06332410995583,213,0.179887410328598
"q40",20,22,55,83,37,3.43778801843318,1.16151668537793,217,0.185647342637028
"q41",30,30,43,71,26,3.165,1.26720322762393,200,
"q42",13,8,21,86,88,4.05555555555556,1.0940288957821,216,
"q43",16,21,33,80,66,3.73611111111111,1.20456174281274,216,
"q44",14,18,33,84,59,3.75,1.15679049581492,208,0.033645553955886
"q45",11,8,37,75,65,3.89285714285714,1.08781125813871,196,
"q46",17,16,35,84,61,3.73239436619718,1.18510106024211,213,
"q47",18,13,32,85,64,3.77358490566038,1.19066685579017,212,0.0305753718691081
"q48",8,16,23,76,93,4.06481481481481,1.08068150890375,216,
"q49",9,10,17,77,103,4.18055555555556,1.0431578473911,216,
"q5",5,5,17,94,95,4.24537037037037,0.87336656938158,216,
"q50",7,20,23,91,75,3.95833333333333,1.05791589765521,216,
"q51",16,11,33,69,86,3.92093023255814,1.19511430250179,215,
"q52",11,9,29,69,98,4.08333333333333,1.10073970900333,216,0.0727851789044711
"q53",42,44,44,58,27,2.92558139534884,1.32694805187035,215,
"q54",21,20,47,78,34,3.42,1.19193268165108,200,
"q55",19,12,53,80,37,3.51741293532338,1.14496518446276,201,
"q56",24,14,46,94,33,3.46445497630332,1.17611833774998,211,
"q57",20,19,45,89,30,3.44334975369458,1.15205052266372,203,
"q58",34,31,37,79,30,3.18957345971564,1.30642562453249,211,
"q59",33,24,39,74,36,3.27184466019417,1.32292488039437,206,
"q6",10,11,13,112,68,4.01401869158879,1.00458559864309,214,
"q60",16,20,40,72,59,3.66666666666667,1.20677698006369,207,
"q61",32,28,48,67,38,3.23943661971831,1.30815427440107,213,
"q62",24,21,51,68,37,3.36318407960199,1.23791672213654,201,
"q63",20,40,38,73,44,3.37674418604651,1.25765640399717,215,0.0229096634331342
"q64",26,25,41,88,35,3.37674418604651,1.23516187771481,215,
"q65",27,35,44,70,38,3.26635514018692,1.28153692391902,214,0.0634655234664002
"q66",30,42,60,54,29,3.04651162790698,1.24468005069676,215,
"q67",36,41,66,48,25,2.93055555555556,1.2425748460604,216,
"q68",19,27,57,76,35,3.3785046728972,1.1634922369419,214,0.102142921760622
"q69",15,14,42,85,60,3.74537037037037,1.13914568227404,216,
"q7",3,2,5,66,140,4.56481481481481,0.718825245097028,216,
"q70",38,49,39,62,26,2.94859813084112,1.31162118700959,214,
"q71",19,30,42,84,40,3.44651162790698,1.19800239441067,215,
"q8",4,2,16,98,94,4.28971962616822,0.799170295029836,214,
"q9",23,39,38,83,32,3.28837209302326,1.23068427556927,215,
