"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",144,348,359,1156,688,3.70352504638219,1.13951052153032,2695,
"q10",397,471,379,1087,338,3.18637724550898,1.28423673651265,2672,
"q11",265,443,364,1059,484,3.40305927342256,1.24828505553916,2615,0.00956191531836454
"q12",65,101,229,1350,929,4.1133133881825,0.889029038484402,2674,
"q13",46,49,198,1021,1326,4.33787878787879,0.833327247442956,2640,
"q14",130,288,286,1211,768,3.81960491986582,1.10734258441546,2683,
"q15",254,274,370,1026,716,3.63484848484848,1.24887125079358,2640,
"q16",37,90,274,1367,895,4.12392039053699,0.827110662338854,2663,
"q17",257,199,420,865,766,3.67171918627842,1.26731029161067,2507,
"q18",244,421,575,957,458,3.36308851224105,1.20223082553841,2655,
"q19",297,347,357,979,641,3.50362457077451,1.29785724267266,2621,
"q2",110,348,345,1279,595,3.71012327231976,1.07579977884849,2677,
"q20",55,206,269,1268,892,4.01710037174721,0.960199670667063,2690,
"q21",230,407,593,986,364,3.32829457364341,1.16344318179781,2580,
"q22",405,364,593,741,346,3.10575745202123,1.29124895521703,2449,
"q23",444,449,649,563,240,2.87462686567164,1.25827301512506,2345,
"q24",394,494,627,684,292,2.99437976716178,1.25501745083633,2491,
"q25",359,339,562,794,356,3.18630705394191,1.27389541157288,2410,
"q26",118,166,291,1321,782,3.92718446601942,1.01993593939075,2678,
"q27",162,230,645,1003,496,3.56821766561514,1.09620078061437,2536,
"q28",21,21,314,1048,1289,4.32305978462681,0.769722839336497,2693,
"q29",81,251,424,1364,478,3.73402617397998,0.971526094323934,2598,
"q3",216,375,399,968,695,3.58462118356577,1.2403857328764,2653,
"q30",327,540,587,836,287,3.08381839348079,1.21677828274773,2577,
"q31",266,394,553,995,383,3.32226939405635,1.19779479745893,2591,
"q32",342,463,675,767,310,3.09385999217833,1.22178222299289,2557,
"q33",455,527,692,495,197,2.76838546069315,1.21705207083016,2366,
"q34",187,199,601,959,489,3.56016427104723,1.12817359076536,2435,
"q35",59,84,287,1392,759,4.04920573421155,0.859680595038928,2581,
"q36",90,189,384,1343,588,3.82883577486507,0.974412929357662,2594,
"q37",284,310,542,782,497,3.37184265010352,1.2681303717237,2415,
"q38",183,147,439,895,653,3.72852826931377,1.16739015589422,2317,
"q39",59,143,467,1358,575,3.86356648731745,0.897809308484417,2602,
"q4",127,202,369,1083,896,3.903623459096,1.09201731365437,2677,0.0848749012325302
"q40",168,301,580,1067,560,3.57922272047833,1.12444458285402,2676,0.264367505202844
"q41",362,393,553,773,428,3.20406536468713,1.29739011317861,2509,
"q42",98,88,172,928,1381,4.27709036370454,0.984163846916648,2667,
"q43",152,202,343,943,1018,3.93039879608728,1.15167462912263,2658,
"q44",209,233,392,887,896,3.77493312953764,1.23165989246631,2617,
"q45",96,72,425,857,981,4.0510078157137,1.02473022262301,2431,
"q46",190,245,417,932,864,3.76850453172205,1.20273791643687,2648,
"q47",154,201,358,1014,887,3.87184391736802,1.13936415357098,2614,
"q48",108,157,229,939,1233,4.13728432108027,1.06306822368645,2666,
"q49",92,111,203,902,1354,4.24530428249436,1.00146760092629,2662,
"q5",69,121,314,1110,1036,4.10301886792453,0.957156164577482,2650,0.135810258624609
"q50",65,111,160,1123,1204,4.23544874202028,0.918417783024038,2663,
"q51",189,205,365,768,1138,3.9234521575985,1.22664124290482,2665,0.0127843135187472
"q52",105,149,406,766,1240,4.08289572393098,1.0904119133232,2666,0.00579086345963356
"q53",395,471,546,831,370,3.11863758132415,1.28681949853829,2613,
"q54",295,220,570,884,508,3.44004844570044,1.24475429094457,2477,
"q55",171,151,485,1092,579,3.7090395480226,1.10000871911329,2478,
"q56",201,299,494,1154,477,3.536,1.14011659651921,2625,
"q57",156,211,542,1097,469,3.61090909090909,1.07974394673903,2475,
"q58",271,415,492,982,441,3.34871203383314,1.22924588910834,2601,
"q59",238,342,514,1010,480,3.44582043343653,1.19853033966569,2584,
"q6",95,233,311,1205,826,3.91161048689139,1.04294092260437,2670,
"q60",185,208,529,879,703,3.68170926517572,1.17833049626491,2504,0.0283647465650653
"q61",270,292,593,881,586,3.46567505720824,1.23974784748853,2622,
"q62",143,195,515,954,670,3.73193379087606,1.11423525741279,2477,
"q63",213,486,540,965,451,3.35969868173258,1.19081636568543,2655,0.108033474430613
"q64",200,463,570,1004,417,3.36737000753579,1.16112658335576,2654,
"q65",255,432,535,973,449,3.35136157337368,1.21389750093161,2644,0.0774998565327441
"q66",268,436,728,872,341,3.22003780718336,1.16944489401744,2645,
"q67",448,456,782,649,311,2.96938775510204,1.25086290188237,2646,0.0701122729962833
"q68",175,367,644,1017,438,3.44528587656191,1.12012306702839,2641,0.0437408530576437
"q69",140,294,455,1148,607,3.67624810892587,1.10392077730834,2644,
"q7",17,20,53,791,1799,4.61753731343284,0.6299053847047,2680,
"q70",169,329,383,1206,561,3.62726586102719,1.13552908185735,2648,
"q71",186,294,538,1170,462,3.5388679245283,1.11384719309403,2650,
"q8",16,32,216,1145,1279,4.35379464285714,0.729652989555087,2688,
"q9",429,627,374,936,323,3.03607288955002,1.30354098358111,2689,
