"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",887.9735827536,2157.1227816534,2250.8394257245,6277.6618902769,2685.5414930701,3.57752808988764,1.14352701613688,14259.1391734785,
"q10",1597.295307493,2866.4092577305,2392.8550702157,6140.8387308708,1183.4417873726,3.1596657633243,1.18420028508116,14180.8401536826,0.0123040832603146
"q11",1665.7445831511,2320.3051395484,2243.6729609183,5685.290249013,1824.2611284345,3.30410447761194,1.22939729907094,13739.2740610653,0.0109289358361268
"q12",377.2445186322,644.5491822379,1364.8705330265,7388.3566781223,4372.4543075946,4.06659116647792,0.904905600177349,14147.4752196135,
"q13",191.9502182456,409.3719969651,1313.5804746393,5983.3002054474,6074.9083458065,4.2524115755627,0.844653144026527,13973.1112411039,
"q14",814.3757367577,1623.3359059064,1916.8938683402,6582.0863945178,3261.0737981112,3.68975631768953,1.12684713194514,14197.7657036333,
"q15",854.5215657033,1325.9434395324,2062.6553470462,6565.5643712214,3313.0511769544,3.74522727272727,1.10439406041256,14121.7359004577,
"q16",189.5649034857,674.9174209964,1684.0937524541,7879.9399043144,3709.5795961141,4.02632773490695,0.831139963947715,14138.0955773647,
"q17",1365.6589393635,1249.4340120562,2803.8236724439,4666.7170298382,2743.1657254385,3.5363073110285,1.2394753735031,12828.7993791403,
"q18",1636.862776654,2880.235147459,3526.803015613,4657.6176055707,1412.2527481405,3.12156328107248,1.18359656484976,14113.7712934372,
"q19",1299.4539255636,2221.5028645834,2424.0565047604,5260.562027447,2870.4685681712,3.44961240310078,1.2426627845649,14076.0438905256,
"q2",513.7251059671,1751.3194601194,2208.4402662698,7494.4663983873,2186.5746672415,3.67337251356239,1.00406400984075,14154.5258979851,
"q20",363.4552025071,1229.7914532271,1696.1916837095,6979.0793293527,3997.7454149448,3.9366149696561,0.985292636003046,14266.2630837412,0.00637053058580849
"q21",2067.2900100181,3514.3105045355,3074.7844237541,4079.5597098657,910.7843935094,2.9225549836219,1.20721810126242,13646.7290416828,
"q22",2505.0558956179,2625.3150068199,3462.1976699326,3550.19376447,974.7874605409,2.91574822434484,1.24261832085382,13117.5497973813,
"q23",2846.042773773,3086.8216442958,3552.4285541103,2428.2639128294,552.0919513504,2.64405468145473,1.17998393628406,12465.6488363589,
"q24",2181.4963872641,3254.5456123021,3591.2509174826,3342.3081737848,727.4944300825,2.83353763177249,1.17560332219497,13097.0955209161,
"q25",1976.6946681724,2405.9040608023,3182.5916404331,4122.9872355345,1111.3411427088,3.04332582018532,1.2251032258978,12799.5187476511,
"q26",657.7649772721,1121.01537312,1717.4253045574,7351.095390946,3289.437105976,3.84152139461173,1.02649071699683,14136.7381518715,
"q27",1043.8779169832,2012.9713364605,4271.8860117161,4566.9628886306,1637.2966130799,3.31368371212121,1.10338950814617,13532.9947668703,
"q28",88.913897541,194.3829701174,1691.8767349807,5769.1822783168,6505.633169132,4.32133213321332,0.766613975296155,14249.9890500879,0.0673859904416677
"q29",503.1879599422,1586.5752186653,2407.3070731892,7511.0625919716,1747.8127826663,3.6337141524831,0.968434280949622,13755.9456264346,
"q3",1043.3450505582,2209.912435475,2379.1175855619,5471.7716627425,2975.5254975737,3.54642694583523,1.20162164718525,14079.6722319113,
"q30",1774.5205576519,3317.0184741852,3277.3999485418,4379.3513819495,966.6130115988,2.99695764100164,1.1650899373481,13714.9033739272,
"q31",1277.8827399901,2220.7808031777,3269.2679293279,5541.4717152932,1384.9973241102,3.30474409908857,1.1293829166885,13694.4005118991,
"q32",1737.3194802844,2651.5027520227,3555.3401307465,4472.9056874023,1227.5271547147,3.11241492607369,1.17596761181593,13644.5952051706,
"q33",3381.7729668176,3827.027297203,3451.0642205212,1828.7574793865,390.8879282191,2.40962353527799,1.11641443018922,12879.5098921474,
"q34",1174.4503411817,1017.9503124205,3168.7876465066,5526.2903151217,2252.233981607,3.58278628738147,1.105792722891,13139.7125968375,
"q35",310.5174561153,535.1063199317,1564.6726611754,7685.283282576,3714.8331530107,4.01649628252788,0.861259685766111,13810.4128728091,
"q36",280.9474246154,712.3226073568,2288.5575112579,7896.6261887488,2657.478015909,3.87607134584202,0.857920920777688,13835.9317478879,
"q37",1778.3582717636,1680.3676263846,3003.4838569967,4367.4169596305,2038.8577805244,3.29679343773304,1.26966173987457,12868.4844952998,
"q38",1074.7705009934,895.9727948762,2351.9614232252,4999.439210505,2877.823050225,3.68377181557697,1.16489593477318,12199.9669798248,
"q39",432.4403295319,967.7379817504,2756.8981412847,7508.32018188,2183.4654286764,3.76132162661738,0.910159543850046,13848.8620631234,0.00180798402944085
"q4",734.1829989799,1274.9372422037,2127.6977736704,6030.5124137551,4040.8962944002,3.82844905320108,1.10062498689523,14208.2267230093,0.134381426673279
"q40",759.9716109951,1495.9316175227,2896.9824342535,5915.0151902831,3033.5256147501,3.66613600181942,1.09593172440468,14101.4264678045,0.27099059869643
