"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",52.1090099894,108.2343278868,92.1832375597,346.8712608216,118.196495988,3.54724409448819,1.13676100238617,717.5943322455,0.0393938229067311
"q10",35.5453303449,116.7053878058,125.965582203,373.0454285821,63.8053454729,3.46640316205534,1.02152319135013,715.0670744087,
"q11",99.9706319814,78.5961557581,103.8037558465,335.1932426247,90.7863933765,3.39442231075697,1.22955632849424,708.3501795872,0.0155829963572953
"q12",9.0371209217,37.1849997204,66.7166375895,350.3402908715,248.7494221565,4.13888888888889,0.856516824861295,712.0284712596,0.0207756768020673
"q13",9.9644337546,8.5478283923,64.0316409103,281.0449934456,345.5547900789,4.34262948207171,0.791287215976178,709.1436865817,0.00980613927031315
"q14",31.3000705227,94.5337784337,122.5783277888,297.9712433542,173.8152968831,3.67450980392157,1.10115242732811,720.1987169825,
"q15",47.5627279384,52.8434176307,86.3001730412,340.3307089748,168.6254901995,3.81781376518219,1.06075908437981,695.6625177846,
"q16",8.4788378579,9.3450881677,84.9135593072,417.8553035292,182.4579852296,4.088,0.733764021027344,703.0507740916,
"q17",61.4410049937,63.5611496342,141.6687312039,228.1435497952,169.1366031236,3.59322033898305,1.22552490281281,663.9510387506,
"q18",90.8293234224,151.7334504944,160.83254806,265.5610223326,47.8566096709,3.06692913385827,1.14874429592,716.8129539803,
"q19",80.2253161637,80.3041163909,106.4573558453,308.1706680895,138.9919048325,3.51190476190476,1.21570776151652,714.1493613219,
"q2",25.8756911265,79.3400106881,127.7400643634,380.107760234,103.6669266004,3.66141732283465,0.959417415790671,716.7304530124,
"q20",20.1199318295,91.3993604431,80.5066268863,370.757228249,157.4155695746,3.8,1.01717533851905,720.1987169825,
"q21",89.5952243795,169.0644851777,167.5113118664,211.2106660502,36.9530725387,2.93305439330544,1.14298898715606,674.3347600125,
"q22",132.7039408443,126.826130814,198.0116493604,146.2409656489,64.928605236,2.86864406779661,1.2631065488011,668.7112919036,
"q23",156.0121643693,149.2059588826,208.361859666,104.7091271312,31.2405454186,2.57391304347826,1.17142744681346,649.5296554677,
"q24",118.9280903307,145.2235029787,198.4170421084,168.2566550299,36.5171314284,2.80590717299578,1.17363647888389,667.3424218761,
"q25",116.4695437904,124.6153611278,143.3519322817,224.4114052021,68.991208072,3.02489626556017,1.27451072704823,677.839450474,
"q26",39.3908673513,67.3949814648,98.0905177007,357.9500078447,151.796510396,3.77865612648221,1.05334829533339,714.6228847575,
