"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",41,80,92,230,128,3.56742556917688,1.18629166821735,571,
"q10",39,82,92,276,77,3.47703180212014,1.10765750866816,566,
"q11",64,90,87,213,93,3.3308957952468,1.26310555495874,547,0.0288825341269562
"q12",23,33,73,269,165,3.92362344582593,1.01036955306233,563,
"q13",16,14,61,250,218,4.14490161001789,0.915089522608627,559,
"q14",31,45,75,277,140,3.79225352112676,1.07026996832679,568,
"q15",30,21,92,254,161,3.88709677419355,1.03778445887262,558,
"q16",19,24,78,287,158,3.95583038869258,0.942502561877521,566,
"q17",46,36,111,180,151,3.67557251908397,1.20930690470187,524,
"q18",55,102,155,176,68,3.17985611510791,1.16403645997913,556,
"q19",35,51,86,198,154,3.73473282442748,1.17504962068889,524,
"q2",35,67,81,266,118,3.64373897707231,1.1200353929988,567,
"q20",25,33,64,242,205,4,1.04981554382488,569,
"q21",89,105,104,188,50,3.00932835820896,1.25969389413961,536,
"q22",90,75,134,147,71,3.06576402321083,1.2938165578212,517,
"q23",93,113,143,120,28,2.75251509054326,1.17651699956943,497,
"q24",91,116,135,131,40,2.83040935672515,1.21533625590298,513,
"q25",88,80,117,165,61,3.06066536203523,1.28270499548607,511,
"q26",40,45,71,264,143,3.75488454706927,1.13201082975181,563,
"q27",48,52,141,206,86,3.43151969981238,1.14276941431403,533,
"q28",8,7,68,188,298,4.33743409490334,0.840452441217329,569,
"q29",26,45,92,284,95,3.69557195571956,1.00898859765199,542,
"q3",67,87,98,178,131,3.3903743315508,1.3171316382514,561,
"q30",79,111,110,168,63,3.04708097928437,1.26328635179738,531,
"q31",61,89,119,187,79,3.25046728971963,1.22584327252588,535,
"q32",84,95,126,156,67,3.05113636363636,1.27270224414139,528,
"q33",123,127,131,78,33,2.53455284552846,1.21297516913955,492,
"q34",44,34,126,198,74,3.47058823529412,1.12257995640129,476,
"q35",16,13,73,275,153,4.01132075471698,0.893086315673511,530,
"q36",17,25,88,281,130,3.8909426987061,0.927527197588317,541,
"q37",68,51,108,171,106,3.38888888888889,1.29364387245605,504,
"q38",45,27,92,191,128,3.6832298136646,1.19171949543078,483,
"q39",25,31,95,276,115,3.78413284132841,0.9932708364762,542,
"q4",35,60,81,234,158,3.73943661971831,1.15427020983661,568,0.117548587445489
"q40",34,56,115,186,165,3.70503597122302,1.17145162837509,556,0.179297594608125
"q41",70,88,133,139,66,3.0866935483871,1.24500795293339,496,
"q42",17,15,47,191,274,4.26838235294118,0.954601318216885,544,
"q43",40,47,96,167,198,3.7956204379562,1.22370663659708,548,
"q44",48,37,101,187,171,3.72794117647059,1.22266449225526,544,
"q45",22,20,96,167,186,3.96741344195519,1.06854718753184,491,
"q46",45,37,106,197,165,3.72727272727273,1.19431783815124,550,
"q47",37,41,91,196,173,3.79368029739777,1.17238437666586,538,
"q48",24,30,58,189,252,4.1121157323689,1.07596335718371,553,0.0055295902215183
"q49",24,16,53,172,286,4.23411978221416,1.03467038940768,551,
"q5",17,28,74,245,192,4.01978417266187,0.977938974588555,556,0.0684097056518514
"q50",24,45,58,212,213,3.98731884057971,1.10016599298959,552,
"q51",41,32,88,149,242,3.94021739130435,1.22365313483746,552,
"q52",31,25,78,139,280,4.10669077757685,1.15053960569845,553,
"q53",102,83,109,158,83,3.06915887850467,1.35361986701336,535,
"q54",76,37,104,170,114,3.41716566866267,1.32650848112592,501,
"q55",48,28,109,208,116,3.62082514734774,1.17035163085237,509,
"q56",60,78,103,204,95,3.36296296296296,1.24156468046114,540,
"q57",54,51,105,201,96,3.46153846153846,1.21258225750887,507,
"q58",73,71,102,184,99,3.31190926275992,1.29942802950851,529,
"q59",61,59,111,183,115,3.43856332703214,1.26450171954343,529,
"q6",26,53,66,247,169,3.85561497326203,1.09324615973503,561,
"q60",54,36,85,138,196,3.75834970530452,1.31711703017092,509,
"q61",70,56,116,157,143,3.45571955719557,1.32684306257511,542,
"q62",39,50,103,150,140,3.62655601659751,1.22921816757987,482,
"q63",49,112,101,187,100,3.3224043715847,1.23655870063933,549,0.10268112493903
"q64",67,116,121,167,71,3.10885608856089,1.23756475644152,542,
"q65",58,90,109,188,99,3.33088235294118,1.2485285456936,544,0.155328055934802
"q66",66,92,145,167,76,3.17399267399267,1.21946799648111,546,0.0644962867091082
"q67",85,99,149,143,68,3.01838235294118,1.25395593284997,544,0.0364908570845857
"q68",47,68,137,210,82,3.38970588235294,1.14459443221445,544,0.0500905905364742
"q69",43,62,90,216,134,3.61651376146789,1.19654172033621,545,
"q7",4,2,21,197,343,4.53968253968254,0.65503910122162,567,
"q70",53,87,97,214,95,3.38644688644689,1.22021182321106,546,
"q71",48,81,97,213,107,3.45787545787546,1.21120997621352,546,
"q8",5,10,59,245,249,4.27288732394366,0.786462246766234,568,
"q9",97,134,104,181,57,2.94240837696335,1.2744802014883,573,
