"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",4,7,3,11,6,3.25806451612903,1.36547285913425,31,
"q10",9,8,3,9,2,2.58064516129032,1.36073983671597,31,
"q11",9,4,3,12,2,2.8,1.4239333576037,30,
"q12",5,3,3,10,10,3.54838709677419,1.45690790551815,31,
"q13",1,1,1,12,16,4.32258064516129,0.944707953962265,31,
"q14",1,1,3,12,14,4.19354838709677,0.980454140988065,31,
"q15",3,1,5,14,8,3.74193548387097,1.18230683934653,31,
"q16",3,7,3,12,6,3.35483870967742,1.30507693506996,31,
"q17",14,5,3,3,3,2.14285714285714,1.43279798049483,28,
"q18",8,7,6,7,3,2.67741935483871,1.351224056777,31,
"q19",2,9,2,11,7,3.38709677419355,1.3083684331981,31,
"q2",7,5,3,12,4,3.03225806451613,1.42557288993447,31,
"q20",3,7,3,11,7,3.38709677419355,1.33360212344459,31,
"q21",9,4,5,9,4,2.83870967741935,1.46280037812292,31,
"q22",8,4,5,9,3,2.82758620689655,1.41595413357015,29,
"q23",5,7,9,7,2,2.8,1.18612670137896,30,
"q24",5,9,5,6,3,2.75,1.29457557752567,28,
"q25",5,8,2,9,3,2.88888888888889,1.36813554584145,27,
"q26",4,4,3,14,6,3.45161290322581,1.31247119784066,31,
"q27",5,5,6,9,6,3.19354838709677,1.37645328867854,31,
"q28",2,5,12,12,0,4.03225806451613,1.07962558225038,31,
"q29",4,6,1,15,5,3.35483870967742,1.33037305787447,31,
"q3",9,6,4,6,6,2.80645161290323,1.53664905641485,31,
"q30",10,11,7,3,0,2.41935483870968,1.40888120030013,31,
"q31",6,11,3,7,4,2.74193548387097,1.36547285913425,31,
"q32",11,9,3,4,3,2.3,1.3683617186634,30,
"q33",11,8,4,3,1,2.07407407407407,1.17427312790397,27,
"q34",8,4,4,11,2,2.82758620689655,1.39050262025852,29,
"q35",2,1,4,15,8,3.86666666666667,1.07425461996016,30,
"q36",5,4,9,8,2,2.92857142857143,1.21498579258791,28,
"q37",14,8,3,3,2,2.03333333333333,1.27261157856003,30,
"q38",10,4,5,7,4,2.7,1.48904042232249,30,
"q39",6,7,5,9,4,2.93548387096774,1.36468516200545,31,
"q4",5,3,9,14,0,3.7741935483871,1.52117668093606,31,
"q40",12,6,4,6,3,2.41935483870968,1.43234524582093,31,
"q41",12,5,3,3,5,2.42857142857143,1.57359158493889,28,
"q42",2,3,1,12,13,4,1.211060141639,31,
"q43",5,6,10,10,0,3.45161290322581,1.52400152400229,31,
"q44",6,5,4,5,10,3.26666666666667,1.57421755788081,30,
"q45",3,2,7,4,13,3.75862068965517,1.37983364457441,29,
"q46",5,6,3,9,8,3.29032258064516,1.46500394509359,31,
"q47",4,1,6,9,11,3.70967741935484,1.3464409477606,31,
"q48",4,4,3,8,12,3.64516129032258,1.45025025649079,31,
"q49",4,4,3,7,13,3.67741935483871,1.46940116542292,31,
"q5",2,1,2,12,14,4.12903225806452,1.11779352547391,31,
"q50",5,5,3,9,9,3.38709677419355,1.47597243323035,31,
"q51",5,6,4,4,12,3.38709677419355,1.56370115121867,31,
"q52",5,6,5,4,11,3.32258064516129,1.53594914790374,31,
"q53",19,6,1,1,3,1.76666666666667,1.30472175216584,30,0.309058810660092
"q54",20,5,2,1,3,1.7741935483871,1.30919001471278,31,8.20373543894682e-05
"q55",10,6,10,3,0,2.86206896551724,1.48141192137372,29,0.0262731500412672
"q56",16,6,3,2,4,2.09677419354839,1.4457947920245,31,
"q57",15,7,3,3,3,2.09677419354839,1.37489002492751,31,0.109470362208684
"q58",17,6,2,3,3,2,1.39044357430761,31,0.117636914499715
"q59",15,6,4,2,4,2.16129032258065,1.43983272624631,31,
"q6",4,7,2,9,9,3.38709677419355,1.45321297716104,31,
"q60",13,9,3,2,4,2.19354838709677,1.40046075367382,31,
"q61",20,4,3,1,3,1.80645161290323,1.32713613566229,31,0.221333772289775
"q62",6,1,5,13,4,3.27586206896552,1.36005650418697,29,
"q63",9,7,4,8,3,2.64516129032258,1.40352857937353,31,
"q64",17,6,3,4,1,1.90322580645161,1.22078768860321,31,
"q65",9,6,5,9,2,2.64516129032258,1.35519708521858,31,0.0737953951721432
"q66",17,7,2,3,2,1.90322580645161,1.27422757542697,31,
"q67",8,6,8,7,1,2.56666666666667,1.22286642723176,30,
"q68",4,7,7,8,5,3.09677419354839,1.300124063559,31,
"q69",10,5,5,7,4,2.67741935483871,1.46940116542292,31,0.0596284313923903
"q7",1,1,2,8,19,4.38709677419355,0.98918887157909,31,
"q70",2,7,4,11,7,3.45161290322581,1.26065352568735,31,
"q71",11,10,3,4,3,2.29032258064516,1.3464409477606,31,
"q8",1,2,3,12,13,4.09677419354839,1.04418512757325,31,
"q9",8,10,2,8,3,2.61290322580645,1.38268866958157,31,
