"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",4.3581564037,1.1307821899,2.6477756738,22.8880277551,28.9787599874,4.21276595744681,1.08219121939593,60.0035020099,
"q10",8.6885573469,5.9808988536,6.5721935285,25.4360753855,13.3257768954,3.53191489361702,1.31630351709672,60.0035020099,
"q11",7.1086028589,6.2542151239,4.1366555403,23.9007168185,18.6033116683,3.72340425531915,1.31384149099492,60.0035020099,
"q12",1.1307821899,1.1307821899,18.9546207707,38.7873168594,0,4.59574468085106,0.648059795553154,60.0035020099,
"q13",1.1307821899,2.4419246413,18.5463271492,37.8844680295,0,4.5531914893617,0.774835484313981,60.0035020099,
"q14",2.9585621772,3.3586139508,2.2615643798,15.0351280484,36.3896334537,4.31914893617021,1.10544861990454,60.0035020099,
"q15",4.3581564037,3.7448252448,17.2465047303,34.6540156311,0,4.34042553191489,1.0688595251722,60.0035020099,
"q16",1.6136871069,2.6477756738,19.0124181115,36.7296211177,0,4.51063829787234,0.776624256569863,60.0035020099,
"q17",7.4888369945,1.1307821899,11.0076299176,11.2753002795,26.8731208675,3.93333333333333,1.33824851612437,57.775670249,
"q18",5.4889385936,4.8418748158,5.9726570057,20.002570187,23.6974614078,3.87234042553191,1.27887554679876,60.0035020099,
"q19",3.2273742138,1.1307821899,1.1307821899,8.5642054447,40.4744463625,4.53488372093023,1.00827143948496,54.5275904008,
"q2",5.9381108917,3.6064394501,3.3248813319,22.784947479,24.3491228572,3.95744680851064,1.23283777995095,60.0035020099,
"q20",1.6136871069,5.3922449706,18.9011163573,34.0964535751,0,4.4468085106383,0.829051596398687,60.0035020099,
"q21",9.1370702154,5.3701085116,21.0077850541,20.647019361,0,3.97727272727273,1.06724240100116,56.1619831421,
"q22",4.3581564037,1.097049571,14.9327416414,16.7136192314,20.2878921075,3.86666666666667,1.14017542509914,57.389458955,
"q23",6.3580548046,7.8341696119,12.6812539345,12.3745873154,13.7194623857,3.4390243902439,1.30477546895634,52.9675280521,
"q24",5.9718435106,5.0060336766,13.5293836082,13.3313958969,15.1626039787,3.5609756097561,1.285472296236,53.001260671,
"q25",8.6196191844,14.4123402988,9.5847154573,18.7708986236,0,3.65,1.38767468292861,51.3875735641,
"q26",3.1306805908,1.1307821899,21.8716638193,32.256688303,0,4.41304347826087,0.908627462018565,58.389814903,
"q27",2.7444692968,1.1307821899,3.7448252448,17.024170002,32.6485185985,4.33333333333333,1.02247471629109,57.292765332,
"q28",1.6136871069,1.6136871069,1.1307821899,8.722745304,46.9226003022,4.65957446808511,0.814984548924778,60.0035020099,
"q29",1.6136871069,3.6064394501,3.7504442463,24.4690697863,23.4331808295,4.15555555555556,0.975974001972006,56.8728214191,
"q3",4.3581564037,7.8060559945,2.194099142,16.7001631012,28.9450273685,4,1.2853691738343,60.0035020099,
"q30",4.3581564037,7.414225699,11.9700575006,15.5457453351,18.1012740166,3.66666666666667,1.26131244777378,57.389458955,
"q31",5.9718435106,2.4756572602,2.7504464552,25.4004875718,21.8880737282,4,1.19256958799989,58.486508526,
"q32",4.3581564037,4.73722164,11.5740811283,16.4257210224,19.8743348477,3.77777777777778,1.2226812728383,56.9695150421,0.106267270436602
"q33",5.3922449706,4.73722164,9.4628809732,21.4362327402,9.9390493272,3.525,1.21923683570439,50.9676296512,
"q34",3.2273742138,1.1307821899,13.095220689,18.1582803114,21.7778015509,4,1.06600358177805,57.389458955,
"q35",2.7444692968,24.4117277837,28.1996308547,0,0,4.38636363636364,0.89484074433203,55.3558279352,
"q36",2.7444692968,9.4914040853,12.6471631587,19.4131103371,13.0933120771,3.55555555555556,1.13928916346106,57.389458955,
"q37",8.6196191844,1.6136871069,9.2593208227,18.8110247504,17.9887575196,3.70454545454545,1.32207633482153,56.292409384,
"q38",4.3581564037,1.6136871069,10.6551512425,14.5668312626,26.1956329393,4.04444444444444,1.16688309680797,57.389458955,
"q39",1.1307821899,4.0492250951,19.1091117345,32.5837023996,0,4.46666666666667,0.726135474462395,56.8728214191,
"q4",4.3581564037,2.8674875557,5.9440880501,13.7037463415,33.1300236589,4.21276595744681,1.1783586634321,60.0035020099,
"q40",4.8410613207,4.1703881592,7.4479583179,16.7841768559,25.2429238723,4,1.211060141639,58.486508526,
"q41",3.2273742138,5.9726570057,7.0077872723,18.1691711982,22.9787366461,3.95555555555556,1.18620011257406,57.3557263361,
"q42",3.2273742138,2.7444692968,8.2061077681,43.2115076763,0,4.57777777777778,0.941200608721959,57.389458955,
"q43",4.3581564037,2.4756572602,13.6672909012,36.8883543899,0,4.4,1.07449776851581,57.389458955,
"q44",4.8410613207,2.2278317609,3.3923465697,15.0894459569,31.8387733468,4.2,1.17936808966034,57.389458955,
"q45",3.2273742138,7.8056464998,13.3868827047,30.7754563947,0,4.27906976744186,1.03107852445293,55.195359813,
"q46",4.8410613207,3.3586139508,7.8056464998,14.3535060338,27.0306311499,4,1.22474487139159,57.389458955,
"q47",3.2273742138,1.1307821899,2.6533946753,13.1649265031,37.2129813729,4.44444444444444,1.0125475422184,57.389458955,
"q48",3.2273742138,3.7841768652,13.8356455081,37.6393119389,0,4.45652173913043,0.959317390164727,58.486508526,
"q49",3.2273742138,3.3586139508,8.2885514168,43.6119689446,0,4.56521739130435,0.958057616292082,58.486508526,
"q5",1.1307821899,4.5782264425,2.7107366779,15.7092637439,35.8744929557,4.38297872340426,0.990239134257845,60.0035020099,
"q50",1.6136871069,2.6533946753,15.449332615,38.7700941288,0,4.56521739130435,0.77895011716037,58.486508526,
"q51",3.2273742138,2.7444692968,7.6316728914,4.6296371302,40.2533549938,4.34782608695652,1.13953969857907,58.486508526,
"q52",3.2273742138,4.8812264362,11.2216024532,39.1563054228,0,4.45652173913043,0.982208887924004,58.486508526,
"q53",6.9721994586,5.703031474,9.1918555849,16.9591800412,19.6602419673,3.69565217391304,1.33115764518276,58.486508526,
"q54",5.8751498876,4.3581564037,6.6115451489,16.5749511416,25.0667059442,3.93478260869565,1.27195691599019,58.486508526,
"q55",7.4888369945,3.3248813319,6.8867438386,12.7093675519,26.9796292381,3.91111111111111,1.3787712286707,57.389458955,
"q56",4.3581564037,6.1030832476,2.6196620564,11.0181385343,34.387468284,4.15217391304348,1.29901486270426,58.486508526,
"q57",4.3581564037,1.6136871069,3.7841768652,11.7289768113,35.484517855,4.33333333333333,1.1481209945741,56.9695150421,
"q58",7.0688930816,9.0516145954,12.6419023141,29.7240985349,0,4.04347826086957,1.29882890395122,58.486508526,
"q59",5.9718435106,7.0753255782,11.4815335821,33.9578058551,0,4.19565217391304,1.22237592358109,58.486508526,
"q6",4.3581564037,6.317176128,21.7171262932,27.611043185,0,4.06382978723404,1.22304422969453,60.0035020099,
"q60",4.3581564037,2.7444692968,20.3568836871,31.0269991384,0,4.30434782608696,1.05133915063686,58.486508526,
"q61",5.8751498876,2.2278317609,7.7085947199,20.4479583086,20.6132867421,3.88888888888889,1.22886167248434,56.8728214191,
"q62",4.8410613207,4.1703881592,17.5351344049,30.8428750702,0,4.28888888888889,1.07918787272952,57.389458955,
"q63",4.3581564037,5.3303987343,5.0897003151,21.3646476181,22.3436054548,3.93478260869565,1.20004025697369,58.486508526,
"q64",2.7444692968,7.6830377356,1.6136871069,23.0721245987,23.373189788,4,1.17378779077727,58.486508526,
"q65",4.3581564037,6.7371200409,3.3248813319,18.3978639628,25.6684867867,3.97826086956522,1.25590393183171,58.486508526,0.40898759740727
"q66",2.7444692968,5.8414172687,11.797939087,20.8142774633,17.2884054102,3.80434782608696,1.10794234140774,58.486508526,
"q67",6.3509087469,3.7785578637,15.2851737542,11.5902328597,18.8619732451,3.59090909090909,1.33500599803864,55.8668464696,
"q68",2.7444692968,2.2615643798,10.5163831777,22.3234589638,20.6406327079,3.97826086956522,1.06435437780182,58.486508526,
"q69",4.3581564037,2.4756572602,8.011907027,19.1030832383,24.5377045968,4.02173913043478,1.16407579811974,58.486508526,
"q7",3.2273742138,1.097049571,9.4257202598,46.2533579653,0,4.63829787234043,0.895047531283252,60.0035020099,
"q70",2.2615643798,5.2618187287,6.7052426168,22.9903403796,21.2675424211,3.95652173913043,1.11468025787429,58.486508526,
"q71",4.3581564037,3.1306805908,7.8397886134,19.7509605112,23.4069224069,4,1.15470053837925,58.486508526,
"q8",3.2273742138,2.6196620564,11.7803416555,42.3761240842,0,4.5531914893617,0.928029952625169,60.0035020099,
"q9",8.1996752715,6.5308595137,7.2837994571,20.647898396,17.3412693716,3.57446808510638,1.36325506961422,60.0035020099,
