"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",440,856,1185,3383,1998,3.71775629610786,1.12452628769473,7862,
"q10",696,1210,1238,3530,1129,3.4083044982699,1.17322637268898,7803,
"q11",676,974,1280,3132,1533,3.50980908492429,1.20179060633125,7595,
"q12",225,321,786,3903,2529,4.0548686244204,0.922099462101624,7764,
"q13",107,178,726,3356,3294,4.24683461689075,0.826158158466957,7661,
"q14",537,760,979,3253,2249,3.76073540755978,1.17053802315775,7778,
"q15",548,681,1136,3285,2031,3.7251659940112,1.1548598294588,7681,
"q16",124,191,767,4040,2639,4.14405360134003,0.812669337920799,7761,
"q17",585,496,1328,2779,2253,3.75514043811316,1.18138939288162,7441,
"q18",504,885,1477,3268,1608,3.59299922500646,1.1296602828877,7742,
"q19",587,770,1085,3149,2117,3.70563051375195,1.18908336414226,7708,
"q2",287,817,1117,3864,1707,3.75551848049281,1.02649177708214,7792,
"q20",179,470,945,3606,2657,4.02990963472063,0.949727372436573,7857,
"q21",833,1314,1869,2499,1019,3.20666312715689,1.20285654469693,7534,
"q22",1136,1124,2109,1906,1041,3.08091853471843,1.26415951494006,7316,
"q23",1062,1185,2192,1841,749,3.00426803243705,1.20883392067899,7029,
"q24",939,1377,2176,2103,812,3.06372350479276,1.18808574284172,7407,
"q25",979,1029,2100,2108,929,3.1370188943317,1.22009917942013,7145,
"q26",271,398,871,3831,2419,3.99216944801027,0.969460643709008,7790,
"q27",388,608,2027,2988,1579,3.62740447957839,1.0568439846228,7590,
"q28",56,121,834,3000,3843,4.33091418385536,0.78221622513544,7854,
"q29",265,706,1347,3994,1298,3.70354796320631,0.971752721607083,7610,
"q3",545,982,1323,2820,2050,3.6279792746114,1.20119755401127,7720,
"q30",742,1389,1785,2668,988,3.23388800845219,1.1811704768105,7572,
"q31",699,1078,1817,2862,1117,3.3459659315991,1.16617051893823,7573,
"q32",809,1254,2166,2242,1017,3.1875,1.18631336006681,7488,
"q33",1627,1721,2119,1215,497,2.61470956957794,1.20173823844387,7179,
"q34",467,503,1982,2730,1342,3.56620159453303,1.08168554022742,7024,
"q35",183,227,1003,3951,2172,4.02202760084926,0.871760258333957,7536,
"q36",197,385,1070,3990,1930,3.9338351822504,0.9107476543822,7572,
"q37",718,657,1681,2601,1555,3.50166389351082,1.20870163795773,7212,
"q38",427,325,1281,2942,2017,3.82909038901602,1.08544702918413,6992,
"q39",187,298,1334,3977,1809,3.910322156476,0.885088917711811,7605,0.0558926679830291
"q4",363,631,1224,3235,2326,3.83943951664738,1.08405185214544,7779,
"q40",335,603,1512,3135,2155,3.79741602067183,1.06491391616659,7740,0.232821241621648
"q41",877,1197,1895,2085,1279,3.23073776080731,1.25323322759088,7333,
"q42",276,225,585,2646,3986,4.27507126198497,0.977326453313577,7718,
"q43",447,509,1054,2615,3062,3.95433849356056,1.14967399757833,7687,
"q44",516,563,1154,2576,2778,3.86160537761961,1.18668049811255,7587,
"q45",285,220,1286,2483,2833,4.03545799915576,1.03111353819724,7107,
"q46",469,608,1252,2672,2676,3.84381920020841,1.16363941963919,7677,
"q47",396,433,1023,2882,2912,3.97842008893539,1.09863101177001,7646,
"q48",278,389,741,2740,3589,4.15975184179915,1.028959344392,7737,
"q49",245,272,594,2628,3980,4.27296281901801,0.972001628142312,7719,
"q5",205,341,1012,3297,2875,4.0732212160414,0.955373549826281,7730,
"q50",190,394,558,3007,3563,4.2135632780083,0.956535734961249,7712,
"q51",465,477,1114,2253,3408,3.99287287806142,1.1728861846367,7717,
"q52",302,374,1066,2219,3759,4.13458549222798,1.07372762178065,7720,
"q53",1064,1387,1828,2240,1044,3.10749702499008,1.25822367151023,7563,0.0215989836613733
"q54",705,694,1896,2595,1328,3.43599334995844,1.17999871581864,7218,0.0162779297889707
"q55",384,413,1577,3099,1617,3.72665726375176,1.04708327246806,7090,
"q56",504,665,1347,3548,1534,3.65056593840484,1.09741715546959,7598,0.018997408308693
"q57",384,451,1442,3455,1587,3.73917201803525,1.0318168411946,7319,
"q58",637,818,1579,3015,1437,3.50721346513492,1.16753629996723,7486,
"q59",556,701,1514,3147,1567,3.59692718770875,1.13687343327037,7485,
"q6",258,555,923,3583,2449,3.95391349124614,1.00836599833234,7768,
"q60",534,564,1473,2573,2125,3.71412849085156,1.17684731094743,7269,
"q61",717,902,1954,2504,1501,3.41831617841119,1.20225568396825,7578,0.0836828313424126
"q62",374,430,1516,2967,1955,3.78693731013532,1.06599290528828,7242,
"q63",499,1251,1664,2852,1395,3.44289257277118,1.15260322343693,7661,0.0458629459828863
"q64",522,1222,1661,2945,1301,3.4288328323095,1.14629265886323,7651,0.0550166994718335
"q65",625,1183,1869,2590,1348,3.37465528562049,1.17968691281077,7615,0.00396874517395681
"q66",644,1277,2334,2375,990,3.23490813648294,1.13225186338964,7620,0.112916827117768
"q67",1078,1451,2126,1951,1044,3.05647058823529,1.24549677560897,7650,
"q68",507,958,1704,3032,1442,3.51602773779929,1.12957821833519,7643,
"q69",345,726,1281,3429,1850,3.74865679465339,1.06523299232382,7631,0.315642797432341
"q7",73,68,216,2417,5028,4.57126377851833,0.681853846892773,7802,
"q70",404,889,1269,3479,1594,3.65094957432875,1.09328940149859,7635,0.0258056515471617
"q71",453,891,1595,3242,1473,3.57368696106611,1.10342828168201,7654,
"q8",69,81,579,3243,3822,4.36874518860662,0.741626452079338,7794,
"q9",898,1577,1234,2947,1174,3.24546615581098,1.25547537805352,7830,
