"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",131.1343557128,240.5919321911,397.3200756495,1229.0095776914,837.1144494986,3.85484611851171,1.08000956845096,2835.1703907434,0.00308563206830587
"q10",192.4896859134,365.3391536932,403.1776189971,1341.2354205297,506.6638735738,3.56765523632993,1.13355332115177,2808.9057527072,0.0280565110865627
"q11",192.9970915332,298.1651452353,499.4237390142,1136.4171769796,597.7473957115,3.60869565217391,1.15287522751394,2724.7505484738,0.0111319347555197
"q12",71.8586006409,105.9039625809,304.4441740513,1364.8620432595,946.1353815336,4.07972027972028,0.910492279141777,2793.2041620662,0.0762728040461949
"q13",36.5013979299,53.4662201106,235.9951873092,1200.4073209056,1219.1898100842,4.27988614800759,0.807789313541247,2745.5599363395,
"q14",172.982084176,277.2504891307,381.8858952044,1144.3588880587,823.8107270853,3.76837209302326,1.16139413790799,2800.2880836551,
"q15",179.3987154465,232.2988732987,444.5128000951,1143.1671206168,767.5014071362,3.765065913371,1.13683827673007,2766.8789165933,
"q16",49.3438950208,54.9970636839,234.2652483937,1437.7862865921,1010.9651970745,4.19103222793087,0.806187467697821,2787.357690765,
"q17",195.730594133,156.2792910851,458.1580329811,1021.1781986438,857.789361692,3.83164005805515,1.15611316389297,2689.135478535,
"q18",128.2646034396,266.9532081495,489.1368046974,1227.8674143884,680.6312604938,3.74277726001864,1.0756930974373,2792.8532911687,
"q19",162.4721057093,241.0687926778,339.6190238797,1114.9353154739,905.1548733487,3.85667138142386,1.14645230050633,2763.2501110894,
"q2",79.4655028397,248.0913111939,358.4908386021,1426.3130821866,696.8464108459,3.86098239110287,0.985827882762747,2809.2071456682,
"q20",58.587822281,135.6966579562,300.8162036587,1272.7143932017,1066.1658381077,4.11764705882353,0.920739920581412,2833.9809152053,
"q21",243.8915548057,403.9091390514,652.0700619637,977.4725540688,441.9584156577,3.35488505747126,1.18609379149791,2719.3017255473,
"q22",353.0048119074,361.7296991249,749.5192292191,743.2973325412,431.749633631,3.21904292057227,1.25691472326199,2639.3007064236,
"q23",338.4331697331,419.4158183176,733.0423226426,706.0224877042,328.3217555114,3.11019567456231,1.22829808696416,2525.2355539089,
"q24",276.6423050773,442.9355305633,754.7210249345,835.3207592897,353.3778068329,3.21173594132029,1.18108841006571,2662.9974266977,
