"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",3872.6328281179,8634.8934026316,10863.7633109835,30671.4233499446,17368.166724655,3.71428182140229,1.11960798639689,71410.8796163326,
"q10",6041.5503896869,11074.9272130386,11406.6583666014,33200.6121251303,9100.1413087453,3.38733864322988,1.15561629142455,70823.8894032025,0.0461080662044185
"q11",5953.812710859,9364.7466914629,11349.3341305145,29840.196022176,12630.45328611,3.48072702717911,1.19371446429527,69138.5428411224,0.0564121398356741
"q12",1314.9943911208,2464.0879567106,6121.7063816558,36715.0581311173,24205.4910979915,4.13322711789913,0.851883358922613,70821.337958596,
"q13",645.7033518371,1093.2488305833,4535.7798630902,28323.8196908455,35471.9591160016,4.36942038640906,0.766417412339163,70070.5108523577,0.00990750911381507
"q14",3877.2872308275,7242.9193963041,9200.3070372488,31951.6747479242,18692.3412811132,3.77212031477064,1.11165883079077,70964.5296934178,
"q15",5335.379747063,6499.2867859561,9605.4683364398,29982.842536403,18788.7472852622,3.73825020079209,1.16857525344436,70211.7246911241,
"q16",1009.6397966583,2040.5163327409,7637.2765076426,37564.1098565232,22334.5236860321,4.12022595756407,0.806816937880932,70586.0661795971,
"q17",6581.1850665808,5869.0910101343,13393.9463379414,24744.6016915784,16331.7142103654,3.6161292203627,1.21420624236568,66920.5383166003,-0.00559034375003346
"q18",6060.4532416352,11230.6530388836,16481.0589082893,26101.1997568062,10450.8678016654,3.34855483335638,1.16462480778664,70324.2327472797,-0.0102334922547033
"q19",5498.6354467128,7491.5075471337,9672.2552013959,28314.66789147,18914.3159764341,3.67809210892688,1.2101058477287,69891.3820631465,
"q2",2201.3767127761,7201.9515510318,10007.3266449587,36486.3795931653,15054.1651246266,3.77927063339731,0.997970583236314,70951.1996265585,
"q20",2237.4854250805,5792.3701522179,9174.5843120884,33067.9478835103,21032.2632964354,3.95512330859887,0.990710884851438,71304.6510693325,0.00129284847059392
"q21",6309.3379435141,11962.0906416573,16329.2179771135,26743.8838094341,7840.8684506114,3.27647589004056,1.14372985470654,69185.3988223304,
"q22",9697.5814783558,10627.5719898324,18010.3918363959,19925.3547021302,7232.7147082557,3.09186039598074,1.22841262342868,65493.61471497,
"q23",11093.2635622005,12602.8191921639,18245.2823059647,16609.7218888184,4608.5207582537,2.88246048961884,1.19704995257474,63159.6077074012,-0.00612339227361841
"q24",9102.2412644921,13286.6151278525,18785.8583621218,19678.8324535595,5595.5604468382,3.01369098334166,1.17515836358715,66449.1076548641,
