"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",251,695,880,3309,2026,3.86077363496718,1.04415046019635,7161,
"q10",522,1151,1063,3450,931,3.43796543487424,1.12759984641932,7117,
"q11",559,1013,1051,3066,1286,3.50279569892473,1.17909422420039,6975,
"q12",124,281,595,3738,2376,4.11906100646612,0.847599410898636,7114,
"q13",69,132,527,2970,3366,4.33522083805209,0.775546288260535,7064,
"q14",326,669,826,3306,1976,3.83584400957342,1.07587364479864,7103,
"q15",337,491,781,3249,2207,3.91974522292994,1.06015925568932,7065,
"q16",68,201,693,3801,2332,4.14559548978154,0.777702356691894,7095,
"q17",482,578,1210,2531,1895,3.71370967741935,1.17263937956445,6696,
"q18",449,1174,1557,2777,1116,3.41524105754277,1.12756977829329,7073,
"q19",421,728,903,2817,2135,3.78769274700171,1.16000383546759,7004,
"q2",170,635,874,3781,1663,3.86087322757265,0.953063415952961,7123,
"q20",125,453,743,3337,2486,4.06466965285554,0.92684410018815,7144,
"q21",563,1252,1486,2812,808,3.29619997110244,1.1366713178669,6921,
"q22",847,1056,1774,2090,749,3.12860650705955,1.20259553956671,6516,
"q23",927,1290,1800,1695,453,2.91192214111922,1.171335513662,6165,
"q24",694,1292,1836,2173,580,3.09931558935361,1.13683165257229,6575,
"q25",691,950,1555,2513,792,3.27149669281649,1.17118009763847,6501,
"q26",270,515,874,3621,1801,3.87106340912301,0.997686652780775,7081,
"q27",294,686,1817,2761,1235,3.58251140880318,1.0337361734744,6793,
"q28",34,93,682,2642,3687,4.3806388344074,0.749835747453804,7138,
"q29",118,431,904,4053,1410,3.89733950260266,0.852634982356342,6916,
"q3",342,845,1063,2827,1991,3.74702886247878,1.13224149133272,7068,
"q30",476,1169,1624,2767,807,3.33026450387257,1.1028385568072,6843,
"q31",386,860,1376,3104,1158,3.55026147588611,1.08183323360645,6884,
"q32",523,983,1783,2545,955,3.35734276034762,1.12382240229361,6789,
"q33",931,1531,1921,1497,422,2.83306886702634,1.14525084578867,6302,
"q34",351,491,1601,2956,1127,3.61553784860558,1.02731912855772,6526,
"q35",89,238,725,3869,2006,4.07766709975458,0.800863587842218,6927,
"q36",87,238,769,3912,1913,4.05882352941176,0.79688055660739,6919,
"q37",576,682,1345,2614,1289,3.51613894866277,1.17773381645092,6506,
"q38",337,379,1042,2801,1702,3.82287174572752,1.06472369377757,6261,
"q39",74,150,760,3858,2081,4.11541239347104,0.761579728959528,6923,0.0611058049727381
"q4",215,477,854,3078,2511,4.00812894183602,1.00514017599104,7135,
"q40",174,389,1027,3040,2422,4.01347135564379,0.965268380580526,7052,0.225303597283973
"q41",545,912,1618,2302,1174,3.40421309723706,1.1734755398054,6551,0.0195963874500666
"q42",207,239,537,2649,3391,4.24989320803076,0.947830079632209,7023,
"q43",347,610,870,2547,2642,3.93030216647662,1.13525238162253,7016,
"q44",416,627,1039,2478,2381,3.83287710704509,1.16864274117841,6941,
"q45",243,232,1170,2425,2345,3.99719407638348,1.01669486995198,6415,
"q46",398,681,1194,2545,2170,3.77389811104751,1.15449966396198,6988,
"q47",313,446,982,2704,2469,3.95024587792884,1.07809378616891,6914,
"q48",196,427,701,2508,3202,4.15055444981518,1.01289586424246,7034,
"q49",191,306,596,2391,3547,4.25117337505334,0.972043631809628,7031,
"q5",106,258,683,3113,2908,4.19680249009621,0.866270274195498,7068,
"q50",179,465,594,2863,2909,4.12097004279601,0.990136647746742,7010,
"q51",384,521,1018,2133,2959,3.96393442622951,1.16428381509265,7015,
"q52",237,354,1085,2102,3244,4.10538308174309,1.05401859973625,7022,
"q53",636,1063,1571,2532,1043,3.33352812271731,1.18123572577019,6845,
"q54",472,544,1369,2678,1477,3.63363914373089,1.13287561333118,6540,0.0171054555812526
"q55",294,448,1245,3081,1379,3.74499767333644,1.0151486913219,6447,
"q56",364,682,1293,3319,1207,3.62971595047342,1.04966541636868,6865,
"q57",283,547,1379,3094,1175,3.66857054646496,1.00772230307782,6478,
"q58",499,918,1439,2793,1077,3.45063931013976,1.13406937436323,6726,
"q59",445,683,1389,2972,1224,3.57306718307761,1.10033114440116,6713,0.0088301525495422
"q6",161,471,833,3456,2161,3.98630330415137,0.945161488179584,7082,
"q60",355,468,1363,2502,1942,3.78552036199095,1.10314420249833,6630,
"q61",408,650,1406,2674,1774,3.6880787037037,1.12710502975968,6912,0.100095314537188
"q62",251,381,1203,2905,1768,3.8540258143823,1.0082893351521,6508,
"q63",350,1148,1360,2881,1233,3.50186460126219,1.11103383318418,6972,0.0273993214192144
"q64",363,1150,1510,2847,1086,3.45184013801035,1.09720686137788,6956,
"q65",459,1009,1447,2662,1358,3.49762076423937,1.15322441722189,6935,
"q66",421,1021,1953,2604,935,3.37655033169887,1.07860853756882,6934,0.141888032918836
"q67",806,1357,1817,2071,898,3.12922722693913,1.20734379410465,6949,0.016443319903054
"q68",272,806,1594,3002,1250,3.59965337954939,1.0343123264997,6924,
"q69",258,629,1002,3299,1758,3.81629714943853,1.02969552858887,6946,0.304903027965812
"q7",23,26,121,1975,4966,4.664322880045,0.563760070394762,7111,
"q70",369,822,1052,3205,1506,3.66968651136037,1.09968223098601,6954,0.0458992442175641
"q71",269,654,1213,3291,1515,3.73883607029674,1.02493827022878,6942,
"q8",19,56,427,2911,3720,4.43796439085939,0.667089429267045,7133,
"q9",648,1539,1166,2864,923,3.26260504201681,1.1949967806717,7140,
