"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",39.9301983624,45.9858317688,50.7429923723,234.4021063585,113.2494077635,3.67621776504298,1.17738826427645,484.3105366255,
"q10",24.9950137589,45.8582388762,78.0025610897,258.164638636,74.8159783644,3.65706051873199,1.02594972458077,481.8364307252,
"q11",65.1200306293,64.0941887813,60.9850776503,190.4075855584,78.2021990973,3.31117824773414,1.31535067392851,458.8090817166,0.144186017082496
"q12",30.2381067092,29.7177749851,46.7254689461,222.8865618676,152.5091447767,3.88184438040346,1.1227490256315,482.0770572847,
"q13",14.9674535417,27.2225657099,62.0863820649,201.7913584545,166.8507087384,4,1.00878494181046,472.9184685094,0.000634815447374538
"q14",23.049514032,26.1191033445,38.4722175881,180.6348603483,216.2493073665,4.10315186246418,1.08316072844852,484.5250026794,
"q15",26.7800519119,40.1907654779,58.0239767788,188.7888610997,166.7468011361,3.88728323699422,1.13265629339379,480.5304564044,
"q16",13.7815523218,24.2374516766,38.6791260837,233.2248491598,174.7320409879,4.08022922636103,0.952542848557884,484.6550202298,0.0306704202652726
"q17",49.9484838684,39.7958679597,101.1373004546,132.6260349175,131.2829008749,3.56574923547401,1.29455726074262,454.7905880751,0.0225784621239895
"q18",49.0880811457,68.5860067672,114.6685944483,168.6396888394,80.4921976595,3.3371757925072,1.20157703728148,481.4745688601,
"q19",55.584659021,52.0403271908,49.0563428596,171.0171570471,148.3399257338,3.62099125364431,1.33850844692754,476.0384118523,0.00484612057876681
"q2",28.5072489075,61.4703805137,60.1499889992,242.3486330794,91.9232654222,3.61604584527221,1.12258699489641,484.399516922,
"q20",12.2424753536,34.7743761632,57.3641779917,223.3457643624,154.9663229739,3.97701149425287,0.983752874174583,482.6931168448,0.0190983154893288
"q21",41.2312826668,60.8823556772,108.1803961347,178.2690484464,78.0157366208,3.40178571428571,1.17022631893436,466.5788195459,
"q22",84.57385923,59.797114394,95.8304722155,136.6834025908,68.8956176849,3.11214953271028,1.34856708308118,445.7804661152,0.00801809858464652
"q23",64.9023193724,66.3319985071,116.7082854352,128.1910907215,34.4654139588,2.99319727891156,1.20576883345007,410.599107995,
"q24",72.1724933401,66.9922011895,106.8583454343,147.6726475487,45.2961720391,3.06012658227848,1.25717950245237,438.9918595517,
"q25",63.5410298311,54.6605974139,94.7245734281,152.8374894978,58.0838228662,3.21241830065359,1.26386450100867,423.8475130371,0.0477816575328764
"q26",26.1750226344,25.8497450206,59.8220534873,229.2768198496,137.4782995336,3.90144927536232,1.04359797369697,478.6019405255,
"q27",31.1181318803,38.5720740008,119.3185553977,174.8893238793,96.6494121753,3.57831325301205,1.11426327444573,460.5474973334,
"q28",5.4603317206,9.9318338344,60.4053349308,180.6783126344,225.9117190096,4.26149425287356,0.844040001695745,482.3875321298,
"q29",26.9591910418,37.4901541096,63.3271400881,242.7279294819,88.71434189,3.7027027027027,1.06075610616663,459.2187566114,0.0919908200587662
"q3",51.0721137608,69.9093819768,68.1515123311,161.7090173065,125.7481120138,3.49271137026239,1.32644247689806,476.590137389,
"q30",66.7570409125,121.6287871956,101.6576484713,135.4446901736,34.5361955363,2.87087087087087,1.20421879822495,460.0243622893,
"q31",69.9306348321,78.8520942758,100.2279074739,160.263040761,53.1018791441,3.09850746268657,1.26177004003351,462.3755564869,
"q32",80.3654153091,84.0940205571,130.2944572609,126.5529629445,33.9644085687,2.88484848484848,1.21743195065719,455.2712646403,
"q33",84.9561170725,69.0355520334,93.0009785216,148.5395828369,41.0500302511,2.97784810126582,1.28834203373993,436.5822607155,
"q34",39.6236132666,40.8768929748,77.7157860048,168.9963096579,102.36228506,3.62135922330097,1.19888886480359,429.5748869641,0.0521510847320972
"q35",11.9190681195,10.1049645277,43.9735040438,213.7104654963,189.4027690416,4.19822485207101,0.887965926364018,469.1107712289,
"q36",27.8888516704,32.7981691545,71.7167217694,212.769830309,105.9420011524,3.74539877300613,1.08112206406764,451.1155740557,
"q37",79.6241492377,56.1817559942,74.9664794844,144.5382386422,78.621909231,3.19230769230769,1.38487644225992,433.9325325895,
"q38",45.2391955009,18.0869630232,75.4182896409,156.591241627,110.7981218215,3.67006802721088,1.23514600792194,406.1338116135,
"q39",20.3217627275,31.0874178492,90.3072425358,236.5168580586,73.6110396524,3.6605504587156,0.992797838850627,451.8443208235,0.0385746643136395
"q4",34.705444098,57.0209440853,67.3980314101,198.7671388631,127.9518991736,3.66285714285714,1.20197681355992,485.8434576301,0.199964324932495
"q40",39.4828571279,52.4333025689,99.3750761145,181.432397169,103.7197756966,3.53197674418605,1.18745661981707,476.4434086769,0.0984671328227583
"q41",98.2314340276,90.5995632665,94.5054674581,107.0854122407,60.5146081482,2.85626911314985,1.3546609476855,450.9364851411,
"q42",18.3101817777,25.0624215174,33.8671487216,153.1203418316,241.0501550935,4.23235294117647,1.03997407167455,471.4102489418,
"q43",44.5759282299,41.3577139888,58.4789293281,144.8304943937,184.5656096604,3.80409356725146,1.30403644611762,473.8086756009,
"q44",43.868933946,56.1753069434,65.8877188866,131.8680947433,165.0362496765,3.69161676646707,1.32342776224477,462.8363041958,0.0622460247844025
"q45",20.2690909037,19.5590710462,67.7331383462,116.5313335969,183.7722489058,4.04778156996587,1.12464767393219,407.8648827988,
"q46",47.2724612891,40.3209339621,80.7363382334,146.2046317419,156.3503259237,3.68823529411765,1.28865361717699,470.8846911502,
"q47",37.170113957,33.6502183049,58.2615553214,163.0297104097,177.2679975318,3.87020648967552,1.21904158389752,469.3795955248,
"q48",26.3786553444,31.5599628705,48.2859479981,150.3720483652,217.0843984399,4.04970760233918,1.15658889043037,473.6810130181,
"q49",26.0058705013,21.015174187,43.1252127078,143.9922150452,240.8609955275,4.16618075801749,1.11807020565565,474.9994679688,-0.0607077630379184
"q5",11.1947969968,17.071782694,64.3478571547,217.7530003909,168.3128860913,4.06666666666667,0.917318302562995,478.6803233277,0.153575951326739
"q50",25.5123097885,33.4552074111,36.188057963,175.1283037117,201.7381103716,4.04692082111437,1.13143488656475,472.0219892459,
"q51",43.8295486263,49.4045349646,61.2503561005,116.7207160244,202.4758573023,3.80994152046784,1.33818956662283,473.6810130181,
"q52",31.6598604115,33.5057982332,74.6670939004,114.9235565954,218.7102378237,3.96783625730994,1.23089052810203,473.4665469642,
"q53",97.8923281397,113.6097952571,94.3855468516,110.9152584254,38.3516372214,2.72424242424242,1.28340596979331,455.1545658952,
"q54",63.3328334651,56.1511717354,90.4522899862,141.0225954309,68.7931378526,3.21782178217822,1.30666118469056,419.7520284702,0.0140912316265579
"q55",40.8505160525,47.5673416105,96.9775369969,173.1573444797,67.1641543693,3.42857142857143,1.16885279015118,425.7168935089,
"q56",58.3241727705,60.0971593968,92.26546262,199.0700487653,53.1810110155,3.27844311377246,1.21934456673654,462.9378545681,
"q57",45.9606295803,54.6598886044,89.6291392532,183.0326344022,55.4205597583,3.3462783171521,1.18698053582101,428.7028515984,
"q58",66.7116798304,88.6714563679,86.9431466103,142.6146809759,63.1334842754,3.09538461538462,1.30057332671312,448.0744480599,
"q59",70.5400429244,75.8872344438,92.9442839379,162.3436620041,60.681930295,3.12275449101796,1.29444071875817,462.3971536052,
"q6",28.980822398,39.4765532114,56.2054813047,220.885941777,129.5957033556,3.78362573099415,1.12292598536272,475.1445020467,
"q60",52.4405191442,36.0979219548,80.8493274124,146.4264352143,122.9807184623,3.58805031446541,1.30642019510075,438.794922188,
"q61",66.4715270473,73.3210446955,103.776767008,148.6990959555,71.8925682784,3.17857142857143,1.28282071930095,464.1610029847,
"q62",22.9423422438,31.0491798711,111.6028844166,187.3570360783,80.9848475023,3.63174603174603,1.04253876141498,433.9362901121,0.00582649852215036
"q63",34.9649380059,91.0941622177,93.7762602982,163.9717870413,79.9562494528,3.34328358208955,1.19820522976402,463.7633970159,0.0335357002664061
"q64",56.6716290977,101.4980453185,85.3257920033,161.1889886829,61.7261200946,3.14836795252226,1.26371240980066,466.410575197,
"q65",50.3932629944,76.1744809578,77.0356970334,172.0603180188,91.1394989832,3.38575667655786,1.27224449213205,466.8032579876,0.133747714825295
"q66",54.6488637289,86.0955388373,126.1949980814,144.1457757642,49.6659467042,3.0960960960961,1.18845465738725,460.751123116,0.0364634281340266
"q67",78.7305064968,96.5733946071,138.8621591471,102.9655145574,50.6379958396,2.88757396449704,1.24186111248518,467.769570648,
"q68",27.6956892777,63.3674117704,106.5678828068,189.0027717182,78.0296281545,3.49107142857143,1.09813031644594,464.6633837276,0.0474145425600125
"q69",31.1522128352,51.9698408749,74.0713624679,198.7434653936,107.8727434407,3.64179104477612,1.14647980541785,463.8096250123,
"q7",8.3524997332,4.0900576415,13.4559130297,136.2008885026,317.0881279526,4.56811594202899,0.752223980441282,479.1874868596,
"q70",28.1187677834,43.7713130701,54.0781453146,192.394443407,148.1788447976,3.82789317507418,1.14955711471116,466.5415143727,
"q71",37.4268800867,69.6836556451,98.6406095153,176.5447014725,81.6604739244,3.40298507462687,1.18194629771186,463.956320644,
"q8",9.3444782331,5.1883129396,40.1917514733,185.6232807961,239.6864128131,4.32947976878613,0.841736139520586,480.0342362552,
"q9",36.367919605,86.9571302461,58.0394688109,206.9014846693,97.5774542988,3.49428571428571,1.21769260336902,485.8434576301,
