"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",5192,8656,7692,15409,6050,3.1969580687923,1.25167883089157,42999,
"q10",5118,7108,7196,19205,4156,3.23778136175584,1.19398522803429,42783,
"q11",7448,7879,7162,14578,5309,3.05713139512932,1.31563491086985,42376,
"q12",3118,2982,4945,20413,11079,3.78409384770905,1.127051218599,42537,
"q13",1681,1387,3559,16138,19837,4.19860569926295,0.997551016151101,42602,
"q14",4292,5319,5995,18008,9058,3.52073959505062,1.23569023689837,42672,
"q15",4726,4344,6474,17095,9733,3.53726517511564,1.25789999216096,42372,
"q16",2164,2636,6345,20539,10858,3.82955667340511,1.03971482690985,42542,
"q17",6631,4979,7627,13392,8557,3.29779536735784,1.35368991377197,41186,
"q18",6504,8017,9886,13343,4512,3.03175429463821,1.24381896925419,42262,
"q19",4215,4576,6278,16394,10446,3.5793504975065,1.25063093669713,41909,
"q2",3093,6700,7215,20043,5924,3.44223385689354,1.12517969947747,42975,
"q20",2407,5001,6013,19469,10087,3.69404565232566,1.11828377320482,42977,
"q21",7348,9770,10769,11108,2692,2.80871734593518,1.19484001631989,41687,
"q22",12580,8475,9738,7544,2666,2.49371997170939,1.2734616686607,41003,
"q23",12625,9194,9283,7488,1937,2.4304537715597,1.23472489833683,40527,
"q24",10605,9801,9893,8782,2378,2.57854748064353,1.23420074807442,41459,
"q25",10586,7867,9005,10332,3195,2.69947541783579,1.30335981096355,40985,
"q26",3263,3729,6229,21414,8126,3.64102803956877,1.11465889952341,42761,
"q27",4675,5307,12356,13864,5487,3.24421310177745,1.17272326257127,41689,
"q28",836,1516,7610,17446,15492,4.05459207459207,0.923192464984429,42900,
"q29",2827,5337,7631,21060,4798,3.472114853672,1.06916371466213,41653,
"q3",7007,9102,7524,12536,6742,3.06767495513971,1.33467000443836,42911,
"q30",7789,10596,9775,10673,2668,2.75506614298451,1.20847656106234,41501,0.0244831897330961
"q31",7706,9503,9303,11592,3382,2.84189847177361,1.24603758690704,41486,
"q32",9000,9993,10382,8823,2853,2.67201773403815,1.22710007187052,41051,
"q33",14644,10543,8891,4612,1395,2.1909941374579,1.15070112740575,40085,
"q34",4601,3635,11849,13457,4971,3.27424506010957,1.16738213401601,38513,
