"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",199,499,589,1308,652,3.52817985833077,1.15165122192316,3247,
"q10",249,491,495,1597,399,3.43515939337666,1.12227184072889,3231,
"q11",300,443,509,1326,629,3.48051138135329,1.21650788795811,3207,
"q12",68,111,321,1633,1095,4.10780669144981,0.868568179346901,3228,
"q13",24,52,217,1338,1596,4.37279206693523,0.744588067185109,3227,
"q14",198,369,438,1439,789,3.69656665635633,1.1382378319005,3233,
"q15",117,143,265,1402,1296,4.12224635432827,0.986852575783138,3223,
"q16",54,87,353,1637,1099,4.12693498452012,0.831770184752766,3230,
"q17",227,236,542,1165,964,3.76675175494576,1.17459210961064,3134,
"q18",377,552,796,1053,421,3.18412003751172,1.21082170915151,3199,
"q19",135,194,334,1267,1266,4.04349186483104,1.05926933668134,3196,
"q2",92,361,493,1649,651,3.74121996303142,0.99282864157906,3246,
"q20",67,243,407,1481,1049,3.98614105327995,0.966215557636776,3247,
"q21",296,585,921,1059,283,3.14249363867684,1.1133875482524,3144,
"q22",493,585,948,753,267,2.90676296782666,1.19543750644291,3046,
"q23",485,615,911,789,194,2.86372745490982,1.16531921000667,2994,
"q24",384,619,927,916,248,3.00808015513898,1.14610037541265,3094,
"q25",403,457,764,1129,344,3.17888278979658,1.20223990650031,3097,
"q26",121,226,463,1673,747,3.83560371517028,0.982300088173459,3230,
"q27",189,344,917,1206,497,3.46875991119569,1.0688798235415,3153,
"q28",14,37,379,1222,1591,4.33795868023435,0.760206570854997,3243,
"q29",89,306,494,1778,502,3.72514988955506,0.93703364727448,3169,
"q3",220,461,537,1214,815,3.59839852171235,1.19718190255207,3247,
"q30",246,543,732,1261,364,3.30324221233312,1.12136456298874,3146,
"q31",244,455,748,1260,462,3.39160618491638,1.13108856408781,3169,
"q32",312,538,913,999,365,3.18132395267029,1.15111969730741,3127,
"q33",680,798,855,530,166,2.57213601848795,1.17175706675948,3029,
"q34",162,203,784,1334,532,3.62056384742952,1.02262478961651,3015,
"q35",87,148,384,1791,768,3.94556324732536,0.890191090064088,3178,
"q36",74,156,369,1778,801,3.96790434235368,0.879366212901569,3178,
"q37",271,307,659,1213,615,3.52006525285481,1.17566380157371,3065,
"q38",193,155,503,1267,862,3.82214765100671,1.10352638317337,2980,
"q39",29,83,379,1655,1024,4.12365930599369,0.78393573645583,3170,0.0758440943951633
"q4",127,264,449,1402,1004,3.8909426987061,1.05523768349714,3246,
"q40",113,222,527,1330,1008,3.905625,1.03267933923994,3200,0.255580902385407
"q41",424,557,858,731,377,3.02714625042416,1.23452103780871,2947,
"q42",89,117,295,1285,1402,4.1900878293601,0.945785952809005,3188,
"q43",179,308,530,1180,979,3.77833753148615,1.14959076897623,3176,
"q44",202,272,534,1203,957,3.77051767676768,1.15572548878797,3168,
"q45",112,121,649,1112,960,3.90961408259986,1.02075763182249,2954,
"q46",198,289,663,1186,843,3.68795218622208,1.14059601644441,3179,
"q47",198,267,615,1193,873,3.723458359822,1.14141696072634,3146,
"q48",99,185,366,1274,1266,4.0730407523511,1.0088945147821,3190,
"q49",76,125,298,1207,1481,4.22121117037967,0.93864611881814,3187,
"q5",40,95,316,1398,1392,4.23634680654119,0.836467872610971,3241,
"q50",73,163,247,1404,1298,4.15886970172684,0.933332349588497,3185,
"q51",162,251,464,1058,1249,3.93624371859296,1.14349881078987,3184,
"q52",123,200,470,962,1434,4.06114769520226,1.0916410182594,3189,
"q53",312,490,848,1079,406,3.24784688995215,1.16429860709888,3135,0.0206180047229572
"q54",199,245,644,1261,697,3.66053841103086,1.11136784860443,3046,0.0412182703046208
"q55",108,185,611,1447,689,3.79736842105263,0.974701200807214,3040,
"q56",172,316,677,1413,548,3.59149072296865,1.06061622137035,3126,
"q57",127,255,753,1299,545,3.6310842564619,1.01293872549246,2979,
"q58",246,386,729,1219,485,3.42773246329527,1.13803268315579,3065,
"q59",180,314,726,1303,531,3.55370006548788,1.07447733152055,3054,
"q6",77,201,351,1482,1121,4.04238861386139,0.957660275521531,3232,
"q60",175,246,635,1097,881,3.74588002636783,1.1309093616567,3034,
"q61",205,282,676,1199,791,3.66254360926102,1.1378560970274,3153,0.102162488278957
"q62",119,149,588,1301,882,3.88121092464627,1.00919360840002,3039,
"q63",175,535,668,1210,571,3.46438746438746,1.13214077981817,3159,
"q64",190,550,790,1157,471,3.37017099430019,1.11406336876785,3158,0.0410489911916165
"q65",247,511,704,1107,587,3.404309252218,1.18603888597279,3156,
"q66",204,450,898,1167,434,3.3732952743419,1.08777695902931,3153,0.0940226905081588
"q67",566,686,914,690,300,2.83269961977186,1.22722231542878,3156,
"q68",314,546,813,1079,398,3.22253968253968,1.17085921426597,3150,
"q69",133,261,548,1408,794,3.78530534351145,1.04588965746253,3144,0.296205615229276
"q7",16,17,81,1032,2098,4.59648581997534,0.61755586856658,3244,
"q70",239,496,561,1320,537,3.45036473200127,1.16534156565537,3153,0.0199842406175893
"q71",137,306,605,1400,704,3.70685279187817,1.05319208910136,3152,
"q8",11,32,238,1331,1629,4.3992594878124,0.697738459342248,3241,
"q9",472,750,542,1136,344,3.04007398273736,1.25953537070614,3244,
