"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",645.8648361756,1130.599889573,1289.040746396,2917.6827430747,1381.409569989,3.46025260029718,1.20339896177638,7364.5977852083,
"q10",1012.6043000477,1249.4724345092,1206.2896561442,3068.3365520969,750.914778736,3.17661411411411,1.23681756415176,7287.617721534,0.00994379019582001
"q11",950.6098658563,1203.6853124218,1214.9268681373,2646.2961719048,1086.3086852626,3.25317429780685,1.27955328697834,7101.8269035828,0.105304886455926
"q12",252.3917201518,337.6853654344,819.4945749708,3737.096238708,2118.8939279355,3.98212269476854,0.952010725969416,7265.5618272005,
"q13",135.5129449869,201.7399875303,640.2693282964,2955.2461889035,3253.7713683146,4.25014277555682,0.877200463771081,7186.5398180317,
"q14",705.0803772979,964.3682694931,1054.8922521653,3007.0498411215,1570.4202129005,3.51245551601424,1.23835313687354,7301.8109529783,
"q15",687.8758495877,717.652949378,1135.1020630022,2771.6625459255,1859.0877867884,3.62717038733066,1.23370995583359,7171.3811946818,
"q16",149.0308907049,250.9404769556,917.7413109232,3748.6797611986,2179.5146418891,4.04322385805964,0.871929385130048,7245.9070816714,
"q17",834.1370935411,586.8007755009,1518.5690334957,2414.4803090864,1565.0440032464,3.49653945026696,1.26636357691457,6919.0312148705,
"q18",915.0047953833,1327.8761494799,1718.3179733212,2397.8353081527,878.6766611197,3.14423258448178,1.22411308801052,7237.7108874568,
"q19",640.8501221229,630.3861425694,936.9394426787,2821.1472255512,2112.2145500533,3.7318896128785,1.22399447008472,7141.5374829755,
"q2",409.73624962,1169.2037369641,1241.8272109531,3343.7366793854,1157.4080970634,3.50494864612512,1.10831230089216,7321.911973986,
"q20",303.0010594165,679.0299677989,997.1970966349,3315.6102083149,2038.12751147,3.83358208955224,1.06353100303516,7332.9658436352,
"q21",1172.6633829101,1551.4159074235,1824.4692590513,1848.0074714945,539.1374304062,2.86130811662727,1.2116317145265,6935.6934512856,
"q22",1464.3154044167,1246.7330432112,1941.9079625503,1523.0240071492,574.8505492662,2.80243654822335,1.25785676757322,6750.8309665936,
"q23",1510.0338663542,1424.4730455224,1900.1828871643,1320.9150055495,379.2575914721,2.6490163248221,1.20951502751514,6534.8623960625,
"q24",1251.6250505272,1412.6444253249,1917.2995649053,1733.3260249364,520.4648326182,2.84233693477391,1.2173912788565,6835.359898312,
