"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",5,4,5,14,5,3.3030303030303,1.31064985038073,33,
"q10",10,8,3,10,1,2.5,1.31982403519218,32,
"q11",5,3,5,16,3,3.28125,1.250403160791,32,
"q12",3,2,2,14,12,3.90909090909091,1.23398836004529,33,
"q13",2,1,12,16,0,4.29032258064516,1.03902352835396,31,
"q14",5,3,5,17,3,3.3030303030303,1.23705417436062,33,
"q15",5,4,4,16,4,3.3030303030303,1.28658580370803,33,
"q16",2,2,5,20,4,3.66666666666667,0.98952850725316,33,
"q17",6,5,7,8,5,3.03225806451613,1.37801477901465,31,
"q18",7,8,5,12,0,2.6875,1.20315445607008,32,
"q19",5,1,6,15,5,3.4375,1.26841277498373,32,
"q2",4,4,5,18,2,3.3030303030303,1.15879378247513,33,
"q20",2,6,6,16,3,3.36363636363636,1.08449820822183,33,
"q21",9,4,8,12,0,2.6969696969697,1.23705417436062,33,0.105754110396299
"q22",6,6,9,10,1,2.8125,1.17603763380643,32,
"q23",6,11,8,6,1,2.53125,1.10670609788542,32,
"q24",6,7,9,10,0,2.71875,1.11396921831568,32,
"q25",8,2,4,15,1,2.96666666666667,1.3514572807193,30,
"q26",3,2,5,20,3,3.54545454545455,1.06333523320814,33,
"q27",6,3,8,13,2,3.0625,1.24272074043595,32,
"q28",4,1,5,17,6,3.60606060606061,1.19737718418722,33,
"q29",4,5,9,14,1,3.09090909090909,1.10010330093463,33,
"q3",4,5,4,10,9,3.46875,1.39085434408194,32,
"q30",5,10,8,10,0,2.6969696969697,1.07485023622039,33,
"q31",6,5,5,14,3,3.09090909090909,1.30775658007416,33,
"q32",6,6,8,11,2,2.90909090909091,1.23398836004529,33,
"q33",9,7,3,9,1,2.51724137931034,1.32612996710548,29,
"q34",4,4,9,12,2,3.12903225806452,1.14722666995588,31,
"q35",1,8,14,7,0,3.86666666666667,0.899552890217607,30,
"q36",1,4,9,14,4,3.5,0.983738753675929,32,
"q37",5,3,8,9,6,3.25806451612903,1.34083908891619,31,
"q38",5,2,10,9,5,3.2258064516129,1.28347646178533,31,
"q39",3,9,11,9,0,3.71875,1.17045276599244,32,
"q4",4,3,4,8,14,3.75757575757576,1.41488301261763,33,
"q40",5,3,8,11,6,3.3030303030303,1.31064985038073,33,
"q41",8,1,10,9,3,2.93548387096774,1.34003691170474,31,
"q42",3,1,5,14,10,3.81818181818182,1.18465568453838,33,
"q43",5,4,3,11,10,3.51515151515152,1.43877578433047,33,
"q44",6,1,7,17,2,3.24242424242424,1.22551782500049,33,
"q45",6,2,2,16,6,3.4375,1.38976674766064,32,
"q46",6,3,5,19,0,3.12121212121212,1.1926225240404,33,
"q47",6,5,5,14,3,3.09090909090909,1.30775658007416,33,
"q48",3,4,4,15,7,3.57575757575758,1.22551782500049,33,
"q49",3,4,2,15,9,3.6969696969697,1.26206300567881,33,
"q5",4,3,10,14,0,3.96774193548387,1.32875558243398,31,
"q50",1,1,1,20,10,4.12121212121212,0.857233039988826,33,
"q51",6,2,8,12,4,3.1875,1.30600350738056,32,
"q52",5,2,8,13,5,3.33333333333333,1.26655701279756,33,
"q53",9,4,11,7,0,2.51612903225806,1.15096967066717,31,
"q54",8,1,7,13,1,2.93333333333333,1.31131240743198,30,
"q55",9,1,8,12,2,2.90625,1.3526407863044,32,
"q56",7,2,10,13,1,2.96969696969697,1.2115292114939,33,
"q57",6,4,7,12,1,2.93333333333333,1.22989579971676,30,
"q58",5,3,7,17,1,3.18181818181818,1.15797629116882,33,
"q59",5,4,5,18,1,3.18181818181818,1.18465568453838,33,
"q6",4,5,3,13,8,3.48484848484848,1.34910183365666,33,
"q60",6,4,11,9,3,2.96969696969697,1.23705417436062,33,0.44342643430012
"q61",7,4,8,11,3,2.96969696969697,1.31064985038073,33,
"q62",3,4,8,14,3,3.3125,1.1198358174592,32,
"q63",5,5,5,15,3,3.18181818181818,1.26131244777378,33,
"q64",6,3,9,10,4,3.09375,1.30407240547052,32,
"q65",6,6,7,10,4,3,1.3228756555323,33,
"q66",8,7,5,12,1,2.72727272727273,1.2814232144555,33,
"q67",8,9,7,5,4,2.63636363636364,1.34206421740406,33,
"q68",9,4,7,10,3,2.81818181818182,1.37964092825238,33,
"q69",5,2,6,15,5,3.39393939393939,1.27326828328209,33,
"q7",1,1,14,17,0,4.39393939393939,0.826868865789565,33,
"q70",6,6,2,13,5,3.15625,1.41670619805692,32,
"q71",6,3,7,11,6,3.24242424242424,1.36999778809819,33,
"q8",2,2,17,12,0,4.12121212121212,0.992395326897746,33,
"q9",8,11,5,9,0,2.45454545454545,1.1481209945741,33,
