"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",2907.7851494011,6848.6311473671,7514.8312919032,20391.4935969449,9562.4602727931,3.59109557817961,1.13748427946095,47225.2014584094,
"q10",6291.538575286,10083.4885784741,8291.3807726803,18587.8205927073,3452.8922819918,3.0670148623219,1.20270675386953,46707.1208011395,0.0312058632314217
"q11",4570.0648436971,6765.4963647361,7808.6220155994,19538.0318842561,6555.6202624237,3.38921918351169,1.19108337222229,45237.8353707124,0.0594448066198291
"q12",1394.9778233864,2371.2749743309,5171.6771241502,24296.1262515998,13395.9650392486,4.00326897930928,0.922243743920969,46630.0212127159,
"q13",549.674036832,753.3849556182,3426.0805300484,19915.4332593217,21528.8131772377,4.33025242718447,0.774650148208489,46173.385959058,
"q14",2944.3614521493,5247.0688654099,7043.7315230223,21509.7915241048,10113.6508157209,3.66113045807661,1.12015098973811,46858.6041804072,
"q15",3286.5787622702,4583.9394802718,7448.0158964066,21321.2309832337,9723.6572461266,3.65774408169581,1.12045279981353,46363.4223683089,
"q16",1036.8670896254,2005.4501828732,5999.6334407253,26022.7099972832,11564.4745572328,3.98103554392984,0.857216529149985,46629.1352677399,
"q17",5500.4342912678,4898.765346126,8679.514806305,16298.6881136531,9385.9939345215,3.44461803469134,1.26985764388799,44763.3964918734,
"q18",4812.4800138389,7966.8630221243,10937.6932339345,17405.1339981644,5444.3665359216,3.24918159060273,1.16854533245043,46566.5368039837,
"q19",3161.6938146632,5065.9961756764,6803.3960814786,21122.5090765873,10303.6244662106,3.6611184058083,1.13753733782893,46457.2196146161,
"q2",1661.0326857616,5811.0334401164,7577.5001077091,24412.8134189318,7394.9671831228,3.65496381944179,0.998860939846091,46857.3468356417,
"q20",1807.7911255895,4590.4609160421,6770.0349462036,22414.3191079617,11611.7399348503,3.80659875323096,1.0363077357659,47194.3460306472,0.00644869613872061
"q21",6023.6394407463,10560.6354529808,11703.1519673942,14579.4257272808,3124.8950284291,2.98221251365268,1.15807203277196,45991.7476168312,
"q22",7986.9960621391,8206.9777709662,12427.2218873571,12270.5123998464,3339.9507020845,2.91202108250557,1.21365564001074,44231.6588223933,
"q23",9234.0255594006,9934.4337634607,11994.6205405162,9982.5330305011,2110.8703361823,2.69685529372718,1.18758604055107,43256.4832300609,
"q24",7140.3139372668,9936.2614162427,13179.1447079064,11807.8314793485,2460.7598018669,2.85504150882566,1.15112774422065,44524.3113426313,
"q25",7069.3306689612,7377.7072622219,10837.7199145643,14891.639616398,3815.2076368676,3.05040166374424,1.22055405610842,43991.605099013,
"q26",2611.1160396431,4033.1235901091,6891.3478326007,23892.6126393877,9381.3596667846,3.72826211917992,1.05101181758121,46809.5597685252,
"q27",3438.0921058583,5267.5799174123,13350.8027119038,17347.5468757724,6376.0677637173,3.41413230913936,1.08846163538269,45780.0893746641,
"q28",451.7115173876,1220.4019898718,6713.9950012042,19591.1670379949,19140.9418274651,4.20455237515225,0.829051131620358,47118.2173739236,0.00463935109312407
"q29",1708.5905437948,4933.8888518483,8645.1595081697,24869.6680790854,5596.2469721341,3.62030178326475,0.955904071402457,45753.5539550323,
"q3",3602.1703010935,6735.0218888285,8152.1457628878,17854.5406623557,9969.2900708451,3.53559951991947,1.19444075586652,46313.1686860106,
"q30",4823.5602700491,9520.8244414905,11922.3519390053,15625.2596389021,3480.1984351308,3.09076540087723,1.13204880317759,45372.1947245778,
"q31",4842.7803417311,8395.2017284887,10733.9217858393,16885.6282036894,4465.9935112945,3.19476307254173,1.15888907012549,45323.525571043,
"q32",5825.0906287854,9222.6089623132,13188.0856434532,13079.0628797073,3572.3216127417,3.01002636414476,1.15330117426191,44887.1697270008,
"q33",10568.5514770879,11655.0401055975,12449.5814764053,6681.5094632988,1646.2075539309,2.48870550971076,1.13332898715987,43000.8900763204,
"q34",3532.5380072772,4107.8860034963,12325.1944844124,17527.8568240754,6005.188264138,3.44547850436501,1.08367568266844,43498.6635833993,
"q35",1608.8670853368,2340.3018766047,6093.3581633902,25949.8492661862,9732.3477141368,3.89389306992788,0.909873121519545,45724.7241056547,
"q36",2249.2767603272,4410.8131858795,9054.098021289,23179.5460500854,6375.0021914659,3.61592366774883,0.999130070612329,45268.736209047,
"q37",5886.7108371862,5486.0643894916,10074.4877752539,15773.5289936981,6568.3927688715,3.28824996932641,1.24243994750529,43789.1847645013,
